Nome da Música;Artistas;ID da Música
When You're Gone (feat. Lil Wayne);";";"G-Eazy; Lil Wayne; The Soul Rebels";";";7fFgBLxh7HfcDUIOJzSlMT
Instructions (feat. YG);";";"G-Eazy; YG";";";2xIDDj4uiEOo3Lc7U5bTf5
Everything is Everything (feat. Goody Grace);";";"G-Eazy; Goody Grace";";";3N3tyZj62wOtbjyERI7tat
Now & Later (feat. E-40, DaBoii & ShooterGang Kony);";";"G-Eazy; E-40; ShooterGang Kony; DaBoii";";";1k8y2eLCuPWzeHjOPQCVeZ
Breakdown (feat. Demi Lovato);";";"G-Eazy; Demi Lovato";";";2cPeIikls48X2jbC1w9Vt3
Faithful (feat. Marc E. Bassy);";";"G-Eazy; Marc E. Bassy";";";35F6YNMtLbo0yWdy3Si5Ch
Wicked Game (feat. Devon Baldwin);";";"G-Eazy; Devon Baldwin";";";0HTY2LEkGEBrIINzC1lFOs
No More (feat. Ty Dolla $ign);";";"G-Eazy; Ty Dolla $ign";";";3sJkGmJaOla59UyZ2G2YOu
Running Wild (Tumblr Girls 2) (feat. Kossisko);";";"G-Eazy; Kossisko";";";22UMnfertyKbsJIWZVeAfK
Time (feat. Matthew Shultz);";";"G-Eazy; Matthew Shultz";";";34KDK3DDUDBi8hLCdKcQbc
Gerald (feat. Anthony Hamilton);";";"G-Eazy; Anthony Hamilton";";";6WbIQS0wCshPQMT8o72gLE
I Might (feat. Tay Keith);";";"G-Eazy; Tay Keith";";";3lvY6mgvM9AmDWSsXhsDuQ
At Will (feat. EST Gee);";";"G-Eazy; EST Gee";";";193hIaWPYRtzWIcTAMtkKI
Still Be Friends (feat. Tory Lanez & Tyga);";";"G-Eazy; Tory Lanez; Tyga";";";2j4eDUG5qfvOxxEbiSXVt3
Provide (feat. Chris Brown & Mark Morrison);";";"G-Eazy; Chris Brown; Mark Morrison";";";5pNuQiQVP0DX7BlYZItdzW
Moana;";";"G-Eazy; Jack Harlow";";";27pCYDpUbhSYECpYAid6AS
Hate The Way (feat. blackbear);";";"G-Eazy; blackbear";";";40m90E8cUI3fsUczVj0PUs
Scars (feat. Ant Clemons);";";"G-Eazy; Ant Clemons";";";0MTgHuhJk5ebYJhc9P1KkL
Get Right Or Get Left;";";"G-Eazy; Anjelika Jelly Joseph";";";1A19tvddiRbR8hil55B06l
When You're Gone (feat. Lil Wayne);";";"G-Eazy; Lil Wayne; The Soul Rebels";";";0MrI5860scv6Zhv8eJlLjY
