Nome da Música;Artistas;ID da Música
Dharma;";";"Sebastian Yatra; Jorge Celedón; Rosario";";";03ZfKUIydhz85Dof18k7nI
Quererte Bonito;";";"Sebastian Yatra; ELENA ROSE";";";72msQK0hHSZ8OzYbwWCUgk
Regresé;";";"Sebastian Yatra; Justin Quiles; L-Gante";";";0ZggHq2M7thJb8yaXBsNLT
Si Me La Haces;";";"Sebastian Yatra; Lenny Tavárez; Mariah Angeliq";";";6oQlValJFrKYR9R3pD30yh
Las Dudas;";";"Sebastian Yatra; Aitana";";";2B13GG5eqcA0r2NTcHZnTc
A Dónde Van;";";"Sebastian Yatra; Alvaro Diaz";";";3EVUY3JfYQusXQAojWblSH
TBT;";";"Sebastian Yatra; Rauw Alejandro; Manuel Turizo";";";7jXlrcUnUcx2TayBSG0ylL
Chica Ideal;";";"Sebastian Yatra; Guaynaa";";";5QgdPRVi9nx0OxY16raXCC
Runaway;";";"Sebastian Yatra; Daddy Yankee; NATTI NATASHA; Jonas Brothers";";";2u7XQe6cQa7FAtbbCCfmHT
Pareja Del Año;";";"Sebastian Yatra; Myke Towers";";";6Eyt7qdlCbAnc1kFiOqZIp
Contigo;";";"Sebastian Yatra; Pablo Alborán";";";1WtzcK15NQkw7kxZuvlsEX
Tacones Rojos;";";"Sebastian Yatra; John Legend";";";4slJBQR5P1JjEH9HFkB1Tg
Un Año;";";"Sebastian Yatra; Reik";";";2vrpcQNg6itmgVZWsNjWe0
En Guerra;";";"Sebastian Yatra; Camilo";";";6dJPqP0gHP6iAZuIk1njBs
Atado Entre Tus Manos;";";"Tommy Torres; Sebastian Yatra";";";2apiCi7OVGRLn4N2cMAdKH
Vuelve;";";"Sebastian Yatra; Beret";";";3wGRfBDRNQb0nFDFrUPvq6
SUTRA;";";"Sebastian Yatra; Dalmata";";";0lTYnxJdC68v0oXd5xolxY
Alguien Robo;";";"Sebastian Yatra; Nacho; Wisin";";";0pQoNBSZeRFuhLVH8gCVDT
Robarte Un Beso;";";"Carlos Vives; Sebastian Yatra";";";0qpFruHkIqilJMyVwUDo5x
Como Si Nada;";";"Sebastian Yatra; cali";";";75wp9tpODmy4gnI6WFR5ma
LOVE;";";"Gianluca Vacchi; Sebastian Yatra";";";6P0JERkOH92ojM8bj41oX1
Por Perro;";";"Sebastian Yatra; Luis Figueroa; Lary Over";";";2alIsNw1mqEShbWyO1HXZZ
Traicionera - Remix;";";"Sebastian Yatra; Cosculluela; Cali Y El Dandee";";";341wMisUIHkGCvq5e8ZcZv
XQ Sigues Pasando :(;";";"Abraham Mateo; Sebastian Yatra";";";60WnyQpJMxndoCwfo3TbuE
VAGABUNDO;";";"Sebastian Yatra; Manuel Turizo; Beéle";";";1MB8kTH7VKvAMfL9SHgJmG
"Til You're Home - From ""A Man Called Otto"" Soundtrack";";";"Rita Wilson; Sebastian Yatra";";";4Ah5mAqvkmw5Hz2n6g5l0k
Nervous - Remix;";";"John Legend; Sebastian Yatra";";";5lVvaCKARxKTJXZIWgzo6c
Tacones Rojos - Versión Banda;";";"Sebastian Yatra; Banda Los Recoditos";";";2FQU2RwRs9dBzp27a8zaSL
"Dos Oruguitas - From ""Encanto"" (Feat. Sebastián Yatra)";";";"Lang Lang; Sebastian Yatra";";";1H1YLuRIe5yOLnF4sPXKUE
Ojos Marrones - Con Sebastián Yatra;";";"Lasso; Sebastian Yatra";";";2GQclWZHwE4fMdqShvOPWU
Ulayeh;";";"Sebastian Yatra; Nouamane Belaiachi";";";1T1aVbASxrPmX7OJdxzx8g
Contigo;";";"Sebastian Yatra; Pablo Alborán";";";55CJCECkPMd9ZhGr4JOKn7
Entre Sobras Y Sobras Me Faltas;";";"Antonio Orozco; Sebastian Yatra";";";4lYGDM2P0P6NosnaoFiPqB
Until She’s Gone (with Sebastian Yatra);";";"Matteo Bocelli; Sebastian Yatra";";";0onGEXtVcTkj8j24w5jD92
Tu Luz Quedó (con Sebastian Yatra);";";"Matteo Bocelli; Sebastian Yatra";";";4weMtkYSnF8PsZoN6ngWWt
Un Attimo di Te (con Sebastian Yatra);";";"Matteo Bocelli; Sebastian Yatra";";";0djalnP0ZDw2ax0S9kBIPv
Tacones Rojos - With John Legend;";";"Sebastian Yatra; John Legend";";";7pCcX8GklrbASun9rWFh4W
Dharma;";";"Sebastian Yatra; Jorge Celedón; Rosario";";";4LvyM6tPvQW7jV3SRT1wQ1
Regresé;";";"Sebastian Yatra; Justin Quiles; L-Gante";";";7mftg8God1V8NdHIukbGgx
Delincuente;";";"Sebastian Yatra; Jhayco";";";7hmlUsQRryrZT4Iqj5L4t1
No Llores Más;";";"Simone & Simaria; Sebastian Yatra";";";0C3hl4giyPEnDQf2IlWpk2
3 de La Mañana - con Sebastián Yatra & Mora;";";"Mau y Ricky; Sebastian Yatra; Mora";";";1PkE8LrFiHRqMq4Ik3w1pk
Pareja Del Año;";";"Sebastian Yatra; Myke Towers";";";2rCbl9naJYhaxjLsfx88uM
Chica Ideal - Remix;";";"Sebastian Yatra; Guaynaa; will.i.am";";";6SBKQBONqnwtWTqZKTHQ8k
Chica Ideal;";";"Sebastian Yatra; Guaynaa";";";21N4Buj4xsyLb218lYle61
No Bailes Sola - Versión Acústica;";";"Danna Paola; Sebastian Yatra";";";3LfJzT37DkyzELlmmTWYgO
Corazón Sin Vida;";";"Aitana; Sebastian Yatra";";";3OL6rKs4tpYCdPZ9SEx50p
Elita (feat. Michael Bublé & Sebastián Yatra);";";"Gary Barlow; Michael Bublé; Sebastian Yatra";";";2HzWLayXg9UUvZ8LOTlsxI
A Dónde Van;";";"Sebastian Yatra; Alvaro Diaz";";";6uo9cHjtDSQcfKNaUYHAWZ
Locura - Remix;";";"Cali Y El Dandee; Sebastian Yatra; Dalex; Justin Quiles";";";2HgkTlPHdYGHdVjQ6eZMCK
No Bailes Sola;";";"Danna Paola; Sebastian Yatra";";";1GNSWpe2SB30zYGbNTD96b
Bajo La Mesa;";";"Morat; Sebastian Yatra";";";7BEPdOI0neT6p7PnLViqmH
Locura;";";"Cali Y El Dandee; Sebastian Yatra";";";5z834LSUeEO7wKbgzXrFf2
TBT - Remix;";";"Sebastian Yatra; Rauw Alejandro; Manuel Turizo; Cosculluela; Lalo Ebratt; Llane; Dalmata";";";2SdwRMzLw1vKClRinPqtuU
Falta Amor;";";"Sebastian Yatra; Ricky Martin";";";2ukaTb7sSeWHdr22n1xTBs
TBT;";";"Sebastian Yatra; Rauw Alejandro; Manuel Turizo";";";4s45VgkknMFkdiGoUcjxQU
Magnetic;";";"MONSTA X; Sebastian Yatra";";";4ZtiN13yPgoDtQB8TkIrv1
En Cero - Remix;";";"Yandel; Sebastian Yatra; Manuel Turizo; Wisin; Farruko";";";3rZxzqH3vl8yY0BTL4lzxL
Boomshakalaka;";";"Dimitri Vegas & Like Mike; Afro Bros; Sebastian Yatra; Camilo; Emilia";";";4yb5Z9dwnKhO9gC0AZQYDe
No Ha Parado De Llover (with Sebastián Yatra);";";"Maná; Sebastian Yatra";";";0Ao64XWY9rvsx4K0JmJ7Pv
Mañana No Hay Clase (24/7);";";"Sebastian Yatra; Ñejo; Dalmata";";";3XsqFFCOn6oPKt4GCod2wP
Runaway;";";"Sebastian Yatra; Daddy Yankee; NATTI NATASHA; Jonas Brothers";";";7BuSE9uTIw931wtZYzvZcQ
En Cero;";";"Yandel; Sebastian Yatra; Manuel Turizo";";";51uLQESb4VnYAbs5WtGxho
Date La Vuelta;";";"Luis Fonsi; Sebastian Yatra; Nicky Jam";";";5lwVd35Zg6DJ4qibVMq99H
Déjate Querer;";";"Lalo Ebratt; Sebastian Yatra; Yera; Trapical Minds";";";3mN2DtljBhnrIpc3Nu2pJ8
Un Año;";";"Sebastian Yatra; Reik";";";5BDP2tky8oMQJPS33frKVp
Ni Gucci Ni Prada - Remix;";";"Kenny Man; Sebastian Yatra";";";3EwnwCYCO2mnCoYj5NLhER
No Hay Nadie Más - Remix;";";"Sebastian Yatra; Argüello; Mik Mish";";";1HGoXEiH2hk1NXO7PkcH0l
Ya No Tiene Novio - Remix;";";"Sebastian Yatra; Mau y Ricky; Farruko; Sharo Towers";";";7o3FMIu6KldnAwXaA8MO8x
Atado Entre Tus Manos;";";"Tommy Torres; Sebastian Yatra";";";0A7Bx1u7ufBNclwcfs02mG
Aquí Estaré;";";"Sky Rompiendo; Sebastian Yatra; Zion & Lennox";";";0HHTBFIvSnBIr5Xwttw9Ge
Vuelve;";";"Sebastian Yatra; Beret";";";6WSAPEkvEfcEUgSTAo1D3S
Contigo Siempre;";";"Alejandro Fernández; Sebastian Yatra";";";17LxkTp8UNbPcYrDrI6UOq
Ya No Tiene Novio;";";"Sebastian Yatra; Mau y Ricky";";";7uQmJ1jgNzBpATSoWKSPFu
My Only One (No Hay Nadie Más);";";"Sebastian Yatra; Isabela Merced";";";1gJA27xiMdENwoAVN7kMlo
Yo Te Vine A Amar;";";"Ivete Sangalo; Sebastian Yatra";";";5EARH4DZODYVMlkLJWO9Ss
LOVE;";";"Gianluca Vacchi; Sebastian Yatra";";";2NRhy2p5nQkv62kaec3BW6
Por Perro;";";"Sebastian Yatra; Luis Figueroa; Lary Over";";";1XM5PgxjpYcF0JuE9nfUbS
Quédate de Sol a Sol;";";"Daniel Betancourth; Sebastian Yatra";";";3krsekkyFzmrHmFDf36FRO
Soy Tuya - Reloaded;";";"Gloria Trevi; Alejandra Guzman; Sebastian Yatra";";";0ubewFIcVHZl6zBmwxSEq9
Suena El Dembow - Remix;";";"Joey Montana; Sebastian Yatra; Alexis y Fido; Juan G. Rivera";";";1yGjKb5nlQF6O5Fu5eMPuH
A Partir De Hoy;";";"David Bisbal; Sebastian Yatra";";";7ojH6H4wE6XJNgzU4uvNc8
Ave María;";";"Lafame; Sebastian Yatra";";";2BMnaYWIrUrfqmWTuXvcyP
Te Lo Pido Por Favor;";";"Alejandro González; Sebastian Yatra";";";5MCsmCbF890zSQy7l5ntvk
SUTRA;";";"Sebastian Yatra; Dalmata";";";6ELe1Do1bYtaCtLqjYTglW
Suena El Dembow;";";"Joey Montana; Sebastian Yatra";";";0woHVOh3KXLSDv8VU9XwZ4
Edge Of The Night - Spanish Language Version;";";"Sheppard; Sebastian Yatra";";";6rKA2zb7ftUWM7mhkuASkK
Traicionera - Versión Portugués;";";"Fly; Sebastian Yatra";";";1cw59I5ZaatX6D88Nua0lv
Summer Days;";";"Milow; Sebastian Yatra";";";1huXDT7Uoe0FUkGGRFuIVo
Alguien Robo;";";"Sebastian Yatra; Nacho; Wisin";";";7Ff4Mzzq0NL6vAFKfi5tKX
Traicionera - Remix;";";"Sebastian Yatra; Cosculluela; Cali Y El Dandee";";";2czMD4iyzgcjT9RnEuMhLQ
No Vacancy (with Sebastián Yatra);";";"OneRepublic; Sebastian Yatra";";";3Gqj86AgnD8EiIOFIGLubs
