Nome da Música;Artistas;ID da Música
Rubber Band Man;";";"Tyga; YG";";";6D4HaQHb9fWjDn60o98rTO
Brand New;";";"Tyga; YG; Lil Wayne";";";697cBYjdAjPKe0RsEc6532
Thumpin;";";"Tyga; YG";";";5mA0smotoPkiLuXDKOIYDB
Get Me Litt;";";"Tyga; YG";";";0vQkcuwAFnIuYmIQRCYNA8
Perk 10;";";"Tyga; YG";";";4sRiGNrl9hvAfK0zP3nPyr
Time For That;";";"Tyga; YG";";";0oKwmvHRJUG1hw6k74QOsl
Choose Up;";";"Tyga; YG";";";2rL8SSmGMbOTXtvKnc6JUr
Big One;";";"Tyga; YG; Busta Rhymes";";";41jWVkeT4VjZ7oqs5wUSxT
I'm Tha Reason;";";"Tyga; YG";";";0UtjKiLZQ0yPG3mkZogFln
West Coast Weekend;";";"Tyga; YG; Blxst";";";4wNLYgpaGMQmc26waK16UP
PARTy T1M3;";";"Tyga; YG";";";2u7qdWLkZ67zv5DY0w8rNw
Boachella;";";"Tyga; YG";";";2Ypkm85xYEgUVvAfLpBAWH
PLATINUM;";";"Tyga; YG";";";7GLXtJ9cQ4UwZlhyimP6qv
FWU;";";"Tyga; YG";";";7JIiWkpUuFmZRI2Gz1RA9f
On Me (feat. Lil Wayne);";";"Tyga; Lil Wayne";";";73PCXcQrZD4ex4QPMKoMK2
Stash (feat. Blueface);";";"Tyga; Blueface";";";7CHniYHkZHjAIVDwYrlJrx
Haute (feat. J Balvin & Chris Brown);";";"Tyga; J Balvin; Chris Brown";";";5UKZZ2jFgSWSAIkVSiExiY
Vibrate (feat. Swae Lee);";";"Tyga; Swae Lee";";";335q7wv22OmQFJyhMCyztV
Legendary (feat. Gunna);";";"Tyga; Gunna";";";2UrbJxXYSAlg5hhACRkvNh
February Love (feat. Chris Brown);";";"Tyga; Chris Brown";";";40lEG13SVMpmF0H9sfAm0p
Goddamn (feat. A Boogie wit da Hoodie);";";"Tyga; A Boogie Wit da Hoodie";";";2AQpUOkZQIxu09a5YuM0vG
Taste (feat. Offset);";";"Tyga; Offset";";";2z7LrJtfi2L4RIONnLmkgp
Made Me (feat. Bazzi);";";"Tyga; Bazzi";";";2qMk6IcaOdJD6RgP4EVhQ0
Penthouse in Miami;";";"Tyga; Starrah";";";60zhY7C4ZU56oPqm59rQcR
Dip (feat. Nicki Minaj);";";"Tyga; Nicki Minaj";";";73xXDeBMlC5cdvWoOLWVLo
Slidin (feat. Ty Dolla $ign & Takeoff);";";"Tyga; Ty Dolla $ign; Takeoff";";";0zMLFuBbOuKw8jnnniHqJ7
Bop;";";"Tyga; YG; Blueface";";";3dEYzZTFrmOFtUm1jv2Lwz
Girls Have Fun (feat. G-Eazy & Rich The Kid);";";"Tyga; G-Eazy; Rich The Kid";";";188QBQWQFRJtLX7VfU38Ci
On Me (feat. Lil Wayne);";";"Tyga; Lil Wayne";";";1msycdMqTjoKvrP3WiHMCQ
Stash (feat. Blueface);";";"Tyga; Blueface";";";1bFlyIMhjyZavdg5PXrkLs
Haute (feat. J Balvin & Chris Brown);";";"Tyga; J Balvin; Chris Brown";";";1jlnBQGP2DtSEhMgQaz7a7
Vibrate (feat. Swae Lee);";";"Tyga; Swae Lee";";";67qz8HVZU1r0Q9MUJQ9AAi
Legendary (feat. Gunna);";";"Tyga; Gunna";";";4yn0ftNHQSwsWE81h33y4K
February Love (feat. Chris Brown);";";"Tyga; Chris Brown";";";6pAaeIH6FuqdiweIogafXT
Goddamn (feat. A Boogie wit da Hoodie);";";"Tyga; A Boogie Wit da Hoodie";";";4TCG827sk5fDEmUvcQlStk
Taste (feat. Offset);";";"Tyga; Offset";";";2toVe5hfuIi97ytDPDbQFt
Made Me (feat. Bazzi);";";"Tyga; Bazzi";";";45jYIJVqddvpQzOE04GJ5D
Leather in The Rain (feat. Kyndall);";";"Tyga; Kyndall";";";5lJAZ8IMBzfeWcV3PjCMMO
Sip A Lil (feat. Gucci Mane);";";"Tyga; Gucci Mane";";";6MPR32vGG1AaQMYOfqvyqx
Faithful (feat. Tory Lanez);";";"Tyga; Tory Lanez";";";3eGIOwl7X37VcP8Sb4S3N7
Holdin On (feat. 24hrs);";";"Tyga; 24hrs";";";4oHQ86BHVhp2uZb2IpGAID
Good or Bad (feat. A.E.);";";"Tyga; A.E.";";";4kryRso9C9RUSic9L59mqc
Mercedes Baby (feat. 24 Hrs);";";"Tyga; 24 Hrs";";";76uNbv0OgUwbsfux0v9QXR
Feel Me (feat. Kanye West);";";"Tyga; Kanye West";";";0tEcSP5F6BP04gleb2hRnj
Ski on the Slope (feat. Pusha T);";";"Tyga; Pusha T";";";0f4eeAWIiu53xz2U0rj3bb
Move to L.A. (feat. Ty Dolla $ign);";";"Tyga; Ty Dolla $ign";";";6EAzLwZ9nLRrr8umHZMSMR
Bel Air (feat. Quavo);";";"Tyga; Quavo";";";1K41qpjzpv90TfgVYv1LcK
Run It Back (feat. Young Thug);";";"Tyga; Young Thug";";";1LislV9SE2XjbE6Guijob2
Playboy (feat. Vince Staples);";";"Tyga; Vince Staples";";";1PiBNCLuTGlTVwiz6y3Wxb
Flossin (feat. King);";";"Tyga; King";";";3IoRExUQibTJw1CyCRj5U8
Nann Nigga (feat. Honey Cocaine);";";"Tyga; Honey C";";";51IduNZVHL3T5hbV3dmmtH
100's (feat. Chief Keef & A.E.);";";"Tyga; Chief Keef; A.E.";";";1zyqzNCst6eflAzFsWf7xe
Feel Me (feat. Kanye West);";";"Tyga; Kanye West";";";6OOQbiHF6cxdpuzW41XTvy
Ski on the Slope (feat. Pusha T);";";"Tyga; Pusha T";";";1bFYBD7BKUJh5goDMyO0nX
Move to L.A. (feat. Ty Dolla $ign);";";"Tyga; Ty Dolla $ign";";";4qd48dnaLh2Su7qBiGyaSd
Bel Air (feat. Quavo);";";"Tyga; Quavo";";";3t3bfR7Ry3AXuGfKy2DIDY
Run It Back (feat. Young Thug);";";"Tyga; Young Thug";";";1g1rEzudxsdwdFzLFO67G9
Playboy (feat. Vince Staples);";";"Tyga; Vince Staples";";";7EAKBDWrAxvlwGyE9CdLb4
Flossin (feat. King);";";"Tyga; King";";";4DkEHaGIrd2cYNsl67tPfF
Nann N (feat. Honey Cocaine);";";"Tyga; Honey C";";";2PSVW94daNKNIAJX1s1kn1
100's (feat. Chief Keef & A.E.);";";"Tyga; Chief Keef; A.E.";";";2MiLpCvVWR7qT8YWl2l2Kd
Everybody Eat$;";";"Tyga; Goapele";";";4sx4bhOFfveaphijzTv7h5
Rumorz;";";"Tyga; Chris Brown";";";1vpiCxx9PwtR0nRlftudkp
Baller Alert;";";"Tyga; Rick Ross; 2 Chainz";";";3k8lIImSaFAWNNkUyT9XjA
Don't C Me Comin;";";"Tyga; A.E.";";";0kQ9R49gPLKKMwKBgaG8Mi
Muh Fucka;";";"Tyga; A.E.";";";4tR10VqJJMT1rH8AL0DXpC
Pleazer;";";"Tyga; Boosie Badazz";";";3rbnDmP8MkSAQAZ6jpCg5b
4 My Dawgs;";";"Tyga; Lil Wayne";";";25yYFo9CENGLGdPuCwzwpI
Westside;";";"Chris Brown; Tyga";";";0SvsOO8992w3MwkeghS7We
Nothin' Like Me (feat. Ty Dolla $ign);";";"Chris Brown; Tyga; Ty Dolla $ign";";";46Bm6sh2zZRXdBON5QIzIu
Ayo;";";"Chris Brown; Tyga";";";0k6DnZMLoEUH8NGD5zh2SE
Girl You Loud;";";"Chris Brown; Tyga";";";6dRVOzSxLqRdqUjc9mctGg
Remember Me;";";"Chris Brown; Tyga";";";66PijCtKX3GMQ6huKb1M0q
I Bet (feat. 50 Cent);";";"Chris Brown; Tyga; 50 Cent";";";7wT9MGMmMO9IcOjiE9u5Fg
D.G.I.F.U. (feat. Pusha T);";";"Chris Brown; Tyga; Pusha T";";";3RpNsrSqHf3QOGz6SRLh3p
