Nome da Música;Artistas;ID da Música
Wish You The Best - JM∆C Remix;";";"Lewis Capaldi; JMΔC";";";0EodQ8rugtFtKwr91Uw93T
Pointless - Madism Remix;";";"Lewis Capaldi; Madism";";";4GzQwSx7UBKLfiQpU4MEBL
Before You Go - Edessa Remix;";";"Lewis Capaldi; Edessa";";";63yY87yNAwMfKRNuk4I4SR
Bruises - Delta Jack Remix;";";"Lewis Capaldi; Delta Jack";";";7kKjGV4uwLIzPyZVgx7DmP
Bruises - Steve Void Remix;";";"Lewis Capaldi; Steve Void";";";4raMIjIjMc8JohHth7l9lG
Hold Me While You Wait - Steve Void Remix;";";"Lewis Capaldi; Steve Void";";";5dy3WUywjZcalTno1io8TQ
Someone You Loved - Future Humans Remix;";";"Lewis Capaldi; Future Humans";";";1e8PAfcKUYoKkxPhrHqw4x
Someone You Loved - Madism Radio Mix;";";"Lewis Capaldi; Madism";";";1FaMsrYFdk914HDLQar1tz
Grace - Hi, I’m Claude Remix;";";"Lewis Capaldi; Hi, I’m Claude";";";7aZGfAhfJS7zQWbgZfyLSE
Tough - Madism Remix;";";"Lewis Capaldi; Madism";";";5djF7Roo7NbPkH8JG4PgRv
Tough - conorlarkman Remix;";";"Lewis Capaldi; conorlarkman";";";5NZvq3gXjcQojKCeeC6ESV
Rush (feat. Jessie Reyez);";";"Lewis Capaldi; Jessie Reyez";";";7tTRP2vA00uScZ4SjB3ZQZ
