Nome da Música;Artistas;ID da Música
Take Me Away;";";"Trippie Redd; Corbin";";";2P6Rxk0HKzVKN7DIgDOc6T
A Feeling;";";"Trippie Redd; Skye Morales";";";2HGSTRcTOUQns1oyyyfMwr
I'm Mad At Me;";";"Trippie Redd; Lil Wayne";";";4Oy4QE9IHBHnmJaWdjZyXl
Closed Doors;";";"Trippie Redd; Roddy Ricch";";";7HLmj4xIlHt3lIQ6EB87nT
Wind;";";"Trippie Redd; The Kid LAROI";";";5zkZkBTygtZcOgWCWzzKB2
Helicopter;";";"Trippie Redd; Tommy Lee Sparta";";";61uYSkscISiskfdEBj0lui
Took My Breath Away;";";"Trippie Redd; Skye Morales";";";60ZBVsi7jhY5aIZDpa2XJi
Flowers;";";"Trippie Redd; Bryson Tiller";";";6PcGF6R9aRUWorz1lVk8q5
ATLANTIS;";";"Trippie Redd; Chief Keef";";";1pvGVwCCn97OxdwaQ5r7Os
PSYCHO;";";"Trippie Redd; Future";";";3PJ8TTQVcoxTth4XqWVvww
FULLY LOADED;";";"Trippie Redd; Future; Lil Baby";";";2mIkrGid9YdBCdsaUyzk7T
KNIGHT CRAWLER;";";"Trippie Redd; Juice WRLD";";";1tbGgVkbTmkGlrfxgU5HZJ
DARK BROTHERHOOD;";";"Trippie Redd; Lil Baby";";";5x6Kh3LNNz0Ox9zRDwQQSl
KRZY TRAIN;";";"Trippie Redd; Travis Scott";";";6IM5HMe0puwG25bFMAqcNC
MUSCLES;";";"Trippie Redd; Lil Durk";";";2KKZj3xlw8hemXj9y5f6H1
GOODFELLAS;";";"Trippie Redd; Nardo Wick";";";5PLUHFcWqQO2efN9GGsMdP
HIGH HOPES;";";"Trippie Redd; BIG30";";";2LI9nhBuuQkntAo0FiJXEj
DIE DIE;";";"Trippie Redd; LUCKI";";";4RewdBCqjpm7v1XEgNL9NM
WHO ELSE!;";";"Trippie Redd; Rich The Kid";";";0vrwwleQWFZj3dM26bE5iU
BIGGEST BIRD;";";"Trippie Redd; Summrs";";";6ENfVEpjcM4v1GlRv5oPHA
HIDEOUT;";";"Trippie Redd; Fijimacintosh";";";2H1hhtd0zF5nDozlbvT6hI
WITCHCRAFT;";";"Trippie Redd; Rylo Rodriguez";";";16nuSV8As4LY9VHhwC4Sbo
TOILET WATER;";";"Trippie Redd; Ski Mask The Slump God";";";3KVfJOzvXYVIhhHBrsIQjD
PURE;";";"Trippie Redd; G Herbo";";";3gimEnlhfP6nGwh3hlOpwn
ROCK OUT;";";"Trippie Redd; Chief Keef";";";7CxynGGSQKva8iPLKtTRDY
ARMAGEDDON;";";"Trippie Redd; Rob49";";";6d5BeTlRBRfYQZo9UU3ZKM
NUN;";";"Trippie Redd; DaBaby";";";5bMUv1RjiKVYVIbibSFd3w
SWAG LIKE OHIO PT. 2;";";"Trippie Redd; Lil B";";";5CKkQCLNRKV0x9pMi5aQkv
COLORS;";";"Trippie Redd; Kodak Black";";";5hxmDTeIqs2REocvMr2QDM
MP5;";";"Trippie Redd; SoFaygo";";";1dDU390fHxfFpRwPcsiKw2
Betrayal (feat. Drake);";";"Trippie Redd; Drake";";";2qgVqFyi1Q9ll2rEklKsqC
