Nome da Música;Artistas;ID da Música
ROSA PASTEL;";";"Peso Pluma; Jasiel Nuñez";";";4yjeRuoVickg1G87LWeRes
LUNA;";";"Peso Pluma; Junior H";";";3RA55zrRkyPK8Fd86hrMy8
77;";";"Peso Pluma; Eladio Carrion";";";6jUgruwAzfIA3HUQIO3wCR
CARNAL;";";"Peso Pluma; Natanael Cano";";";2bXJMQZSJND3UYq5mjV4cB
LAS MORRAS;";";"Peso Pluma; Blessd";";";0lc2neV7ZzjZExwCIVG2B3
GAVILÁN II;";";"Peso Pluma; Tito Double P";";";775hCSePn3GW4h9nZ636kq
VVS;";";"Peso Pluma; Edgardo Nuñez; Los Dareyes De La Sierra";";";3B0swL7Qil9bB7eKzBREBK
SU CASA;";";"Peso Pluma; Luis R Conriquez";";";1tGGJ4SRZnd2H0E2dV05iM
LADY GAGA;";";"Peso Pluma; Gabito Ballesteros; Junior H";";";7mXuWTczZNxG5EDcjFEuJR
PRC;";";"Peso Pluma; Natanael Cano";";";0cNSq9T5l8gZnpY14rsTR2
LA PEOPLE;";";"Peso Pluma; Tito Double P";";";1RzjXhgnzqb3dMa5852itx
TULUM;";";"Peso Pluma; Grupo Frontera";";";7bPp2NmpmyhLJ7zWazAXMu
LAGUNAS;";";"Peso Pluma; Jasiel Nuñez";";";3HOKxuTDmNVmIlCIpBiD8m
El Chuletas;";";"Peso Pluma; El Choforo";";";4pt5KPew76BK6nFPc0pYYq
Mil Historias;";";"Peso Pluma; Hector Rubio";";";67uQesv3H7jL5SacClTBlW
Les Cuesta;";";"Peso Pluma; Los Del Fl";";";18vLqYV3OtOX84S0IGCHRJ
El Travieso - En Vivo;";";"Peso Pluma; Los Plebes de la Cuadra";";";2YKCU3HGfvAqZQVhtvrea1
Omnia;";";"Peso Pluma; Choforo";";";7j3bwqfxm4UioZiur0b9Lg
El Pengüin;";";"Peso Pluma; Jorge Morales El Jilguero";";";5UQJFFhHr7hgYmt1azQGiC
Los Pixeliados;";";"Peso Pluma; Lalo Reyes";";";06l90deFB5B3MY8i2Ud6Yo
LA CHAMBA;";";"Arcángel; Peso Pluma";";";1gjAVqB8sPT5i96wXUWcJR
BIPOLAR;";";"Peso Pluma; Jasiel Nuñez; Junior H";";";3wlIAXSDtlD9iU8ysld06Z
Ex-Special;";";"Jhayco; Peso Pluma";";";4ix1NGkHZEiVyzoQ6cEVs3
Ojos Azules;";";"Blessd; Peso Pluma; SOG";";";3R3HY6mOyGwxJ4dxGgg0Do
EL RELOJ (con Maluma);";";"Blessd; Maluma";";";6l3vPIjtsgrbctG0Cnnqrg
QLONA;";";"KAROL G; Peso Pluma";";";5gUysq7aO7v7EcV5kQWgeh
Feria en el Sobre;";";"Gera MX; Peso Pluma; Herencia de Patrones";";";5npAbr2v6wRL75IHWp2Noi
QUEMA;";";"Ryan Castro; Peso Pluma; SOG";";";2hn2zOA2XFlv6DSmesylrL
Pancake;";";"Natanael Cano; Peso Pluma";";";7pIRDtTS6V67O4Fm1OpqkO
TULUM;";";"Peso Pluma; Grupo Frontera";";";4vKApRsWLo6VFEdT6WNLze
VVS;";";"Peso Pluma; Edgardo Nuñez; Los Dareyes De La Sierra";";";2m5n2ewUOZCqSMZa4uMCCY
SU CASA;";";"Peso Pluma; Luis R Conriquez";";";0Rlqq9dDrN00v8hnuapf52
LUNA;";";"Peso Pluma; Junior H";";";0imVQukSGPxTbCQQTCNB8x
LAGUNAS;";";"Peso Pluma; Jasiel Nuñez";";";6gXFbaJYaZWfwWmtUGtiKc
LADY GAGA;";";"Peso Pluma; Gabito Ballesteros; Junior H";";";3iOUnnSLLH2TywmyYBZwC8
LA PEOPLE;";";"Peso Pluma; Tito Double P";";";62W2m05Hn0fBsfCzUjNaj2
GAVILÁN II;";";"Peso Pluma; Tito Double P";";";18BpvkWdUotKi1ePu9vyvi
CARNAL;";";"Peso Pluma; Natanael Cano";";";2dlsWUlMCD6keK5LRamcqs
PLEBADA;";";"El Alfa; Peso Pluma";";";7uSLF2yhpjLlYBLtyPX3Lb
La Bebe - David Guetta Remix;";";"Yng Lvcas; Peso Pluma; David Guetta";";";2OOmObvtYKotf1WwcqRwe4
La Bebe - Remix;";";"Yng Lvcas; Peso Pluma";";";2Vv6jK9zUGyNppjCy3UI8j
La Bebe (David Guetta Remix) - Extended Version;";";"Yng Lvcas; Peso Pluma; David Guetta";";";51BQZgx09nvoZJjUkOLY6x
Peso Pluma: Bzrp Music Sessions, Vol. 55;";";"Bizarrap; Peso Pluma";";";5AqiaZwhmC6dIbgWrD5SzV
77;";";"Peso Pluma; Eladio Carrion";";";7y2KhPccpkgRSMa3GDXjQq
Rosa Pastel;";";"Peso Pluma; Jasiel Nuñez";";";4LreWoO3cpgiIfrRwbOUSF
El Tsurito;";";"Junior H; Peso Pluma; Gabito Ballesteros";";";1piak4R3yW4otWWyaSqyCH
Las Morras;";";"Peso Pluma; Blessd";";";7Lkxvfl2rkNYWS4kBDCQtN
CHANEL;";";"Becky G; Peso Pluma";";";5RcxRGvmYai7kpFSfxe5GY
La Bebe - Remix;";";"Yng Lvcas; Peso Pluma";";";2UW7JaomAMuX9pZrjVpHAU
Ella Baila Sola;";";"Eslabon Armado; Peso Pluma";";";3dnP0JxCgygwQH9Gm7q7nb
EL HECHIZO;";";"Ovy On The Drums; Peso Pluma";";";1mF6RkY7x1KsDBZS6cV5f1
Por las Noches - Remix;";";"Peso Pluma; Nicki Nicole";";";5HiA7W5wYDWi06UZFUluRu
El Azul;";";"Junior H; Peso Pluma";";";1haJsMtoBhHfvuM7XWuT3W
PRC;";";"Peso Pluma; Natanael Cano";";";2mpoNBkngUEwnaKoBhZ0vl
