Nome da Música;Artistas;ID da Música
Outrunnin' Your Memory;";";"Luke Combs; Miranda Lambert";";";79gv58G6usuURwl6TlmBTu
1, 2 Many;";";"Luke Combs; Brooks & Dunn";";";7MJCMDMjIfy2uyhy0BmG4v
Does To Me (feat. Eric Church);";";"Luke Combs; Eric Church";";";5YL4b69ecFCG6bfZIY2lI7
Without You;";";"Luke Combs; Amanda Shires";";";3zxAw8PaqpeGZ3Pakkxv3J
1, 2 Many;";";"Luke Combs; Brooks & Dunn";";";226le7T3p82reYWzsi9Hsz
Does To Me (feat. Eric Church);";";"Luke Combs; Eric Church";";";0nGXi46VcQQ56ZJR428MKS
Life Goes On (feat. Luke Combs);";";"Ed Sheeran; Luke Combs";";";63kLorCFyk4ZHMHPhcWOtO
The Great Divide;";";"Luke Combs; Billy Strings";";";3q3lSbfT5BnQlIvGwahgAD
Cold Beer Calling My Name;";";"Jameson Rodgers; Luke Combs";";";3dV1fjKOlLnaNK5MeZHXGv
Beyond (feat. Luke Combs) - Live;";";"Leon Bridges; Luke Combs";";";05zt3H2jdG0MA1V6Q2t2Et
Beautiful Crazy (feat. Leon Bridges) - Live;";";"Luke Combs; Leon Bridges";";";4uI6wu9V3heWDqweerxJYF
