Nome da Música;Artistas;ID da Música
Satellite;";";"Bebe Rexha; Snoop Dogg";";";72zJrb5M7iv65yms7x6J7b
I'm Good (Blue);";";"David Guetta; Bebe Rexha";";";2qrbWN43itLlX3eSdKzXVL
Seasons;";";"Bebe Rexha; Dolly Parton";";";6sbqpXpDBb6MNv93lhqKvl
Break My Heart Myself (feat. Travis Barker);";";"Bebe Rexha; Travis Barker";";";4jQxIH11pyibkpzS1xjlkw
My Dear Love (feat. Ty Dolla $ign & Trevor Daniel);";";"Bebe Rexha; Ty Dolla $ign; Trevor Daniel";";";3FcFDiiCEM1QPBdt3ON8H0
Die For a Man (feat. Lil Uzi Vert);";";"Bebe Rexha; Lil Uzi Vert";";";19EfF6QYRTk4LMntq1Kuhc
Baby, I'm Jealous (feat. Doja Cat);";";"Bebe Rexha; Doja Cat";";";5r0cOO77xkM5jjHk67Z2Lt
On The Go (feat. Pink Sweat$ & Lunay);";";"Bebe Rexha; Pink Sweat$; Lunay";";";63VYzrJIEVMcKEXRy3MiuH
Amore (feat. Rick Ross);";";"Bebe Rexha; Rick Ross";";";77AyJAWtrpoyi9ZDW4dn46
2 Souls on Fire (feat. Quavo);";";"Bebe Rexha; Quavo";";";2dMUJy0El3BcQUy9gP9gt0
Steady (feat. Tory Lanez);";";"Bebe Rexha; Tory Lanez";";";0XbAySkD2xUPUudQ1a0kGc
Meant to Be (feat. Florida Georgia Line);";";"Bebe Rexha; Florida Georgia Line";";";4e4fqjx0Izh4svvTef1z7e
Heart Still Beating;";";"Nathan Dawe; Bebe Rexha";";";6RHdHHlOAHwFaYS9LUwpYU
One in a Million - Alok Remix;";";"Bebe Rexha; David Guetta; Alok";";";0nuszfz2u3hjdCDaNhc4m2
One in a Million;";";"Bebe Rexha; David Guetta";";";4MFToqMiU9xR1QjmezsVTF
One in a Million - David Guetta Remix;";";"Bebe Rexha; David Guetta";";";1ump437qGe1gqRkMHg266F
One in a Million;";";"Bebe Rexha; David Guetta";";";1qpVW0wGgc4PWd6DBYlRmV
One in a Million;";";"Bebe Rexha; David Guetta";";";5u6d34r4VooNgdwMfESA41
One in a Million - Sped Up;";";"Bebe Rexha; David Guetta";";";2lxfSFPuEpfRQz6dpm5XHK
One in a Million - Slowed Down;";";"Bebe Rexha; David Guetta";";";28mk4CLXiDTn4BLbVl5U9D
One in a Million - Instrumental;";";"Bebe Rexha; David Guetta";";";7s1C29sN1z0nieLkiC6bws
One in a Million - Extended;";";"Bebe Rexha; David Guetta";";";6iYO1R4ldGKY5JWq3p2etN
One in a Million;";";"Bebe Rexha; David Guetta";";";3YfGTvsTAWGC2lgoDOikUz
Satellite - Alle Farben Remix;";";"Bebe Rexha; Snoop Dogg; Alle Farben";";";5Y9BbAvEcYtuHaLJsK83G6
Satellite;";";"Bebe Rexha; Snoop Dogg";";";7ePMQvmeLHGN7ggmTWNf4D
Stars;";";"PNAU; Bebe Rexha; Ozuna";";";6lhXolP56DpQHBVVkRqczw
Stars - Jaded Remix;";";"PNAU; Bebe Rexha; Ozuna; JADED";";";00xzTCL1sdHftN5QBVgwVh
Stars - Kungs Remix;";";"PNAU; Bebe Rexha; Ozuna; Kungs";";";64iBq4It6ILp7ly6aPnK0p
Stars - Jakka Remix;";";"PNAU; Bebe Rexha; Ozuna; Jakka";";";59W0fWdbSY5jWLM7PcXvJH
Stars - Close Counters Remix;";";"PNAU; Bebe Rexha; Ozuna; Close Counters";";";6Xkfx6Mpnp4ptjUQlQCUYE
I’m Good (Blue);";";"David Guetta; Bebe Rexha";";";4rTJcBzUWnE0qMfkZrIOH6
If Only I (feat. Bebe Rexha);";";"Two Friends; Loud Luxury; Bebe Rexha";";";5oOgt1g5fB45ZkHZjjB9Qy
Call on Me - David Guetta Remix;";";"Bebe Rexha; David Guetta";";";271KNPrEo7heAZzXrPHOmE
Satellite;";";"Bebe Rexha; Snoop Dogg";";";0DK6lGJisrNaLkiK6cjDaw
Heart Wants What It Wants - Nicky Romero Remix;";";"Bebe Rexha; Nicky Romero";";";2eUFGJIrapei5Tg9Qxj7UA
Heart Wants What It Wants - MK Remix;";";"Bebe Rexha; MK";";";5Mm3kAVo1cDWwdiciiwsJP
I'm Good (Blue);";";"David Guetta; Bebe Rexha";";";28fYWYOi6AD1cKzkFBE9Ip
I'm Good (Blue) - Acoustic;";";"David Guetta; Bebe Rexha";";";1X4EvFtsH6KKe5xdLXup0s
I'm Good (Blue) - Stage Mix;";";"David Guetta; Bebe Rexha";";";6IdM8Hg9Zfie3vU8M6TN4X
I'm Good (Blue) - Tiësto Remix;";";"David Guetta; Bebe Rexha; Tiësto";";";0P8hJPRFHKyhqwij3nFt6N
I'm Good (Blue) - R3HAB Remix;";";"David Guetta; Bebe Rexha; R3HAB";";";0KrzhmRmSAokFrSezZIl5I
I'm Good (Blue) - Oliver Heldens Remix;";";"David Guetta; Bebe Rexha; Oliver Heldens";";";6zvZ5v6nCvZ7HYEa9HI0Dn
I'm Good (Blue) - Gabry Ponte Remix;";";"David Guetta; Bebe Rexha; Gabry Ponte";";";4lnbEp7cgdPJB4IaMsnIAo
I'm Good (Blue) - Cedric Gervais Remix;";";"David Guetta; Bebe Rexha; Cedric Gervais";";";3eVaD5AdEe2vBep3EBT1u8
I'm Good (Blue) - Djs From Mars Remix;";";"David Guetta; Bebe Rexha; DJs From Mars";";";69Qy3fRQM1Em4yoSMC92ti
I'm Good (Blue) - Brooks Remix;";";"David Guetta; Bebe Rexha; Brooks";";";49lRxjkpTkzyuTuAvcg0Gy
I'm Good (Blue) - REAPER Remix;";";"David Guetta; Bebe Rexha; REAPER";";";0Tdhd2ll5GPi4mqJkZjKj0
I'm Good (Blue) - HEADER Remix;";";"David Guetta; Bebe Rexha; HEADER";";";3iYhX0cKsP6OpSe40NsFL1
I'm Good (Blue) - Tiësto Remix Extended;";";"David Guetta; Bebe Rexha; Tiësto";";";053hasSC7Jjxxw8atn3KKW
I'm Good (Blue) - R3HAB Extended Remix;";";"David Guetta; Bebe Rexha; R3HAB";";";1J3c4o13ZJtDuaSL61cqRV
