Nome da Música;Artistas;ID da Música
Cruisin’ Through the Universe (feat. RZA);";";"Logic; RZA";";";3hFv8qZFF5m0u0fYA5ben4
Wake Up (feat. Lucy Rose);";";"Logic; Lucy Rose";";";5vAm3QwttS8NHWBrM3N6zC
Lightsabers (feat. C Dot Castro);";";"Logic; C Dot Castro";";";3HFvsoW5c4rzMdBZ5B2lJM
Playwright (feat. Andy Hull);";";"Logic; Andy Hull";";";3vyQPur5RNpsTazzzaHTTL
Gaithersburg Freestyle (feat. C Dot Castro, Big Lenbo, Fat Trel, & ADÉ);";";"Logic; C Dot Castro; Big Lenbo; Fat Trel; ADÉ";";";0EmJ0OPmW17GQe0FioryIO
Self Medication (feat. Seth MacFarlane, Redman, & Statik Selektah);";";"Logic; Seth MacFarlane; Redman; DJ Statik Selektah";";";1AQbGfbrR8710y5ebUpFwH
Shimmy (feat. Joey Bada$$);";";"Logic; Joey Bada$$";";";6elYXX32Vuz9KXHlBn6Spq
Paradise II (feat. Norah Jones);";";"Logic; Norah Jones";";";79Hh8v9EujUUadJIHuehNP
Come on Down (feat. Jordan Harris);";";"Logic; Jordan Harris";";";3Yh0BwxuWdWzcqESJ1LCFm
38.9897 °N, 76.9378 °W (feat. C Dot Castro & Big Lenbo);";";"Logic; C Dot Castro; Big Lenbo";";";4HCtUZG8w3KU1umULLhjtQ
Ayo (feat. Bun B & Lil Keke);";";"Logic; Bun B; Lil' Keke";";";70pxa73BCZ7zRi5IuASbQ2
In my lifetime (feat. Action Bronson);";";"Logic; Action Bronson";";";6FoyBTuvyX2YFw4QW1e6DK
Clouds (feat. Langston Bristol & Curren$y);";";"Logic; Langston Bristol; Curren$y";";";4VlMA2A8JRZnSI4Owdbnau
Therapy Music (feat. Russ);";";"Logic; Russ";";";0mvWpmMlAcxHkjLu9yXdoS
Breath Control (feat. Wiz Khalifa);";";"Logic; Wiz Khalifa";";";7Bi5CtEcDIduA53TdPHMLF
Nardwuar (feat. Doc D);";";"Logic; Doc D";";";2Gt5hPrCYs1VxXFRzCFF2N
