Nome da Música;Artistas;ID da Música
When Love's Around (feat. Syd);";";"ZAYN; Syd";";";6bL1Rqcx1RXG6VsMmrYN8F
Windowsill (feat. Devlin);";";"ZAYN; Devlin";";";0AyXOhs2iZAS3sOJbi1Kvq
No Candle No Light (feat. Nicki Minaj);";";"ZAYN; Nicki Minaj";";";5tH8UbEHc3seBxOlnzvoAs
Too Much (feat. Timbaland);";";"ZAYN; Timbaland";";";2bkNIMseHRfLidQqpXGsBx
Still Got Time (feat. PARTYNEXTDOOR);";";"ZAYN; PARTYNEXTDOOR";";";75xAS5ctghhPaL7BJi34hi
Dusk Till Dawn (feat. Sia) - Radio Edit;";";"ZAYN; Sia";";";3e7sxremeOE3wTySiOhGiP
wRoNg (feat. Kehlani);";";"ZAYN; Kehlani";";";7iCeaYJSEdGWeFNTAEqUzJ
Love Like This - Mura Masa Remix;";";"ZAYN; Mura Masa";";";1wgYKTumhfVTlanuSQ67Jx
Angel;";";"Jimi Hendrix; ZAYN";";";0QenQiXnBs7s9fBWGluD17
To Begin Again;";";"Ingrid Michaelson; ZAYN";";";1iJBSr7s7jYXzM8EGcbK5b
Flames (with ZAYN);";";"R3HAB; ZAYN; Jungleboi";";";7vk89ktmcXWU6bWDQDOgTC
Flames (with ZAYN) - Frank Walker Remix;";";"R3HAB; ZAYN; Jungleboi; Frank Walker";";";0EYNH8Ocj8E0W5ZCnWLEhw
Flames (with ZAYN) - R3HAB & Skytech VIP Remix;";";"R3HAB; ZAYN; Jungleboi; Skytech";";";4gEkvFuUguRIV9qeOMyjGt
Flames (with ZAYN) - Steve Aoki Remix;";";"R3HAB; ZAYN; Jungleboi; Steve Aoki";";";3E9sJN72oV8HnjqEV7bJxG
Flames (with ZAYN) - GATTÜSO Remix;";";"R3HAB; ZAYN; Jungleboi; GATTÜSO";";";5eAHU0bBcYl26tmkhOHnMH
Trampoline - Dave Audé Remix;";";"SHAED; ZAYN; Dave Audé";";";2TkGttpq14VZqVWFtXmOWB
Flames (with ZAYN) - R3HAB & Skytech VIP Remix;";";"R3HAB; ZAYN; Skytech; Jungleboi";";";5RQCpyKBnBsFLh6gdNSyHa
Trampoline - Joel Corry Remix;";";"SHAED; ZAYN; Joel Corry";";";5zI3838wCc10HChwXiafKv
Trampoline (Joel Corry Remix) - Extended Mix;";";"SHAED; ZAYN; Joel Corry";";";0PWxVQAsWCvSujKc73kOBx
Trampoline (with ZAYN);";";"SHAED; ZAYN";";";1iQDltZqI7BXnHrFy4Qo1k
"A Whole New World (End Title) - From ""Aladdin""";";";"ZAYN; Zhavia";";";1iWHabUgUuuKLBa0TzTHfk
Dusk Till Dawn (feat. Sia) - Brooks Remix;";";"ZAYN; Sia; Brooks";";";799ZJmqIOCy589IzlTZ0Wy
Dusk Till Dawn (feat. Sia) - Luca Lush Remix;";";"ZAYN; Luca Lush; Sia";";";6kOMzR2AzmOxVK8QDVW8aD
"Dusk Till Dawn (feat. Sia) - John ""J-C"" Carr Mix";";";"ZAYN; Sia; John ""J-C"" Carr";";";6kQzmbSkHGexuwD9D3zNom
Dusk Till Dawn (feat. Sia) - Radio Edit;";";"ZAYN; Sia";";";1j4kHkkpqZRBwE0A4CN4Yv
Still Got Time (feat. PARTYNEXTDOOR);";";"ZAYN; PARTYNEXTDOOR";";";000xQL6tZNLJzIrtIgxqSl
LIKE I WOULD - The White Panda Remix;";";"ZAYN; White Panda";";";25gECGQmjt6VMMAuPekofa
LIKE I WOULD - Rytmeklubben Remix;";";"ZAYN; Rytmeklubben";";";48nh50nmRNsBgPKINTvVmd
LIKE I WOULD - The White Panda Remix;";";"ZAYN; White Panda";";";5FRCYQCnVQaxGdbOyjMwGy
PILLOWTALK REMIX (feat. Lil Wayne);";";"ZAYN; Lil Wayne; Jaegen";";";7Kux9Q1ZYx1V1j3wre0aWk
