Nome da Música;Artistas;ID da Música
Smile;";";"JAY-Z; Gloria Carter";";";2tqoJQbv6dNNOi0PCCjuse
Caught Their Eyes;";";"JAY-Z; Frank Ocean";";";71oM9w2BbJxzTpxzWIE0lw
Family Feud;";";"JAY-Z; Beyoncé";";";6ku4gCfjdxmYpajNONAciN
Bam;";";"JAY-Z; Damian Marley";";";6Iuh3vNjpWhSeHM3RZgzQL
Holy Grail;";";"JAY-Z; Justin Timberlake";";";1q9bLSeIlGf2xBvbOkp2Wr
F*ckwithmeyouknowigotit;";";"JAY-Z; Rick Ross";";";5n86k4ft5H7OK4qdSUfYoz
Oceans;";";"JAY-Z; Frank Ocean";";";4gKy4mu2gkMEUyXD5peMIr
Part II (On The Run);";";"JAY-Z; Beyoncé";";";0zrxLoUbe59VjUfDI1r2m4
No Church In The Wild;";";"JAY-Z; Kanye West; Frank Ocean; The-Dream";";";1jIfaHx4jUl1mqdig9wUra
Lift Off;";";"JAY-Z; Kanye West; Beyoncé";";";2tS99DuyfPPJLBVeD8iAuV
Ni**as In Paris;";";"JAY-Z; Kanye West";";";0Bh5fftQH3Nnr5sH3I9G5o
Otis;";";"JAY-Z; Kanye West; Otis Redding";";";4KyMZxbMbrSPHwMczzgxqQ
Gotta Have It;";";"JAY-Z; Kanye West";";";36mTP2gYrZ13YzytQ5p0QW
New Day;";";"JAY-Z; Kanye West";";";0q9GhLUyqu6wCgl1d1S7hO
That's My Bitch;";";"JAY-Z; Kanye West";";";07CRJ8rXcaaqtboD6QXGur
Welcome To The Jungle;";";"JAY-Z; Kanye West";";";5oXniOwyoZL3XB1C4xuiU1
Who Gon Stop Me;";";"JAY-Z; Kanye West";";";5vqGzocoPjRQLsnL7UBOpE
Murder To Excellence;";";"JAY-Z; Kanye West";";";5y55cugikYzqJeZfVBqDeB
Made In America;";";"JAY-Z; Kanye West; Frank Ocean";";";57CdogxwhzdHhqjj0115He
Why I Love You;";";"JAY-Z; Kanye West; Mr Hudson";";";1xUGUTWQNqQzYOX1mkAlFw
Illest Motherf***** Alive;";";"JAY-Z; Kanye West";";";7t259tTXkuNVfxdQcnEagh
H•A•M;";";"Kanye West; JAY-Z";";";64rnghzDMy4cAEMZhSOp9h
