Nome da Música;Artistas;ID da Música
So Much Trouble In The World;";";"Bob Marley & The Wailers; Nutty O; Winky D";";";6llDUgUyYmnnismQIpfbEX
Them Belly Full (But We Hungry);";";"Bob Marley & The Wailers; Rema; Skip Marley";";";73YF1vuiOiJ1h7RR9QJfns
Redemption Song;";";"Bob Marley & The Wailers; Ami Faku";";";0PnZnWsh2fG4xe44J8KF11
Waiting In Vain;";";"Bob Marley & The Wailers; Tiwa Savage";";";1nhWb12ye8G2KfN5UGASeI
Turn Your Lights Down Low;";";"Bob Marley & The Wailers; Afro B";";";4KTUxeKZsKOlaIk0ba9Rmj
Three Little Birds;";";"Bob Marley & The Wailers; Teni; Oxlade";";";26oyBOC5QxOAh87yVu9UTK
Buffalo Soldier;";";"Bob Marley & The Wailers; Stonebwoy";";";3W1I6GPK5Gs2u1f74Sy16y
Stir It Up;";";"Bob Marley & The Wailers; Sarkodie";";";7h35uAmKtfoUwTiUhHkmjs
Jamming;";";"Bob Marley & The Wailers; Ayra Starr";";";77NLHAd0HQDUxG3DW6Z2iT
One Love;";";"Bob Marley & The Wailers; Patoranking";";";5SbbWSuCgpX1FrEx08LlU8
Exodus;";";"Bob Marley & The Wailers; Chineke! Orchestra";";";2wBmpbPk5rRRijCf9talEP
Stir It Up;";";"Bob Marley & The Wailers; Chineke! Orchestra";";";4UTePhdZMXekgewxcViXHm
One Love / People Get Ready;";";"Bob Marley & The Wailers; Chineke! Orchestra";";";5Mjm0PPpD68HsEDJlakJQd
Get Up, Stand Up;";";"Bob Marley & The Wailers; Chineke! Orchestra";";";3TqHUDbN0L8egAo2fMPa4E
Is This Love;";";"Bob Marley & The Wailers; Chineke! Orchestra";";";3u9ofBVNH3p23A69GJbRql
Redemption Song;";";"Bob Marley & The Wailers; Chineke! Orchestra";";";2PfgNDJ9LUPxmF8fIvQUm0
Top Rankin';";";"Bob Marley & The Wailers; Chineke! Orchestra";";";1QTK4jjvHSx1K52NpuGZ8a
Satisfy My Soul;";";"Bob Marley & The Wailers; Chineke! Orchestra";";";3lFwL0lqqOh8kawZ92mYue
I Shot The Sheriff;";";"Bob Marley & The Wailers; Chineke! Orchestra";";";4tQP5dygE0GaWRo65ZqdHl
Turn Your Lights Down Low;";";"Bob Marley & The Wailers; Chineke! Orchestra";";";5nDE9w9IuUaO8OlQMbc532
Exodus - Exodus 40 Mix;";";"Bob Marley & The Wailers; Ziggy Marley";";";2pJTX9PonYuJ2DzhMko2JO
Natural Mystic - Exodus 40 Mix;";";"Bob Marley & The Wailers; Ziggy Marley";";";1MjykK5Ik4oaFSYjWlxP3i
The Heathen - Exodus 40 Mix;";";"Bob Marley & The Wailers; Ziggy Marley";";";1pRz5RCujRMiPU2fHzlqgz
Guiltiness - Exodus 40 Mix;";";"Bob Marley & The Wailers; Ziggy Marley";";";0EgHDlNxKiGIDkPrrhsyG6
Jamming - Exodus 40 Mix;";";"Bob Marley & The Wailers; Ziggy Marley";";";78pKxMpbcLSh9wVClRhSs1
One Love / People Get Ready - Exodus 40 Mix;";";"Bob Marley & The Wailers; Ziggy Marley";";";4cScJvGYCkfsXhQUS8cZyX
Turn Your Lights Down Low - Exodus 40 Mix;";";"Bob Marley & The Wailers; Ziggy Marley";";";48AMOfyz0eIyW5qON2RuLI
Waiting In Vain - Exodus 40 Mix;";";"Bob Marley & The Wailers; Ziggy Marley";";";7CA5g6upQoULsVkGEJEUvi
Three Little Birds - Exodus 40 Mix;";";"Bob Marley & The Wailers; Ziggy Marley";";";1QZ6OHmN4rQNYUrmCm8BYG
Waiting In Vain - Jim James Remix;";";"Bob Marley & The Wailers; Jim James";";";3DWtijdygRcR36y1kglGv2
Stir It Up - Ziggy Marley Remix;";";"Bob Marley & The Wailers; Ziggy Marley";";";0CaR5IkoFhnqmyFVHl8jzP
