Nome da Música;Artistas;ID da Música
Daylight;";";"Joji; Diplo";";";6Ww8GHdPCl8MqZBhPn4LKd
High Hopes (feat. Omar Apollo);";";"Joji; Omar Apollo";";";5dl8x4xLEzZC0f927WBTUG
Pretty Boy (feat. Lil Yachty);";";"Joji; Lil Yachty";";";0f1G5SHFoFC9lO03gHCGVS
Normal People (feat. rei brown);";";"Joji; rei brown";";";4UiogCfzKQW98U1GTCivsn
Afterthought;";";"Joji; BENEE";";";6zvqq50PL7io0rprbkrYc9
Reanimator (feat. Yves Tumor);";";"Joji; Yves Tumor";";";75sIBYeVmCTdKEsAZdGKqM
CAN'T GET OVER YOU (feat. Clams Casino);";";"Joji; Clams Casino";";";39oeKRgsLeynDIbWuXyA47
WHY AM I STILL IN LA (feat. Shlohmo & D33J);";";"Joji; D33J; Shlohmo";";";1X8YgRhzbdXb1vZNLUTn9g
R.I.P. (feat. Trippie Redd);";";"Joji; Trippie Redd";";";4wJ8dJKBAxdDe5cUx8K779
Will He (Medasin Remix);";";"Joji; Medasin";";";4bOr88BuLILM22g8FKQWrG
Will He (Ryan Hemsworth Remix);";";"Joji; Ryan Hemsworth";";";1n8KCrv2wq43ysd6HQCpV6
Demons (Lapalux Remix);";";"Joji; Lapalux";";";7dbnPDB4gAJVTduLcixNMT
Demons (Lunice Remix);";";"Joji; Lunice";";";3MTef0fYROWYMP8b3ZAepO
Window (Actress Remix);";";"Joji; Actress";";";2zpgZcT2Ec1zFCSMwv0UR1
Pills (HWLS Remix);";";"Joji; HWLS";";";688ju6XT9P1vKt3sNEzuGS
Bitter Fuck (salute remix);";";"Joji; salute";";";7DPl2FNuOhvPsNaqDehQ0c
I Don't Wanna Waste My Time (SwuM Remix);";";"Joji; SwuM";";";4H3kVzEBywafoCOq1DomD7
Daylight;";";"Joji; Diplo";";";6Ed1q0X8oSKSm4IIhiQbYg
Gimme Love - Channel Tres Remix;";";"Joji; Channel Tres";";";45rFdiqdK7xjGb287C06bY
SLOW DANCING IN THE DARK - Loud Luxury Remix;";";"Joji; Loud Luxury";";";59pC3ONM6ggVn0CYi0l1KD
SLOW DANCING IN THE DARK - Mr. Mitch Remix;";";"Joji; Mr. Mitch";";";4mBfbF7V96E5bjCcnLNajr
