Nome da Música;Artistas;ID da Música
Young Right Now;";";"Robin Schulz; Dennis Lloyd";";";6Y4tAJ7qK8pqD1grVgooMz
Killer Queen;";";"Robin Schulz; FIL BO RIVA";";";5QI1jPpw4LoNMuUXKGLQg2
On Repeat;";";"Robin Schulz; David Guetta";";";2hSH9zh4RcLUfxVaIdlyOc
Sun Will Shine;";";"Robin Schulz; Tom Walker";";";3d8aMPDoIqLM5YBCJlwUAe
Somewhere Over the Rainbow / What a Wonderful World;";";"Robin Schulz; Alle Farben; Israel Kamakawiwo'ole";";";01xF0OfENcsZu0jI4VBnka
In Your Eyes (feat. Alida);";";"Robin Schulz; Alida";";";1ME3PNQYZbMGN73NN2Vhlh
Speechless (feat. Erika Sirola);";";"Robin Schulz; Erika Sirola";";";7wDTDI7giGtVFqgNipVcAR
Live and Let Live (feat. Sam Martin);";";"Robin Schulz; Sam Martin";";";5kGiOeFnayq6xIp6CfBWSo
All We Got (feat. KIDDO);";";"Robin Schulz; KIDDO";";";1iAyJBksvAI6DQEnzv8l1E
Alane;";";"Robin Schulz; Wes";";";7BQ5aGUuTHfkxPjLupviR4
Better with You (feat. SVRCINA);";";"Robin Schulz; SVRCINA";";";4akFuBlJjuwixW3HDtSolB
All This Love (feat. Harlœ);";";"Robin Schulz; HARLOE";";";0YBEseluYfhM4CsiSKKiyP
One More Time (feat. Alida);";";"Robin Schulz; Felix Jaehn; Alida";";";2REu6wX4KKrG6uGlTKVqu6
Make Me Feel the Night (feat. Tyler James Bellinger);";";"Robin Schulz; Tyler James Bellinger";";";6bD3KNRkjhLJUf1qjUAAP0
Kill the Fire (feat. The Leonard);";";"Robin Schulz; The Leonard";";";74TLWZk7TYAIPR5R1gmwOn
Dream (feat. colour your mind);";";"Robin Schulz; colour your mind";";";3u08toUhb8mNvqZonfUTd3
Rather Be Alone;";";"Robin Schulz; Nick Martin; Sam Martin";";";3OtK6JOnTe7kGdlmUtSEYf
Feel Something (feat. SAYGRACE);";";"Robin Schulz; SAYGRACE";";";25gBVBKLXA9hyJ1oXu02wD
Unforgettable;";";"Robin Schulz; Marc Scibilia";";";3rvEwBi1mFFHqCnkrGmnWp
Shed a Light;";";"Robin Schulz; David Guetta; Cheat Codes";";";1eyrmeiDpdTkOmA839nPVQ
Fools;";";"Robin Schulz; Aalias; iRO";";";1iNVozzQE4woFdySdrpB4z
Like You Mean It;";";"Robin Schulz; Rhys";";";1qR73waVOTzDT4J6hzC8ts
OK;";";"Robin Schulz; James Blunt";";";32y9LSjv2Q49T3NnkETXCm
Naked;";";"Robin Schulz; Sam Martin";";";2XOoq1yZPOEzNtwWyihvra
More Than a Friend;";";"Robin Schulz; Nico Santos";";";1HwTvfQoFWV1vavcgHvptJ
I Believe I'm Fine;";";"Robin Schulz; HUGEL";";";2i3WO0WkrlnrA1I4GdUmxh
Ha Leh Lou Ya;";";"Robin Schulz; Christy McDonald";";";1gAbEXZi4ZrmA5KPQARXrD
Sounds Easy;";";"Robin Schulz; Ruxley";";";3K7WlpKeeO1NEUO2jEJNQQ
Headlights (feat. Ilsey);";";"Robin Schulz; Ilsey";";";0tDC3KJPPu5eonGTtCURpq
Sugar (feat. Francesco Yates);";";"Robin Schulz; Francesco Yates";";";5tf1VVWniHgryyumXyJM7w
Heatwave (feat. Akon);";";"Robin Schulz; Akon";";";2KMJ5CoxY4ECG9TZyNWmpv
Yellow;";";"Robin Schulz; Disciples";";";3cD2ynsSFxzAaDSYoH0nC1
Show Me Love;";";"Robin Schulz; Richard Judge";";";0aHOXu219Z4MqEKwiKsddl
Love Me Loud (feat. Aleesia);";";"Robin Schulz; M-22; Aleesia";";";4TvTkhgS5O57dyAtJAK8ME
Pride;";";"Robin Schulz; SoFly; Nius";";";1gdnpDdSc3YpNgaF2iKYxx
Find Me;";";"Robin Schulz; HEYHEY";";";60NuKHQYv27T09st3QBwCq
Save Tonight (feat. Solamay);";";"Robin Schulz; MOGUAI; Solamay";";";2PWKdiDjYkkOdInPxGrP51
4 Life (feat. Graham Candy);";";"Robin Schulz; Graham Candy";";";6OKaib6HaebKVCL5VOoIGR
Wave Goodbye (feat. Jeffrey Jey);";";"Robin Schulz; Henri PFR; Jeffrey Jey";";";115ndcAyWMabNy7WgUzP7t
World Turns Grey (feat. Princess Chelsea);";";"Robin Schulz; HEYHEY; Princess Chelsea";";";7MOTWBAHHzaEU31Bn7iXwQ
Moonlit Sky (with the Void Pacific Choir);";";"Robin Schulz; Moby; The Void Pacific Choir";";";7F6fM3HniG3sC4LAv5WZIl
Prayer in C - Robin Schulz Radio Edit;";";"Lilly Wood and The Prick; Robin Schulz";";";0uVyZywUNOp6S0dU5r8TS8
