Nome da Música;Artistas;ID da Música
Having Our Way (feat. Drake);";";"Migos; Drake";";";36yBiXRirp9daKkp4Ex15q
Type Shit (feat. Cardi B);";";"Migos; Cardi B";";";6VC3A5taWBb8ehudY7FHpY
Malibu (feat. Polo G);";";"Migos; Polo G";";";4LIMp2OsqH47duQlKoGu4q
Picasso (feat. Future);";";"Migos; Future";";";3djLoxfqnEjl5A9ZbTqf08
What You See (feat. Justin Bieber);";";"Migos; Justin Bieber";";";068vr9bgcrpLvE3csD10hg
Antisocial (feat. Juice WRLD);";";"Migos; Juice WRLD";";";7y0Pqy17V0JcuvSJ00Ml4V
Light It Up (feat. Pop Smoke);";";"Migos; Pop Smoke";";";1LiYnpC3lm7GqDcKJgB5lg
Need It (feat. YoungBoy Never Broke Again);";";"Migos; YoungBoy Never Broke Again";";";6Ba4ECvtv8NcOLvIK3RaxP
Having Our Way (feat. Drake);";";"Migos; Drake";";";2NM0qHzx4Ohy8iXHEEgwlO
Type Shit (feat. Cardi B);";";"Migos; Cardi B";";";4N4wemxs9Em6nJ5kXTjEsS
Malibu (feat. Polo G);";";"Migos; Polo G";";";3v1zVVdzNVNt7vmI9VG2gq
Picasso (feat. Future);";";"Migos; Future";";";2kPlWEOm2tQlaZRE01IbBQ
What You See (feat. Justin Bieber);";";"Migos; Justin Bieber";";";58H8cWvvaFLFg2g7SdOO44
Antisocial (feat. Juice WRLD);";";"Migos; Juice WRLD";";";3lakLxKgelrvKBTyGwDXhX
Light It Up (feat. Pop Smoke);";";"Migos; Pop Smoke";";";5rIjbX7rQMj8Gh9Oxd4Vrc
Need It (feat. YoungBoy Never Broke Again);";";"Migos; YoungBoy Never Broke Again";";";1cMMVJ4FDqhCci9efd1BU6
BBO (Bad Bitches Only);";";"Migos; 21 Savage";";";4BHzHISX21PYwGXiBEUQ70
Walk It Talk It;";";"Migos; Drake";";";6n4U3TlzUGhdSFbUUhTvLP
CC;";";"Migos; Gucci Mane";";";35ffVv9x4mtzBh5rF1K9sP
White Sand;";";"Migos; Travis Scott; Ty Dolla $ign; Big Sean";";";2KokOIKdw4zZutDil85Ugh
MotorSport;";";"Migos; Nicki Minaj; Cardi B";";";4wFjTWCunQFKtukqrNijEt
Notice Me;";";"Migos; Post Malone";";";3OnOomd79OjqSYHchCQ6ht
Too Playa;";";"Migos; 2 Chainz";";";4TAifFqlNkBvrycHbWV9Ew
Culture (feat. DJ Khaled);";";"Migos; DJ Khaled";";";3zrks1xFx1ATYzEx5mX3Q8
Bad and Boujee (feat. Lil Uzi Vert);";";"Migos; Lil Uzi Vert";";";0M9ydKzuF3oZTfYYPfaGX1
Slippery (feat. Gucci Mane);";";"Migos; Gucci Mane";";";0TBgMKD86t1VP3IzhxCoUl
Deadz (feat. 2 Chainz);";";"Migos; 2 Chainz";";";3sTsxjv7yb0cM3rWvQdVan
Kelly Price (feat. Travis Scott);";";"Migos; Travis Scott";";";5Q6DJEgNTiN9xcOQzKmw9F
Rich Foreva (feat. J Money);";";"Migos; J Money";";";2vrVMpuYpWq6xWdwMd7fCL
Roll On (feat. French Montana);";";"Migos; French Montana";";";372oAfIygmLiEIYCzU1lkU
Bandz in the Bank;";";"Migos; Rich The Kid";";";2jCVW4L03pdIjx6Rb8XlEY
Keep It Hundred;";";"Migos; Fetty Wap";";";2guAtk15O7PNI9FBoz93YF
No More;";";"Migos; Rich The Kid";";";4DnURyVtur8no2bMKJXQ6e
She Ain't;";";"Migos; Rich Homie Quan";";";0sxCwdQNwuthH46geMLY4J
1 Shot 2 Shot;";";"Migos; 2 Shot";";";6r1omrlhc4RENvyZcBNyEx
Lowest;";";"Migos; Gucci Mane";";";3Ej9lJAq1tL2JIQy0QndIO
Change;";";"Migos; Migo Band";";";2EnRm6jl5MSbe5zYHhx2Rj
Migo Life;";";"Migos; Scooby; Shaggy";";";0maB2hKGfnIUcK8g9YO4gR
Currency;";";"Migos; Rich The Kid";";";6GcNIpTuyKBu7ACTHowckx
Just for Tonight (feat. Chris Brown);";";"Migos; Chris Brown";";";35zJMcU8InijNeQnNTnyw6
Cocaina (feat. Young Thug);";";"Migos; Young Thug";";";1YDnLxy20HhSlh6322QiGF
1017 (feat. Young Thug);";";"Gucci Mane; Migos; Young Thug";";";5qzq3ls2SOF8FjqMkwTo3m
Hotpocket;";";"Gucci Mane; Migos";";";6rwvTDMcWnG5TMeaR0nDp7
Problems (feat. Young Thug);";";"Gucci Mane; Migos; Young Thug";";";2Iea0kcWawCXlIxe4Q2R0d
