Nome da Música;Artistas;ID da Música
TOO MUCH;";";"The Kid LAROI; Jung Kook; Central Cee";";";100fbGocyqbBPQkTDchi2g
WHAT'S THE MOVE? (feat. Future and BabyDrill);";";"The Kid LAROI; Future; BabyDrill";";";3ejvAIZxccW0Yio4a72ukg
CALL ME INSTEAD (feat. Youngboy Never Broke Again & Robert Glasper);";";"The Kid LAROI; YoungBoy Never Broke Again; Robert Glasper";";";69hFLxRnzg80zqVOfhTPwW
THE LINE (feat. d4vd);";";"The Kid LAROI; d4vd";";";6peLcllXcq0BQ6XiwtlVA7
NOT SOBER (feat. Polo G & Stunna Gambino);";";"The Kid LAROI; Polo G; Stunna Gambino";";";29t9XYOV65fFXiVzFFJgHH
STAY (with Justin Bieber);";";"The Kid LAROI; Justin Bieber";";";567e29TDzLwZwfDuEpGTwo
DON'T LEAVE ME (feat. G Herbo & Lil Durk);";";"The Kid LAROI; G Herbo; Lil Durk";";";2n1XN46reBpu5I9wDwzZMP
STILL CHOSE YOU (feat. Mustard);";";"The Kid LAROI; Mustard";";";7xJqJxiM5f0BZQLWCbOuWz
TRAGIC (feat. Youngboy Never Broke Again & Internet Money);";";"The Kid LAROI; YoungBoy Never Broke Again; Internet Money";";";6ilmDtTR9yGrZCIOnMLNQy
FEEL SOMETHING (feat. Marshmello);";";"The Kid LAROI; Marshmello";";";7uIgmq5lixaNDaYcUDSsC3
F*CK YOU, GOODBYE (feat. Machine Gun Kelly);";";"The Kid LAROI; Machine Gun Kelly";";";0c34ovpXiMWWUbKX0IavIH
WRONG (feat. Lil Mosey);";";"The Kid LAROI; Lil Mosey";";";32cDvfCsazF1frFWcaMjc1
NOT FAIR (feat. Corbin);";";"The Kid LAROI; Corbin";";";10XwT9r62bJtgK07aaitUk
GO (feat. Juice WRLD);";";"The Kid LAROI; Juice WRLD";";";4lH5L59hPQGr05aJyb2Q2E
WHAT'S THE MOVE? (feat. Future and BabyDrill);";";"The Kid LAROI; Future; BabyDrill";";";0oqnZWNBvobs1t181f45Ck
TOO MUCH;";";"The Kid LAROI; Jung Kook; Central Cee";";";0rKWJnmo6Q0ovoPOLoLm0t
Paris to Tokyo;";";"Fivio Foreign; The Kid LAROI";";";5QvW5lK6mkfTegpAK9JOO7
STAY (with Justin Bieber);";";"The Kid LAROI; Justin Bieber";";";5HCyWlXZPP0y6Gqq8TgA20
WITHOUT YOU (with Miley Cyrus);";";"The Kid LAROI; Miley Cyrus";";";1EHUQesfVKwbthtNcpBi9g
Reminds Me Of You;";";"Juice WRLD; The Kid LAROI";";";5YSHygGN9D0mID1NsVd5my
HELL BENT (with The Kid LAROI);";";"TOKYO’S REVENGE; The Kid LAROI";";";1rLwS59yafEH1ndsCL3Bbi
Speak;";";"Internet Money; The Kid LAROI";";";55S6KB8fKxUkoLrIfSY0e3
GO (feat. Juice WRLD);";";"The Kid LAROI; Juice WRLD";";";2t7D3y0jvYjR8IP9Bosyew
Fade Away;";";"The Kid LAROI; Lil Tjay";";";32ypPhtgTaETvFn3ZIHXTW
Go Dumb (feat. blackbear, The Kid LAROI and Bankrol Hayden);";";"Y2K; The Kid LAROI; blackbear; Bankrol Hayden";";";64YAQSR4jfmtHeJudcQix2
Diva (feat. Lil Tecca);";";"The Kid LAROI; Lil Tecca";";";7gVwgc8b3XnO87TpmXXFA5
