Nome da Música;Artistas;ID da Música
Colostomy (feat. WizDaWizard);";";"Kodak Black; WizDaWizard";";";0StljT86liXbMy5EVTw2t0
Extra Clips (feat. WizDaWizard & Wam SpinThaBin);";";"Kodak Black; WizDaWizard; Wam SpinThaBin";";";0wultQNBegZy2JkGlvui7x
Master Peace (feat. OG Bobby Billions);";";"Kodak Black; OG Bobby Billions";";";2GveCv0PxGQ5ZnCcjZkpyO
Roses (feat. VVSNCE);";";"Kodak Black; VVSNCE";";";6BfQVO7KbVUX5F6mXaYINL
Get Away (feat. Loe Shimmy);";";"Kodak Black; Loe Shimmy";";";1PScfd4Mz9NBasUAfoojHc
Flirting With Death (feat. GorditoFlo);";";"Kodak Black; GorditoFlo";";";4uumzXBG1pKVtDL8sD5iGE
Dirt McGerk (feat. EST Gee & Lil Crix);";";"Kodak Black; EST Gee; Lil Crix";";";2fVsxlNzZlTDmj0xQzooOb
Church On Saturday (feat. WizDaWizard, Wam SpinThaBin & Syko Bob);";";"Kodak Black; Syko Bob; Wam SpinThaBin; WizDaWizard";";";0PvALlwF3tndhUzEDcFcjb
Play (feat. Lil Crix);";";"Kodak Black; Lil Crix";";";0BsNelH25cQsMCVu7Uz9zl
Starter Kit (feat. VVSNCE);";";"Kodak Black; VVSNCE";";";1vpWP8MM6q0ibz7bUI2DsV
Ammunition (feat. NFL Tuewop);";";"Kodak Black; NFL Tuewop";";";2hzn4an63epBDJwKqdJuz6
Bad Man (feat. Prince Swanny);";";"Kodak Black; Prince Swanny";";";5AseTVOfEofHsvXRt12DIt
Take You Back (feat. Lil Durk);";";"Kodak Black; Lil Durk";";";1WrVBzjNuyDBqh0kXHFsCr
Spain (feat. Tory Lanez and Jackboy);";";"Kodak Black; Jackboy; Tory Lanez";";";4UM5mQPf6WKvmlSa1UwFrR
I Knew It (feat. Gucci Mane & CBE);";";"Kodak Black; CBE; Gucci Mane";";";4mr0vRAzsQmWE9oTTfkme2
Make A Hit (feat. Lil Yachty);";";"Kodak Black; Lil Yachty";";";6EjbqmKlrYawjNB9BTccbh
Gnarly (feat. Lil Pump);";";"Kodak Black; Lil Pump";";";40Rpg3LkZwwzuHJ3GdjMma
ZEZE (feat. Travis Scott & Offset);";";"Kodak Black; Offset; Travis Scott";";";0FZ4Dmg8jJJAPJnvBIzD9z
MoshPit (feat. Juice WRLD);";";"Kodak Black; Juice WRLD";";";4KX8vXbouybtUptEyYxtIk
Codeine Dreaming (feat. Lil Wayne);";";"Kodak Black; Lil Wayne";";";1wHvJ7PJEyEAgiOK5FqAKn
Fuck with You (feat. Tory Lanez);";";"Kodak Black; Tory Lanez";";";6jLzD3MKPmRp58AWTTQnBw
Roll in Peace (feat. XXXTENTACION);";";"Kodak Black; XXXTENTACION";";";2L8fevaAigB9yXn5psMR3R
My Klik (feat. John Wicks & JackBoy);";";"Kodak Black; Jon Wicks; Jackboy";";";1MFV8Xs2GQSvkWBXtbgAul
Built My Legacy (feat. Offset);";";"Kodak Black; Offset";";";1VZB4OFyN1e1a6SzRTWpPJ
Codeine Dreaming (feat. Lil Wayne);";";"Kodak Black; Lil Wayne";";";4DTpngLjoHj5gFxEZFeD3J
Cognitive;";";"Kodak Black; Lil Wayne";";";6GwI7uFmTvUW7TwryZ0oQk
Projects (feat. Birdman);";";"Kodak Black; Birdman";";";4R11u0yYoDPonNV2lFQr4E
F.E.M.A;";";"Kodak Black; Plies";";";73qm6detySGCjHkgVEs5uN
Too Much Money;";";"Kodak Black; Plies";";";4T5CrIvqqcqdP9akISwyMi
No English;";";"Kodak Black; Plies";";";766NwjDnnpCNa05Zs3Nvvc
Real Hitta;";";"Kodak Black; Plies";";";2fV5eoefzQlpRBpIGiRbeo
Still Got Luv Fa Ya;";";"Kodak Black; Plies";";";2eyOMI8AlM10d2Ru3BkeUc
Potato;";";"Kodak Black; Plies";";";1FlrYLCm6IfyoupsKn8uL3
Headache;";";"Kodak Black; Plies";";";3Dyltnvt5Tb5LvInXZycn0
Nothin;";";"Kodak Black; Plies";";";0uEHKAtDV9vraZF2dj9hCa
Heart Mind;";";"Kodak Black; Plies";";";2OPxM2L3KtuehqY24vTMGs
Cut Throat;";";"Kodak Black; Plies";";";4cNjnUoV6Hh1AwxlTkHdw3
Roll in Peace (feat. XXXTENTACION);";";"Kodak Black; XXXTENTACION";";";40oKW22ZNNkEdZLJTScaQI
Me and Klik (feat. John Wicks & JackBoy);";";"Kodak Black; John Wicks; Jackboy";";";7zStM6BG1egfHOpwdD3Lzi
Built My Legacy (feat. Offset);";";"Kodak Black; Offset";";";7Jd3almoehzurMOYuy2eIE
Candy Paint (feat. Bun B);";";"Kodak Black; Bun B";";";5Su82DCebDzhL88yWyUasx
Conscience (feat. Future);";";"Kodak Black; Future";";";16dXg2YuFOxwDC3cTf5jde
Reminiscing (feat. A Boogie wit da Hoodie);";";"Kodak Black; A Boogie Wit da Hoodie";";";3Aa4thPgwXgOlyEBTF4yzj
Top Off Benz (feat. Young Thug);";";"Kodak Black; Young Thug";";";0xlyQp1p50ZekkZ0vrBydP
Feeling Like (feat. Jeezy);";";"Kodak Black; Jeezy";";";3aY5w0ETPcBEdYRe5RlDM7
Vibin In This Bih;";";"Kodak Black; Gucci Mane";";";4g8pXHvEnwBkyEbUOsAEig
Slayed;";";"Kodak Black; Boosie Badazz";";";3cOyZkIgBZneCUm9ZSWfke
Too Many Years;";";"Kodak Black; PnB Rock";";";7KyTq7H5f3Oavmuo9TX6QK
Won't Go Back;";";"Kodak Black; Dirty1000";";";14G5VHUSLIMsUiSnd5LLEd
Never Imagine;";";"Kodak Black; The Kolyons";";";2nFFcJoPk9Ea8CVlRo5sES
My Wrist;";";"Kodak Black; Kolyon";";";4lLz08rU2lFc82ufc8QQHz
Better Days;";";"Kodak Black; Choo Choo";";";2iTtYC8SIxz6KJNxwtyw3z
HVN ON EARTH (with Kodak Black);";";"Lil Tecca; Kodak Black";";";4367dXCt02KMgELPisJ2D4
Future Faking;";";"Lil MC; Mike Devoe; Kodak Black";";";6fgtJ1TTBwiAwG9dy5ONqS
Shaka Laka (feat. Kodak Black);";";"6ix9ine; Yailin la Mas Viral; Kodak Black";";";4thyim0b9fKcBByGgtnqHF
I Can't Lie (with Kodak Black);";";"French Montana; Kodak Black; London On Da Track";";";3VLsdzHOFM9pyn79QTjiGJ
I Can't Lie (with Kodak Black) - Extended;";";"French Montana; Kodak Black; London On Da Track";";";6ajwtWw0CMXEJ5XCvQTtnr
