Nome da Música;Artistas;ID da Música
Addicted To A Memory;";";"Zedd; Bahari";";";0xTGfdrWzJLKRD4U6hxSsg
I Want You To Know;";";"Zedd; Selena Gomez";";";1JDIArrcepzWDTAWXdGYmP
Beautiful Now;";";"Zedd; Jon Bellion";";";2ISSQPb9LHHiV6ng2NXosL
Transmission;";";"Zedd; Logic; X Ambassadors";";";1Bh8jtOXIBIRUUghbrwUTX
Papercut;";";"Zedd; Troye Sivan";";";62hWYjPL57rbUd5rhvI3Of
Bumble Bee;";";"Zedd; Botnek";";";0L2tjlCReyNfmL37wZh6kF
Illusion;";";"Zedd; Echosmith";";";3ID8CH6UCMCIhcGg4Yfy4d
Hourglass;";";"Zedd; LIZ";";";0jE6fcDK21Bq4BjGHlMCGt
Spectrum;";";"Zedd; Matthew Koma";";";42MhtniCyRkj5bsO6HP1lp
Lost At Sea;";";"Zedd; Ryan Tedder";";";1oUec8mUPwzXFtk0beUVbc
Clarity;";";"Zedd; Foxes";";";3HrozUzUsMLPNWwuYUHwdV
Fall Into The Sky;";";"Zedd; Lucky Date; Ellie Goulding";";";3NbGexmVQ5J4jdDPdXb3MX
Follow You Down;";";"Zedd; Bright Lights";";";7aw5b93iW6cdO0iWA0ZdAS
Stay The Night - Featuring Hayley Williams Of Paramore;";";"Zedd; Hayley Williams";";";4bT2zLVv2T4GiK9q9KtI0v
Push Play;";";"Zedd; Miriam Bryant";";";5ADEOoHi4QVVCdQNSWxO8W
Alive;";";"Empire of the Sun; Zedd";";";5MrQhCbUZnAa2EIGQt5DHu
Breakn' A Sweat - Zedd Remix;";";"Skrillex; The Doors; Zedd";";";4GubwVNqQLCtoqMz2LeQbu
Clarity - Remix;";";"Zedd; Medina";";";2zSEnOEVOQGOK7BVWWxcRN
Stay The Night - Tiesto's Club Life Remix;";";"Zedd; Hayley Williams; Tiësto";";";560bmVbJ73hE75bunZ8SNa
Find You;";";"Zedd; Matthew Koma; Miriam Bryant";";";7mazffu6nlIv0rtRyPDMTD
Hourglass;";";"Zedd; LIZ";";";6NwrXtcFbc8OX7wJyBqE89
Spectrum;";";"Zedd; Matthew Koma";";";1dFkD1JfRMzwO6hwUsE8aS
Lost At Sea;";";"Zedd; Ryan Tedder";";";3Gwq0zKnMWluOEPKh93BeC
Clarity;";";"Zedd; Foxes";";";60wwxj6Dd9NJlirf84wr2c
Fall Into The Sky;";";"Zedd; Lucky Date; Ellie Goulding";";";6xzCQrXrn0uOOKBQZK1zsF
Follow You Down;";";"Zedd; Bright Lights";";";2VtX9viww814jnWFERUhAS
Make You Say - ellis Remix;";";"Zedd; BEAUZ; ellis; Maren Morris";";";67Y5TUpVRkdEqnnhpXUTp1
Where You Are - Zedd Remix;";";"John Summit; Hayla; Zedd";";";6hI3PnULFXwkOQSHLHNfOO
Where You Are;";";"John Summit; Hayla";";";5pSUxTYDsOoGhzyCW4aXCL
Make You Say;";";"Zedd; Maren Morris; BEAUZ";";";1elhmWW7Bv0MOQj2gAsyoV
Follow;";";"Martin Garrix; Zedd";";";5aXTfpNOqLj35ydEiLio67
You've Got To Let Go If You Want To Be Free;";";"Disclosure; Zedd";";";5kVXjAxYDkN57tZQi0JKya
Die For You - Zedd Remix;";";"VALORANT; Grabbitz; Zedd";";";4iwzQQ0Y8c7kM3wmgAVCrq
Inside Out (feat. Griff) - Maliboux Remix;";";"Zedd; Griff; Maliboux";";";3GOLdvGmGfJ64R0meSCVD5
Inside Out (feat. Griff) - 3SCAPE DRM Remix;";";"Zedd; Griff; 3SCAPE DRM";";";30fFoEhZX88S4p0mhcxJXb
Inside Out (feat. Griff) - Dominuscreed Remix;";";"Zedd; Griff; Dominuscreed";";";0O1ZvJ97FcnDZxqqi8njkU
Inside Out (feat. Griff);";";"Zedd; Griff";";";6IiCb4PCrDgqLuDWgHhFi7
Funny - Breathe Carolina Remix;";";"Zedd; Jasmine Thompson; Breathe Carolina";";";5qFxwk3aRCzq0U8HKLfWRB
Funny - Marc Benjamin Remix;";";"Zedd; Jasmine Thompson; Marc Benjamin";";";2dAZeZ4j5W5YPnOA5pCd6L
Funny - Ellis Remix;";";"Zedd; Jasmine Thompson; ellis";";";4G1TF5lAQFhAJ6KjduKC0g
Funny;";";"Zedd; Jasmine Thompson";";";7lOXRCqbGVMQjd0autdlA3
Funny - Stripped;";";"Jasmine Thompson; Zedd";";";3Y7OKgEqnFTAH61TSHBpyo
Funny;";";"Zedd; Jasmine Thompson";";";2eb4RvKpSJFvvyN9vQ5G5S
Funny;";";"Zedd; Jasmine Thompson";";";4FYbo4yQzu3hGkj2Ix4ucW
Good Thing (feat. Kehlani) - Osrin Remix;";";"Zedd; Kehlani; Osrin";";";4wiCv6q3xqtiaRsQ5sOTSc
Good Thing (feat. Kehlani) - Marc Benjamin Remix;";";"Zedd; Kehlani; Marc Benjamin";";";1IdnTCh4GlzkjoceN6LVpQ
Good Thing (feat. Kehlani) - Grant Remix;";";"Zedd; Kehlani; Grant";";";3d7W9cysz9P6RpmuNkDnnb
Good Thing (feat. Kehlani) - Soulji Remix;";";"Zedd; Kehlani; Soulji";";";0DMq8xPRJGcVLTjffpLdAd
Good Thing (with Kehlani) - LIVE;";";"Zedd; Kehlani";";";3Az17YYYgTLN4k4KcBazcy
Good Thing (with Kehlani);";";"Zedd; Kehlani";";";5aUSEPNd3m5xliFK4pn5mU
365 - Zedd Remix;";";"Zedd; Katy Perry";";";0ywzvARVqoxQOJpaswRe9E
365 - Jonas Aden Remix;";";"Zedd; Katy Perry; Jonas Aden";";";70gUpEnhuX4OxklDsYewHY
365 - Ellis Remix;";";"Zedd; Katy Perry; ellis";";";25hzDByizJNuGTRChXMkFj
365 - KUURO Remix;";";"Zedd; Katy Perry; KUURO";";";1yUSziR5DTtZgcxWcJLD2w
365;";";"Zedd; Katy Perry";";";2XWjPtKdi5sucFYtVav07d
Lost In Japan - Remix;";";"Shawn Mendes; Zedd";";";575NJxNUVDqwJGdzBrlLbv
Happy Now - Marc Benjamin Remix;";";"Zedd; Elley Duhé; Marc Benjamin";";";73V0nE9PTpQ65goZTqv10O
Happy Now - BEAUZ Remix;";";"Zedd; Elley Duhé; BEAUZ";";";6gd1yNyevcirDWXelk2mfN
Happy Now - Duke & Jones Remix;";";"Zedd; Elley Duhé; Duke & Jones";";";7ir8cXuMAfXx9BCYkvYCz0
Happy Now - MXXWLL Remix;";";"Zedd; Elley Duhé; MXXWLL";";";6MXCDy1exjgkHYqfi5NPrp
Happy Now - Magnificence Remix;";";"Zedd; Elley Duhé; Magnificence";";";7zo2yUMOvN79VL9vATbMPq
Happy Now - Acoustic;";";"Zedd; Elley Duhé; Arkadi";";";6cWpGXt8X3WqHYnnDeNiKV
Happy Now;";";"Zedd; Elley Duhé";";";3tuXF7elhg9PKuPq88vxM8
Happy Now;";";"Zedd; Elley Duhé";";";4keoy2fqgwGnbWlm3ZVZFa
The Middle;";";"Zedd; Maren Morris; Grey";";";09IStsImFySgyp0pIQdqAc
Get Low (with Liam Payne) - Kuuro Remix;";";"Zedd; Liam Payne; KUURO";";";3DByIjDCubaaMzBARet2wW
Get Low (with Liam Payne);";";"Zedd; Liam Payne";";";2syQ0f4SAQdzvlAewPl1DJ
Stay - Acoustic;";";"Zedd; Alessia Cara";";";1EXxVBTTTzjgon6hWh3TuD
Stay - Petit Biscuit Remix;";";"Zedd; Alessia Cara; Petit Biscuit";";";3EV0Eo3m7nd74rXuSIi08s
Stay - The Kemist Remix;";";"Zedd; Alessia Cara; The Kemist";";";5qb5VSvQVAjYi2BgL9aUHK
Stay - Jonas Blue Remix;";";"Zedd; Alessia Cara; Jonas Blue";";";3qwQ3PEudWSXRaWbsJUUx5
Stay - Lophiile Remix;";";"Zedd; Alessia Cara; lophiile";";";5CYAoFTUYmujB0vn9yzxOW
Stay - Yasutaka Nakata Remix;";";"Zedd; Alessia Cara; Yasutaka Nakata";";";3I2gTrQMzIjk9jKVD6qEjT
Stay - Tritonal Remix;";";"Zedd; Alessia Cara; Tritonal";";";21p7UJDFT2SUgwv08cNn5y
Stay;";";"Zedd; Alessia Cara";";";6uBhi9gBXWjanegOb2Phh0
Let Me Love You - Zedd Remix;";";"DJ Snake; Zedd; Justin Bieber";";";7xufmkFUZoSjX1mxWupnKY
Papercut - Grey Remix;";";"Zedd; Grey; Troye Sivan";";";1lp42TzlLxvqnubUzoMnpM
I Want You To Know - Lophiile Remix;";";"Zedd; Selena Gomez; lophiile";";";2oduaICRXEXfcl3qIKUdkn
Adrenaline;";";"Zedd; Grey";";";2pi3gRZ7K1Tf9YSyHYqPJT
Starving;";";"Hailee Steinfeld; Grey; Zedd";";";4Ce37cRWvM1vIGGynKcs22
True Colors;";";"Zedd; Kesha";";";71qR03VPn762lG8esdRmkR
Candyman;";";"Zedd; Aloe Blacc";";";0NWQTyapmz4GuDTSN9xTB7
Beautiful Now - Rock Mafia Remix;";";"Zedd; Jon Bellion; Rock Mafia";";";5bfpZBEWw50zOkmoxuqMNU
Beautiful Now - Grey Remix;";";"Zedd; Jon Bellion; Grey";";";3cfuTXCcN6BqTBpsUHsqVP
Beautiful Now - Big Gigantic Remix;";";"Zedd; Jon Bellion; Big Gigantic";";";4Ymhs8dGZ71HjATpq0G0mB
Bumble Bee - Extended Mix;";";"Zedd; Botnek";";";7kRsMslv1W2TZQCGB2nWow
Beautiful Now - Zonderling Remix;";";"Zedd; Jon Bellion; Zonderling";";";3zVVMv09YkEZBsSkY795kE
Beautiful Now - KDrew Remix;";";"Zedd; Jon Bellion; KDrew";";";2N6le1A7ktlbpYySt0LOW6
Beautiful Now - Dirty South Remix;";";"Zedd; Jon Bellion; Dirty South";";";51tGeVhhW7S3HCXMaZSUzK
Beautiful Now - Charlie Darker Remix;";";"Zedd; Jon Bellion; Charlie Darker";";";2wyODll1B2qkXFHVVLujcC
Beautiful Now - Dirty South Remix;";";"Zedd; Jon Bellion; Dirty South";";";7wfwhoB3OAzKElXW3tGgrf
Find You - Kevin Drew Remix;";";"Zedd; Matthew Koma; Miriam Bryant; Kevin Drew";";";2TG70t1GoOA8FekuAZBfXL
Find You - Dash Berlin Remix;";";"Zedd; Matthew Koma; Miriam Bryant; Dash Berlin";";";7cBxYh0ZrRLGrq84gRSGAR
Find You - Tritonal Remix;";";"Zedd; Matthew Koma; Miriam Bryant; Tritonal";";";1X3vx6ichKxWR1j1VY0p6D
Find You - Froxic Remix;";";"Zedd; Matthew Koma; Miriam Bryant; Froxic";";";3mgvtETJvbfPIBkp7H432s
Find You - Syn Cole Remix;";";"Zedd; Matthew Koma; Miriam Bryant; Syn Cole";";";0V2smogtJfChIAjkQogYNz
Find You - Mike Hawkins Remix;";";"Zedd; Matthew Koma; Miriam Bryant; Mike Hawkins";";";0iyA0SSX89XFXFSTZidJzg
Stay The Night - Featuring Hayley Williams Of Paramore / Zedd & Kevin Drew Remix;";";"Zedd; Hayley Williams; Kevin Drew";";";0TbDqyJpZl3juUteFEusQD
Stay The Night - Featuring Hayley Williams of Paramore / DJ Snake Remix;";";"Zedd; Hayley Williams; DJ Snake";";";2ahTcK5JefDM0F5wFdpSnB
Stay The Night - Featuring Hayley Williams of Paramore / Tiesto's Club Life Remix;";";"Zedd; Hayley Williams; Tiësto";";";5qWz9cmbok1WQwPafm2dWO
Stay The Night - Featuring Hayley Williams Of Paramore / Schoolboy Remix;";";"Zedd; Hayley Williams; Schoolboy";";";6XF80xONJ6alx6V6gT7mDl
Stay The Night - Featuring Hayley Williams Of Paramore / Nicky Romero Remix;";";"Zedd; Hayley Williams; Nicky Romero";";";4QsD9x2x52Sa1RoVyt6J5I
Stay The Night - Featuring Hayley Williams Of Paramore / Henry Fong Remix;";";"Zedd; Hayley Williams; Henry Fong";";";34b2LE28JapaULXlYKxcXW
Find You - Acoustic - Live In Los Angeles;";";"Zedd; Matthew Koma; Miriam Bryant";";";1CnOUJzM9F5JHUVepMQ2Dt
Clarity - Zedd Union Mix;";";"Zedd; Foxes";";";2Nf0RbvVIKcL0SbEziqArb
Clarity - Tiesto Remix;";";"Zedd; Foxes";";";00ZRyybLZ2o4fdqZe8GETe
