Nome da Música;Artistas;ID da Música
more than life (feat. glaive);";";"Machine Gun Kelly; glaive";";";3kB1DY1ou9dg5DfPcNuJbT
maybe (feat. Bring Me The Horizon);";";"Machine Gun Kelly; Bring Me The Horizon";";";6gHwksBerN7FIXv10WaIgS
drug dealer (feat. Lil Wayne);";";"Machine Gun Kelly; Lil Wayne";";";3EnxIlDGhObknqvUbwJnZz
make up sex (feat. blackbear);";";"Machine Gun Kelly; blackbear";";";0j0fp13Ic6THqlyuwkKrNu
emo girl (feat. WILLOW);";";"Machine Gun Kelly; WILLOW";";";3QWtmGaJ845J4oScgaQBlV
ay! (feat. Lil Wayne);";";"Machine Gun Kelly; Lil Wayne";";";5o7D9efUt1v0lAmTqcbJKe
fake love don't last (feat. iann dior);";";"Machine Gun Kelly; iann dior";";";3wA24KVJEOtQL3lB3PLiqZ
die in california (feat. Gunna, Young Thug & Landon Barker);";";"Machine Gun Kelly; Gunna; Young Thug; Landon Barker";";";0hJYOWbAoqYCICLXdx6rYH
maybe (feat. Bring Me The Horizon) - acoustic version;";";"Machine Gun Kelly; Bring Me The Horizon";";";42zvj6KEuxB5ZSa5ea0Lyh
maybe (feat. Bring Me The Horizon);";";"Machine Gun Kelly; Bring Me The Horizon";";";25wdC7CJmCJPgnKw9rYquJ
drug dealer (feat. Lil Wayne);";";"Machine Gun Kelly; Lil Wayne";";";4Gm1VAxKdLS9aL7bkbZZyr
make up sex (feat. blackbear);";";"Machine Gun Kelly; blackbear";";";50eJOxJiGmJ7PBZaTKpje1
emo girl (feat. WILLOW);";";"Machine Gun Kelly; WILLOW";";";3tBZ60j1jQ7NJm8IjelyQe
ay! (feat. Lil Wayne);";";"Machine Gun Kelly; Lil Wayne";";";1T4tQ4SSagbhAKpvcWg035
fake love don't last (feat. iann dior);";";"Machine Gun Kelly; iann dior";";";4UHyrGQCHu0Orh2utUxbNY
die in california (feat. Gunna, Young Thug & Landon Barker);";";"Machine Gun Kelly; Gunna; Young Thug; Landon Barker";";";28ZGbkz2MDnpvHhSRQw4f1
forget me too (feat. Halsey);";";"Machine Gun Kelly; Halsey";";";1UJvaNw3UufXObCph26Li9
all I know (feat. Trippie Redd);";";"Machine Gun Kelly; Trippie Redd";";";5Vx0dXQM4yRn8jf87406Op
my ex's best friend (with blackbear);";";"Machine Gun Kelly; blackbear";";";2pIAlUHOhM9ijF4kJr7ZNY
nothing inside (feat. iann dior);";";"Machine Gun Kelly; iann dior";";";5jlivIdjjp1pP5HvN0J0QI
body bag (feat. YUNGBLUD & Bert McCracken of The Used);";";"Machine Gun Kelly; YUNGBLUD; The Used; Bert McCracken";";";0NZrY7Lc9g6V03hxRpfToV
Misery Business;";";"Machine Gun Kelly; Travis Barker";";";5YEHrYUjG9e0VPQLCp6vGo
bloody valentine - Acoustic;";";"Machine Gun Kelly; Travis Barker";";";0JX0AJ8kncF5iv8C42J1OU
forget me too (feat. Halsey);";";"Machine Gun Kelly; Halsey";";";1VSuFS7PahCN3SWbOcQ98m
all I know (feat. Trippie Redd);";";"Machine Gun Kelly; Trippie Redd";";";1vuUbnY82fCNjfzqjLmblw
my ex's best friend (with blackbear);";";"Machine Gun Kelly; blackbear";";";7kDUspsoYfLkWnZR7qwHZl
nothing inside (feat. iann dior);";";"Machine Gun Kelly; iann dior";";";1eTdTVIxLlhHwwA50vEzZa
Glass House (feat. Naomi Wild);";";"Machine Gun Kelly; Naomi Wild";";";0YP8kt3sAYTj6eEyesreQH
Burning Memories (feat. Lil Skies);";";"Machine Gun Kelly; Lil Skies";";";1xGxSCtX96DB7inpF2wKIS
Candy (feat. Trippie Redd);";";"Machine Gun Kelly; Trippie Redd";";";37AGgp9VP8TVJBfEat74Bj
Waste Love (feat. Madison Love);";";"Machine Gun Kelly; Madison Love";";";581geNTL8gGJE3MEPY5tcE
5:3666;";";"Machine Gun Kelly; phem";";";2ipqXnu9eUA11VerUdiqjg
