Nome da Música;Artistas;ID da Música
Man Down - Young Buck;";";"G-Unit; Young Buck";";";6m67wivQpHYYi1pLwQ8WQS
Robbery;";";"50 Cent; G-Unit";";";1gAbwFhtc55UFbcwsHNh5k
Robbery Pt. 2;";";"50 Cent; G-Unit";";";5P2t6acxwrLffcIdjXtBSn
Emotional;";";"50 Cent; DJ Whookid";";";2FVrXixNn6urYbXgCI2Eka
No More Games;";";"50 Cent; G-Unit";";";7oJqEnSq1nZE4OnN4afnCa
Thuggin Til I'm Gone;";";"50 Cent; G-Unit";";";09X95rO64LtxaqZxkVBX3X
Thuggin Til I'm Gone Pt. 2;";";"50 Cent; G-Unit";";";60CQBZ65lwESEWimqSX2Rf
Check Cleared;";";"G-Unit; Mase";";";7kM2pntWWLpHbhugWhFiGA
GOD Pt. 3;";";"Young Buck; G-Unit";";";2FGp0Sx8KgqNq4F5VNabBx
Dance;";";"G-Unit; Tony Yayo";";";3K481aaRwAkCTS44dlYblj
Hustler's Ambition;";";"G-Unit; M.O.P";";";0p6jQtDTEaEx8avGPGfDPd
People Talkin;";";"50 Cent; G-Unit";";";2C24MaSjEvNGdPsxMJoHjk
Just A Touch;";";"G-Unit; Mobb Deep";";";2hK0rxMrTmBlgVaJapxgSW
Ho's Ho's;";";"G-Unit; Prodigy";";";3zKG0wbMRkEfrhjPZVzk71
Ho's Ho's Pt. 2;";";"G-Unit; Prodigy";";";0NrlfyEsJcM9Vd3xggzn3N
Gon Pay Me;";";"G-Unit; 50 Cent";";";6DsffGjwWkJ70yIdPUXHw0
Yay Got That Fire;";";"G-Unit; Young Buck";";";6oNz7Bal4ujX8r8k726GwI
Seen Too Much;";";"G-Unit; Spider Loc";";";4yciN02AsTd3YFXkY90xVD
Be Dead!;";";"G-Unit; Tony Yayo";";";0P1SwuBFTEKB3U1WeAtxhC
G-Unit Radio Live In Belfast;";";"Prodigy; G-Unit";";";59d0kJOXeKOoNghAgmty9r
Don't Worry 'Bout It;";";"50 Cent; Yo Gotti";";";53M9maXa1uRxuVUyedb9Dy
Smoke;";";"50 Cent; Trey Songz";";";3Y3iC7f2ypojLMgr7yn9ZC
Everytime I Come Around;";";"50 Cent; Kidd Kidd";";";3Xgv8LdPS0MnyiEUGaVIo5
Irregular Heartbeat;";";"50 Cent; Jadakiss; Kidd Kidd";";";0QCZXqxsGoGN6ApLHiobZf
Twisted;";";"50 Cent; Mr. Probz";";";60sKhq6DPoP4eSQGAqxE6M
Winners Circle;";";"50 Cent; Guordan Banks";";";5NgaRInrdHjxGMYwCN6UoD
Chase The Paper;";";"50 Cent; Prodigy; Kidd Kidd; Styles P";";";0iFXTaQ0OCCh4N1LG54z8k
Psycho;";";"50 Cent; Eminem";";";4YOT9tqav2Ok8l8GqURDtW
Baby By Me;";";"50 Cent; Ne-Yo";";";1x075F39Q0zOhjPzPKgG8E
Could've Been You;";";"50 Cent; R. Kelly";";";2Gf3Yys37XUM9T1UTCPdJQ
I'll Still Kill;";";"50 Cent; Akon";";";6joiQ57IEXiC0yWtpZ71e5
Ayo Technology;";";"50 Cent; Justin Timberlake; Timbaland";";";6kfQDanT6Buh4Wu73ghbav
Follow My Lead;";";"50 Cent; Robin Thicke";";";6hHNTFRDaeESkMpbBsFITS
Peep Show;";";"50 Cent; Eminem";";";0S0dUSa9p9yhaNpZDCAkKY
Fire;";";"50 Cent; Young Buck; Nicole Scherzinger";";";19fHdczOhEcajg3pT4ZcLa
All Of Me;";";"50 Cent; Mary J. Blige";";";4MzIEvV5MPyYTqerDWTbU4
Touch The Sky;";";"50 Cent; Tony Yayo";";";2Ea3Az4sQWpbQzlkNT2Zai
GATman And Robbin;";";"50 Cent; Eminem";";";1hWjIe6XRGRtXFyxlaBrC7
Candy Shop;";";"50 Cent; Olivia";";";5D2mYZuzcgjpchVY1pmTPh
My Toy Soldier;";";"50 Cent; Tony Yayo";";";2JPfvvwIYz49JHZhUl87YU
Build You Up;";";"50 Cent; Jamie Foxx";";";4hXMVtFRjxOQrAnkCqsO1c
So Amazing;";";"50 Cent; Olivia";";";6NvtFmyLeyMA8S7xzuIVDz
