Nome da Música;Artistas;ID da Música
Don’t Play (with Lil Baby);";";"Polo G; Lil Baby";";";2QIBJFl8DJR1mDh9GwfZef
Start Up Again (with Moneybagg Yo);";";"Polo G; Moneybagg Yo";";";4O3bINhkGghgoKsOCr2HNz
Heating Up (with YungLiv);";";"Polo G; YungLiV";";";3hnKhjXwyRyRV8JviQXgB5
Unapologetic (with NLE Choppa);";";"Polo G; NLE Choppa";";";45vDAZmpEf8BGVd1EA9yLA
Suicide (with Lil Tjay);";";"Polo G; Lil Tjay";";";3TDWIXarI4pfCrjXKr7RtQ
No Return (with The Kid LAROI & Lil Durk);";";"Polo G; The Kid LAROI; Lil Durk";";";0XR5bQGuuPFcwFK5sgxTKY
GANG GANG (with Lil Wayne);";";"Polo G; Lil Wayne";";";2fULrwNmq6FsePDzDjQiWV
Broken Guitars (with Scorey);";";"Polo G; Scorey";";";47ecV5OlZnCv26WtKmuteb
Go Part 1 (with G Herbo);";";"Polo G; G Herbo";";";1QIAtS4P0nuAIMLae1CS7n
Heart of a Giant (with Rod Wave);";";"Polo G; Rod Wave";";";3emIsfEQCf5Il2So2RBCH1
Party Lyfe (with DaBaby);";";"Polo G; DaBaby";";";32KsanItHBNLJe1SoCBfDs
Losses (with Young Thug);";";"Polo G; Young Thug";";";69M0k2cNLKnCLwaIgwzvzs
Fame & Riches (with Roddy Ricch);";";"Polo G; Roddy Ricch";";";323HsST3AqiFwqWOmqseKi
For the Love of New York (with Nicki Minaj);";";"Polo G; Nicki Minaj";";";4nXd7qhNe7wuHToPO9nLUO
Clueless (with Pop Smoke & Fivio Foreign);";";"Polo G; Pop Smoke; Fivio Foreign";";";5L783xku60fpwcS7BY2pVG
No Return (with The Kid LAROI & Lil Durk);";";"Polo G; The Kid LAROI; Lil Durk";";";23OYT3SFtoJqhiAUqktbc1
GANG GANG (with Lil Wayne);";";"Polo G; Lil Wayne";";";0ezwvY7TkCwDEkKR49084k
Broken Guitars (with Scorey);";";"Polo G; Scorey";";";4QSehYD2iCp1L3l4B3QNv0
Go Part 1 (with G Herbo);";";"Polo G; G Herbo";";";1EnWTwagv0XR5OJ51WMdzj
Heart of a Giant (with Rod Wave);";";"Polo G; Rod Wave";";";6Q7Tv7ZxmoOokvuPchcaO1
Party Lyfe (with DaBaby);";";"Polo G; DaBaby";";";38Z8SRBxln5pP7yWLqRYwC
Losses (with Young Thug);";";"Polo G; Young Thug";";";0f6U1lMWlbjnyYBctfjji1
Fame & Riches (with Roddy Ricch);";";"Polo G; Roddy Ricch";";";7oPHGO39MQVukHZjdz4b9S
For the Love of New York (with Nicki Minaj);";";"Polo G; Nicki Minaj";";";09b7tlISM5nQic0l2Qv9lP
Clueless (with Pop Smoke & Fivio Foreign);";";"Polo G; Pop Smoke; Fivio Foreign";";";4CPcZHzSvIBM8AKhdHUwnL
Heartless (feat. Mustard);";";"Polo G; Mustard";";";2iP3unJbxZvRuqyrS0ocZy
Flex (feat. Juice WRLD);";";"Polo G; Juice WRLD";";";2QqJTIlGKRLJC3onkavYEz
Go Stupid;";";"Polo G; Stunna 4 Vegas; NLE Choppa; Mike WiLL Made-It";";";4PklAHGXT5ityno3IA8SKd
Be Something;";";"Polo G; Lil Baby";";";65jw6GhwQW3Db55PxlPEpS
Wishing For A Hero (feat. BJ The Chicago Kid);";";"Polo G; BJ The Chicago Kid";";";192RjH0gN6en7nE6ElN96T
Heartless (feat. Mustard);";";"Polo G; Mustard";";";4K24oIQhvnVDNeUSnXwK3s
Flex (feat. Juice WRLD);";";"Polo G; Juice WRLD";";";7dlFGEFDieHtYaeSTSvCKq
Go Stupid (feat. NLE Choppa & Mike WiLL Made-It);";";"Polo G; Stunna 4 Vegas; NLE Choppa; Mike WiLL Made-It";";";0L8OsjxbagaGkJI0PezdRg
Be Something;";";"Polo G; Lil Baby";";";528tmecDkMqldxlhOrN0DH
Wishing For A Hero (feat. BJ The Chicago Kid);";";"Polo G; BJ The Chicago Kid";";";1Er6DKQiiWRJEdhSgIy2nq
Pop Out (feat. Lil Tjay);";";"Polo G; Lil Tjay";";";6uFn47ACjqYkc0jADwEdj1
Pop Out Again (feat. Lil Baby & Gunna);";";"Polo G; Lil Baby; Gunna";";";2VIMXmWUIqhMqg6h5FOFPG
Heartbroken (feat. Jessie Murph & Polo G);";";"Diplo; Jessie Murph; Polo G";";";6NdnvPwQvZb147DVa4x14h
Off The Court (with Polo G & Einer Bankz);";";"SleazyWorld Go; Polo G; Einer Bankz";";";1o8NmBVhT1PeADJhmAi7vZ
Grown Man;";";"Marshmello; Polo G; Southside";";";5VKG8ary0JW6iKemhmznzS
No Time Wasted (feat. Future);";";"Polo G; Future";";";4MUlNqSrMeFAHA6VpJKMo8
G Nikes (feat. Polo G);";";"Nardo Wick; Polo G";";";1YZkTazuoK1cHt4cLPrgRO
Bottle Girls (feat. Polo G & Almighty Jay);";";"Manifest; Polo G; Almighty Jay";";";0bytLQW2lHZf8QcSaXnGMc
Waddup (feat. Polo G);";";"PGF Nuk; Polo G";";";5teSgJfTCFK0ngDASJb99U
Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage;";";"Skylar Grey; Polo G; Mozzy; Eminem";";";3r9m79pHykbs4FrCXlq1oO
Better Days (NEIKED x Mae Muller x Polo G);";";"NEIKED; Mae Muller; Polo G";";";6f5ExP43esnvdKPddwKXJH
GANG GANG (with Lil Wayne);";";"Polo G; Lil Wayne";";";2Ytqx1mGEYZ2oJQIpTRNM8
GANG GANG (with Lil Wayne);";";"Polo G; Lil Wayne";";";4VW44pawoOHPUjlN7DX5vk
Patience (feat. YUNGBLUD & Polo G);";";"KSI; YUNGBLUD; Polo G";";";4pi1grO23V62u8FOpePVMM
Bop It (feat. Polo G);";";"Fivio Foreign; Polo G; Kenny Beats";";";0ASHuncZLdgqTcoGMIgUxR
Go Stupid (feat. NLE Choppa & Mike WiLL Made-It);";";"Polo G; Stunna 4 Vegas; NLE Choppa; Mike WiLL Made-It";";";74fV8TuLZKVzSIOOGu8wwI
First Place;";";"Polo G; Lil Tjay";";";5rSVQzJQ5nMUcFJDkJMfzL
Heartless (feat. Mustard);";";"Polo G; Mustard";";";028JxheELfIvvY4zBXuMjw
