Nome da Música;Artistas;ID da Música
Last Wordz;";";"2Pac; ICE-T; Ice Cube";";";0efdIchvGgi1E0S0RuBXPo
Peep Game;";";"2Pac; Deadly Threat";";";74gpQldgxcfqdJaYQ4t6ya
I Get Around;";";"2Pac; Digital Underground";";";30CSqAtNKkLUPNuvcTxqez
Papa'z Song;";";"2Pac; Wycked";";";2PgU1yOO29Eovl0f6o6XJe
5 Deadly Venomz;";";"2Pac; Treach; Apache; Live Squad";";";48kSJae5BqFkstEwMOZwTB
Holler If Ya' Hear Me - New York Stretch Mix;";";"2Pac; The Stretch";";";0ym6slNFdcf74u7GHUasFT
I Get Around - Remix;";";"2Pac; Digital Underground; Battlecat; Howard Johnson; Khris Kellow; Paul Arnold";";";12rXTgqinsF8umz1AB6kUh
Papa'z Song - Vibe Tribe Remix;";";"2Pac; Wycked; Norman Anthony ""Slam"" Whitfield, Jr.; Duane Nettlesbey";";";4FTEWUmm76Uq62qEwRxG4d
Flex;";";"2Pac; The Stretch";";";2Xl3hWdRfJcFwQHDJfW78I
Let's Get It On;";";"Heavy D; 2Pac; The Notorious B.I.G.; Grand Puba; Spunk Bigga";";";2z4krk6O7Io0qXknVzVtic
Soldiers Prayer AM;";";"Dead Prez; Outlawz; 2Pac";";";3P6yor5UvRGvUU8o21Jxaa
Runaway Slave;";";"Dead Prez; Outlawz; 2Pac";";";4xCb0QEBDN2HeYiuSUnoSX
Young Black and Just Don't Give a...;";";"Dead Prez; Outlawz; 2Pac";";";0RXg5q7CAUGMJIuxw0ZIZn
How U Like That;";";"Dead Prez; Outlawz; 2Pac";";";5ZD6tmgescY5SOhSZmTjj7
Jewels;";";"Dead Prez; Outlawz; 2Pac";";";2KZDwrt8t6AGXPYn5cFr45
Daddy Loves You;";";"Dead Prez; Outlawz; 2Pac";";";41VQTNoUmfCzHKIHmCRY65
Soul Music;";";"Dead Prez; Outlawz; 2Pac";";";0qwKK1vJOCyoPMm3j2uKNz
Tryin 2 Make a Livin;";";"Dead Prez; Outlawz; 2Pac";";";7u4FdF0c7QzXGDDCHyjhZ9
Time;";";"Dead Prez; Outlawz; 2Pac";";";0EaojXV6vHWfbpFZs84WCP
4 Life;";";"Dead Prez; Outlawz; 2Pac";";";4U4jmfTgRkSuFCF2SO7yjh
Smoke Wit Me;";";"Dead Prez; Outlawz; 2Pac";";";7Lu8A7ToQDyWANQRnaaoCd
