Nome da Música;Artistas;ID da Música
toxic energy (with Bert McCracken of The Used);";";"blackbear; The Used";";";01tEAvdPLPREA9JT9Wpb26
nothing matters (with Jordan Pundik of New Found Glory);";";"blackbear; New Found Glory";";";3HNIIQ6yyYZ3b8zHGeGogf
gfy (with Machine Gun Kelly);";";"blackbear; Machine Gun Kelly";";";4nvGIQPgLnWWJUJrnRsIOX
poltergeist (with Bayside);";";"blackbear; Bayside";";";38GsRWSOkkzCmzC2fTb9EL
clown (with Trevor Daniel);";";"blackbear; Trevor Daniel";";";4epd3VXwxPItuOVN0aGsr6
if I were u (with Lauv);";";"blackbear; Lauv";";";2ttGfRawDPWlkAoXxP5Z72
gucci linen (feat. 2 Chainz);";";"blackbear; 2 Chainz";";";6Sz7iJhiDlJTBTTKIO4oVf
bright pink tims (feat. Cam'ron);";";"blackbear; Cam'ron";";";7nachbrOxXI5sTUFlOAkca
playboy shit (feat. Lil Aaron);";";"blackbear; lil aaron";";";64oWLmeRfpTwiuxthP7yCe
e.z. (feat. Machine Gun Kelly);";";"blackbear; Machine Gun Kelly";";";3ZW87Wj98EqDCduX7OH4IO
up in this (with Tinashe);";";"blackbear; Tinashe";";";4J2zCmydGtDFWmmAiNzImh
anxiety (with FRND);";";"blackbear; FRND";";";7AhlMDKQelsNkWvFeZvmtC
down 4 u (feat. T-Pain);";";"blackbear; T-Pain";";";3wMQczkpe5xftuUqkc8dAu
glo_up (feat. Rick Ross);";";"blackbear; Rick Ross";";";1WtrCehjHjTwXgUZkIUvGj
top priority (with Ne-Yo);";";"blackbear; Ne-Yo";";";3EAmqB8YX7xJEoE7dB2V4N
g2g ttyl (feat. THEY.);";";"blackbear; THEY.";";";20nY3IhGhRGBaWK3remnch
candayapple (feat. Paul Wall & Riff Raff);";";"blackbear; Paul Wall; Riff Raff";";";7g838qJvNsRt5fbHaleo2q
moodz (feat. 24hrs);";";"blackbear; 24hrs";";";7865MYTYATLVWUUApjAzSW
wish u the best (feat. Stalking Gia);";";"blackbear; Stalking Gia";";";2O30HZ3iEz32Nx8yVMJjFO
Juicy Sweatsuits (feat. Juicy J);";";"blackbear; Juicy J";";";0thG7Lq8m7A1ejhrtNRhFD
help (feat. Maejor);";";"blackbear; Maejor";";";0IHjY58S1OdnealEbadJQ1
90210 (feat. G-Eazy);";";"blackbear; G-Eazy";";";4hdog9vyyqG9pcppG2Izek
waste away (feat. Devon Baldwin);";";"blackbear; Devon Baldwin";";";6pV8yBEHeu7A7lkttIjM2g
Bark to the Beat (with blackbear) [From PAW Patrol: The Mighty Movie];";";"Mckenna Grace; blackbear";";";5k0Vd1kLeUFRozn6GiC8m1
i’m sorry;";";"lovelytheband; blackbear";";";3SXLHJvABk63SfJupb3tDE
Wish I Could Forget (with blackbear & Bring Me The Horizon);";";"SLANDER; blackbear; Bring Me The Horizon";";";4QcfHUpGxGGKh7VIVs3LYI
Gothic Babe Tendencies (feat. blackbear);";";"Julia Wolf; blackbear";";";4wzoiiLetTygUgrcGFAA8T
numb (feat. blackbear) [slow + reverb];";";"lilspirit; blackbear";";";3ywo4PCbhIkRehUfE1KGQ4
numb (feat. blackbear) [nitecore];";";"lilspirit; blackbear";";";2Y0rbe2vWWHlu9luTET1dg
numb (feat. blackbear);";";"lilspirit; blackbear";";";5RjN5Ql7jM67JA8MVK7Cfu
fmk (with blackbear) - messier;";";"GAYLE; blackbear";";";5CO8EbwcxnvA28O7NCDKfJ
fmk (with blackbear);";";"GAYLE; blackbear";";";6aKGKB15r3MCy1KM4TeaFf
Pangaea (with blackbear);";";"Naliya; blackbear";";";6zYJeYNqyZvwlMNSeOP64Q
numb (feat. blackbear);";";"lilspirit; blackbear";";";05UKPuq9D7C6YDaps38ReU
fmk (with blackbear);";";"GAYLE; blackbear";";";1hhMX7QQIhBsXjFmTK7owB
fmk (nicer) [with blackbear];";";"GAYLE; blackbear";";";6CCbVci4v59AjE4eQOa7m8
gfy;";";"blackbear; Machine Gun Kelly";";";4TZ36SC2OP5DRDIMnTXR7b
IDGAF (with blackbear);";";"BoyWithUke; blackbear";";";6Jrdb6CFOJEGaHjaa6c4WR
Memory - GOLDHOUSE x Mokita Remix;";";"Kane Brown; blackbear; GOLDHOUSE; Mokita";";";4XZ8YGsNIF4UqE324Mbgfg
Memory - Said The Sky Remix;";";"Kane Brown; blackbear; Said The Sky";";";3RqFg3J52mvy7TxTUipuCr
Memory - Feather Remix;";";"Kane Brown; blackbear; Feather";";";1Wpe3EXorasdlnzUOX472Z
u love u;";";"blackbear; Tate McRae";";";0EFuHbkuin3pM6byX7VlGI
ghost town (ft. Sasha Alex Sloan);";";"blackbear; Sasha Alex Sloan";";";5fw7OEMjARmFAu0cQ363U4
imu (ft. Travis Barker);";";"blackbear; Travis Barker";";";0CcPL8OEi8vchvprpl6oYe
Memory;";";"Kane Brown; blackbear";";";34chhNX59Wo9HMFCsI3K8Y
u love u (with Tate McRae);";";"blackbear; Tate McRae";";";4RCpHnkhMmm67EKbI4aEO7
Jealousy (feat. blackbear);";";"Mike Posner; blackbear";";";3MxvnLsw2nx9W12svVvmyr
Heavy (feat. blackbear);";";"MOD SUN; blackbear";";";4xD908nOSNCQwAWfLgv3Vk
Sleep 4Ever (with blackbear);";";"Maggie Andrew; blackbear";";";6FeeeMmlluJnjspdMNIkQH
cheers (with Wiz Khalifa);";";"blackbear; Wiz Khalifa";";";294CLJ9yQQZ7fg9QB7ve16
Monsters (feat. Demi Lovato and blackbear);";";"All Time Low; Demi Lovato; blackbear";";";50DMJJpAeQv4fIpxZvQz2e
Monsters (feat. blackbear);";";"All Time Low; blackbear";";";434dfr9k1ApCKG8KTCC7El
Hate The Way (feat. blackbear);";";"G-Eazy; blackbear";";";3QGppKBPd9gHOgHJzRbVIw
Be Happy - Remix;";";"Dixie; blackbear; Lil Mosey";";";3JwghlOgXpcxFHDEbfvaYL
Hard On Yourself;";";"Charlie Puth; blackbear";";";6o4LOloYJc8yu0CdvOvifU
Worry About Me (feat. blackbear);";";"Ellie Goulding; blackbear";";";0wsfdPl7p3yKjQBmHQsaDn
Tongue Tied (with YUNGBLUD & blackbear) - Duke & Jones Remix;";";"Marshmello; YUNGBLUD; blackbear; Duke & Jones";";";1YIHAYQ0K9HtGVB3zuSsyG
Tongue Tied (with YUNGBLUD & blackbear) - PatrickReza Remix;";";"Marshmello; YUNGBLUD; blackbear; PatrickReza";";";3cLZPpfnpZ7YgNpaxaPiQe
Tongue Tied (with YUNGBLUD & blackbear) - Gentlemens Club Remix;";";"Marshmello; YUNGBLUD; blackbear; Gentlemens Club";";";6BMUBTUwqR5It1gKudkzbF
Tongue Tied (with YUNGBLUD & blackbear) - HiGuys Remix;";";"Marshmello; YUNGBLUD; blackbear; HiGuys";";";2GwrpOf0jMPtijdw9qwpXe
Tongue Tied (with YUNGBLUD & blackbear) - Near x Far Remix;";";"Marshmello; YUNGBLUD; blackbear; Near x Far";";";53yHR5lY62DkytkL4N3nRM
Beach Ballin' (feat. blackbear);";";"Yung Pinch; blackbear";";";0W9E3s2G4szLUwXsE17x5E
hot girl bummer (with Khea) - Khea Remix;";";"blackbear; KHEA";";";0QlT8brSPmDnGGOhIKEYC8
Tongue Tied (with YUNGBLUD & blackbear);";";"Marshmello; YUNGBLUD; blackbear";";";7jzldCBnJjpJM3epzJ85KE
Dangerous (feat. blackbear);";";"DeathbyRomy; blackbear";";";7bw4hAqx7oUwvIFKOn0Acq
short kings anthem;";";"blackbear; Tiny Meat Gang";";";6URlKrAIlJJwHnHxxXWywt
the 1 - ACRAZE Remix;";";"blackbear; ACRAZE";";";0xZBhYXQBXHezR3ris1Y0K
the 1 - KIN Remix;";";"blackbear; KIN";";";6wnMHTsBUPsiDoWB8LzYgT
the 1 - Le Sauvage Remix;";";"blackbear; Le Sauvage";";";3ekaNgSXFl6oPiTsUck0Rs
the 1 - NvrLeft Remix;";";"blackbear; NvrLeft";";";78UebmUUgYn2F5LwIzgRMO
the 1 - Rad Cat Remix;";";"blackbear; Rad Cat";";";4W6hw11XKWUMDdy6OtRP6l
the 1 - Tarro Remix;";";"blackbear; Tarro";";";0VnZxyRYJke4tEGkHH5kDu
miracles;";";"Stalking Gia; blackbear";";";1d8ric7942oDFudCTkWuyN
IDWK - Loud Luxury Remix;";";"DVBBS; blackbear; Loud Luxury";";";7Lgb0VTKYBebb0dpLEIGGW
IDWK - Yellow Claw Remix;";";"DVBBS; blackbear; Yellow Claw";";";0OEQHKllrrykmUhsFtcJrH
IDWK - Riggi & Piros Remix;";";"DVBBS; blackbear; Riggi & Piros";";";5p4BGEPDOkRHORS9FZ6eyn
IDWK - Ido B & Zooki Remix;";";"DVBBS; blackbear; Ido B & Zooki";";";17eOnlxr5eNA3SEjusOrgW
IDWK - Loud Luxury Remix;";";"DVBBS; blackbear; Loud Luxury";";";2h0tRwrrfpJ2npDyPW1g0u
IDWK;";";"DVBBS; blackbear";";";4ABdTWafMCXfATpILRuZFW
About You (feat. blackbear);";";"Mike Shinoda; blackbear";";";4NbiOm65BxsCieIJ1yQ94i
do re mi - Tarro Remix;";";"blackbear; Tarro";";";7yhDGIbcOJdjAhlhVuyXk5
do re mi - Prince Fox Remix;";";"blackbear; Prince Fox";";";7K3r9CzcGfLAV9gu341pZS
do re mi - BASECAMP Remix;";";"blackbear; BASECAMP";";";4tLS9qYtP7Bw1xi0yHCtiE
do re mi - Rad Cat Remix;";";"blackbear; Rad Cat";";";4iKzb6YFt20q6eS5gfVkNr
do re mi - FRND Remix;";";"blackbear; FRND";";";2l6WFTmC8FWlrCWpLwqQmR
do re mi - Y2K Remix;";";"blackbear; Y2K";";";4zcU9UeYc6Xx8XmBlxV66n
do re mi - Good Intent Remix;";";"blackbear; Good Intent";";";5NQxkgByBxGdx5yayzVlvh
Forgetting All About You feat. Blackbear;";";"Phoebe Ryan; blackbear";";";3T6Mtmmx5OfrIUFfpJ1uB1
Tell Ya Daddy;";";"Pettros; blackbear";";";7lF0YPaWXi2aZiRpcdrUVf
