Nome da Música;Artistas;ID da Música
VETE YA;";";"Junior H; Alemán";";";1yN7ljnKqrWTW3g9tdN2it
VENENO;";";"Junior H; Paloma Mami";";";7hID0StXCgSbBeJ1WdHhYB
COLOGNE;";";"Junior H; Ovi";";";1ULnQ2yn5LeQX4LrROm1RD
LA PASE;";";"Junior H; Krizous";";";3LkiQJGtyHVySbEqveKhU7
TE ALEJASTE;";";"Junior H; Snow Tha Product";";";2drn04PdLw7Ivym9GQBsZX
MORENA;";";"Junior H; Big Soto";";";6lpXYXbKeOOJuh392A1McV
BABY NO;";";"Junior H; Tyan G";";";1ZQy8egxYPNOwVVQmnpAjW
Los Botones Azules;";";"Junior H; Luis R Conriquez";";";3ZGkdrigbWXLgHungXfZkt
Pa Que Te Duela;";";"Junior H; Eslabon Armado";";";4XkSLgoFq8SGNR4XSFXfyc
El Pelos;";";"Junior H; Jr Torres";";";0F6T8FMFxQuM61XVq3aKgg
El Pana;";";"Junior H; Compa Steve";";";6ZIaN5JHxmMf0PK4TKSpFa
Por Dentro;";";"Junior H; Ed Maverick";";";59Z1qb7vX4nMksBQ9vIkRr
El Velador;";";"Junior H; Marca MP";";";1bnM75H69llLIWrazZwKty
Verdes Verdes;";";"Natanael Cano; Junior H; Ovi";";";5UoFolYVqme3NABM96m0cD
Crónicas de un Gallo;";";"Natanael Cano; Ovi; Ñengo Flow";";";6YPczk6I8RRCjIcJ9I7p8y
Pienso en Ella;";";"Natanael Cano; Ovi";";";79fkYjEJlscHdgAtYWYfUO
Las 3 Torres;";";"Ovi; Natanael Cano; Junior H";";";01nnJYsbiVmikEm1VP0rVi
Viejo Vaya;";";"Junior H; Ovi";";";0TQUOyxDtGoY7ow4Pkkg9S
Ni yo me la Creo;";";"Natanael Cano; Ovi";";";4zqDIYc0L7xmaznKGz6yIt
En el Cora;";";"Natanael Cano; Junior H";";";56g3muqgPWmf5trto7lTUq
Cada Vez;";";"Junior H; Ovi";";";79EhW2G1zqlEURSQLZTy5H
Santal 33;";";"Natanael Cano; Junior H";";";1OqGxMgzBa8NNG8FvE8xyp
Feeling Good (feat. Snow Tha Product & CNG);";";"Natanael Cano; Snoop Dogg; Ovi; CNG; Snow Tha Product";";";7lD7yVzc0iBuJPKB9sy40U
Hey CJ;";";"Junior H; Compa Steve";";";5SE5LxyoTiK7zY8Et4touM
Suena;";";"Junior H; José Mejía";";";68x2TVlhCCwwBmszzLeCcQ
Con Un Presidente;";";"Junior H; Esteban Gabriel";";";2n953vWBOzx3m40zPBxjVQ
Libros y Libretas;";";"Junior H; Ovi";";";5JB34I3vX4WmQApQs2BIfL
Ojos Colorados;";";"Junior H; Alto Linaje";";";1MY56ZqalQ4ACafBxetOG9
Si Mañana;";";"Junior H; Natanael Cano";";";7CKHy96bFUHRBoHNOPMG1t
Si Mañana;";";"Junior H; Natanael Cano";";";1l2kKqdmaXDouETVdMy2j4
Disfruto Lo Malo;";";"Junior H; Natanael Cano";";";7LH2UUuyMHt7035PLZQ8wx
El Chamaquito;";";"Dan Sanchez; Natanael Cano";";";7n6GRe3u1y7UYSXk3LUt9q
Échele Un Ojo;";";"Dan Sanchez; Natanael Cano";";";66kRtUTpkZG0aY0vBV30u1
Un Suspiró Al Viento;";";"Nueva Era; Natanael Cano";";";3lRxceRF0xldPItTNVLPGD
Cholos Malandros;";";"Nueva Era; Natanael Cano";";";1CBY5Rv9JtMgvKbJ1CangW
Buenos Ratos;";";"Natanael Cano; Junior H";";";6M5NgWwRMEFLt4bx457TTy
Mafiosa;";";"Grupo Marca Registrada; Junior H";";";5LXnSZVJ3kvi0MpA4ryjIb
Skin de Bandida;";";"Oscar Maydon; Junior H; Gabito Ballesteros";";";5SHXikmjPwChjvpVIeYkMf
EN ALTAVOZ;";";"Grupo Frontera; Junior H";";";3OSiBiNY2HiYnNrENOyECP
BIPOLAR;";";"Peso Pluma; Jasiel Nuñez; Junior H";";";3wlIAXSDtlD9iU8ysld06Z
El Patrocinador;";";"Junior H; Grupo Firme";";";7IPvreDoOx2OkR3Qu1G9aS
Cuerno Mio;";";"Junior H; Oscar Maydon";";";1kiwk2pQBVQNIbx7Hf3y8Z
Eres;";";"Natanael Cano; Junior H";";";69t25We7WNLgd8faCMQUka
LUNA;";";"Peso Pluma; Junior H";";";0imVQukSGPxTbCQQTCNB8x
LADY GAGA;";";"Peso Pluma; Gabito Ballesteros; Junior H";";";3iOUnnSLLH2TywmyYBZwC8
Abcdario;";";"Eden Muñoz; Junior H";";";0qCPD6ilr9nXkI4KVZgcns
El Tsurito;";";"Junior H; Peso Pluma; Gabito Ballesteros";";";1piak4R3yW4otWWyaSqyCH
Tronando Ligas;";";"Grupo Firme; Junior H";";";6Xfu24Hd3ufGrpGyZFy07M
Ya Corazón;";";"Gabito Ballesteros; Junior H";";";49lbKqbCI8SmJfW64OYXGZ
El Azul;";";"Junior H; Peso Pluma";";";1haJsMtoBhHfvuM7XWuT3W
Fin de Semana;";";"Oscar Maydon; Junior H";";";6TBzRwnX2oYd8aOrOuyK1p
En Paris;";";"El Chachito; Junior H";";";1Fuc3pBiPFxAeSJoO8tDh5
Intenciones Malas;";";"Dan Sanchez; Junior H";";";5mHvccDXkSclGx5no3wtZ1
Ciudad Peligrosa;";";"Edgardo Nuñez; Junior H";";";3AzpG3c25sZQNaQi8qTTDQ
Loco Enamorado;";";"Junior H; Edgardo Nuñez";";";0V6NB0qBW7Vvm7RuSoHszG
El Pana;";";"Compa Steve; Junior H";";";3ve91a9NwVoLfFfoJBtYU8
Ojos Tumbados;";";"Alto Linaje; Junior H";";";2uHEX5YxQU9wpHH0dQlChS
El Rescate;";";"Grupo Marca Registrada; Junior H";";";4w273WCBXwM4P3jTX5HkB2
Vamos Para Arriba;";";"Junior H; Gabito Ballesteros";";";7cZoAjj5vufdREBJZGW2lH
Disfruto Lo Malo;";";"Junior H; Natanael Cano";";";46DU5gYWY2vjE79mbhX4Wv
Corrido Tumbado;";";"puros corridos tumbados; Junior H";";";7luTwlqN7j2HxB7LYDM7cr
Paso En Culiacan;";";"Junior H; Natanael Cano";";";5McxmoutZI2oRpuTQdvH71
En Mis Dedos un Gallito;";";"Junior H; Esteban Gabriel";";";0w05EANAQs2Cf3xj5daRPY
