Nome da Música;Artistas;ID da Música
Go2DaMoon (feat. Kanye West);";";"Playboi Carti; Kanye West";";";0F13K9dwYH2zpTWiR8d628
M3tamorphosis (feat. Kid Cudi);";";"Playboi Carti; Kid Cudi";";";7zLMYtNJcabv4h4wBnjNQI
Teen X (feat. Future);";";"Playboi Carti; Future";";";5uYqmEN6TAAE8ss8YmprNV
Lean 4 Real (feat. Skepta);";";"Playboi Carti; Skepta";";";1JgkiUg9mSXSwcb5Gbi4Ur
Love Hurts (feat. Travis Scott);";";"Playboi Carti; Travis Scott";";";3K6U7TamNyVSWcFH8pCQHX
Shoota (feat. Lil Uzi Vert);";";"Playboi Carti; Lil Uzi Vert";";";2BJSMvOGABRxokHKB0OI8i
Right Now (feat. Pi'erre Bourne);";";"Playboi Carti; Pi’erre Bourne";";";475jSz0H6U3duJyNiDS0tT
Poke It Out (with Nicki Minaj);";";"Playboi Carti; Nicki Minaj";";";2rPSFKzGeqUWwfcCFVkkq3
Fell In Luv (feat. Bryson Tiller);";";"Playboi Carti; Bryson Tiller";";";1s9DTymg5UQrdorZf43JQm
Mileage (feat. Chief Keef);";";"Playboi Carti; Chief Keef";";";1oNcc2isuz7d3hc1fMoHqj
No Time (feat. Gunna);";";"Playboi Carti; Gunna";";";5pHJv0bgNsT9nPoK2BjNBn
Middle Of The Summer (feat. Red Coldhearted);";";"Playboi Carti; Red Coldhearted";";";7AtBtwrKhz94hYXgGYyG58
Choppa Won't Miss (feat. Young Thug);";";"Playboi Carti; Young Thug";";";5O9zs6G6RcB6yP1OKwnwiM
R.I.P. Fredo (feat. Young Nudy) - Notice Me;";";"Playboi Carti; Young Nudy";";";45Ln3F9PRPYTXBcMFkZMzS
Lookin;";";"Playboi Carti; Lil Uzi Vert";";";1UAmQe8EwpxQ80OfYVD13z
wokeuplikethis*;";";"Playboi Carti; Lil Uzi Vert";";";59J5nzL1KniFHnU120dQzt
New Choppa;";";"Playboi Carti; A$AP Rocky";";";30sc425JEvj3tgmGAKORea
Flex;";";"Playboi Carti; Leven Kali";";";2xyBvir9n474qfsOkxXMgx
I Got Depressed Hoes (feat. Slug Christ);";";"Playboi Carti; Slug † Christ";";";15DEpxbVsJax3TgsmTIawc
Whole Thang (feat. Uno The Activist);";";"Playboi Carti; UnoTheActivist";";";0z99tERlbKF8R8kyUsOER0
Dem Callin' (feat. Ramriddlz);";";"Playboi Carti; Ramriddlz";";";7e5WppzulpdTKAQu7uUNch
Fetti (feat. Da$H, Maxo Kream);";";"Playboi Carti; Da$H; Maxo Kream";";";6Y4CI6as0a7QjXaPiqU4Jt
2Door (feat. Lamb);";";"Playboi Carti; Lamb";";";3GNYTLCZgr2A3r2wn0nim4
Purple Pool (feat. Neako);";";"Playboi Carti; Neako";";";36UyPzTqU6DhP4hMTSPe9C
Freestyle 4 The People (feat. Ethereal);";";"Playboi Carti; Ethereal";";";3hhUmjOEDRvasidgQcbrgr
4Tspoon (feat. Yung Bans);";";"Playboi Carti; Yung Bans";";";45nws9GcCPP4D1n9hJ6Ytq
Plug (feat. Kodak Black, Rich The Kid);";";"Playboi Carti; Rich The Kid; Kodak Black";";";2gFnXev7gwXCjKXoL0CkiW
Unlock It (feat. Playboi Carti);";";"ABRA; Playboi Carti; Boys Noize";";";4EoZiih7SmUSDyIw8y011F
Miss The Rage;";";"Trippie Redd; Playboi Carti";";";6vgqLaZsT7DZTGB6YHFoKd
Paid In Full;";";"SAFE; Playboi Carti";";";1CFbMhxQjCT3OH3YLvBkNF
Crumbs (feat. Playboi Carti);";";"DRAM; Playboi Carti";";";4lvs8295wnNr2ya5oFWjm6
