Nome da Música;Artistas;ID da Música
Willing To Trust (with Ty Dolla $ign);";";"Kid Cudi; Ty Dolla $ign";";";1OFQT3lHGbnn3x9jPtagXk
Can't Believe It (feat. 2 Chainz);";";"Kid Cudi; 2 Chainz";";";1r3qUIDhMvoTct7cxPnbdN
Can't Shake Her (with Ty Dolla $ign);";";"Kid Cudi; Ty Dolla $ign";";";4AmISPiQJMPLN4KootjCUu
Somewhere to Fly (with Don Toliver);";";"Kid Cudi; Don Toliver";";";1irXetrpIyLUtvkNw2F2tu
Burrow (with Don Toliver, Steve Aoki & Dot Da Genius) - Bonus Track;";";"Kid Cudi; Don Toliver; Steve Aoki; Dot Da Genius";";";79QdtrBWO8lCVaZCYMIxvn
Is There Any Love;";";"Kid Cudi; Wale";";";6lUJpJ7OZycuD0ahNnvpHq
Embrace The Martian;";";"Kid Cudi; Crookers";";";0ZRYBBiutc28k4GLEIa6sD
T.G.I.F.;";";"Kid Cudi; Chip Tha Ripper";";";1L81OTOdqGvMPu3cY2E7CG
Pursuit Of Happiness (Nightmare);";";"Kid Cudi; MGMT; Ratatat";";";0VvdvvxAo2Z8mdradrUSBq
Just What I Am;";";"Kid Cudi; King Chip";";";4qXg9vd7ghwxghsH4ygU4o
Balmain Jeans;";";"Kid Cudi; Raphael Saadiq";";";61FRf2PcTHgXH1CBJwb3H1
By Design;";";"Kid Cudi; André Benjamin";";";59kI2TQ6GcfpU6lWVBp2DS
Surfin';";";"Kid Cudi; Pharrell Williams";";";30E6DJfcj8HCM41uGQxvvf
Show Out (with Skepta & Pop Smoke);";";"Kid Cudi; Skepta; Pop Smoke";";";5CFJRZRq6sdKKtRwNPWbYv
Lovin’ Me (feat. Phoebe Bridgers);";";"Kid Cudi; Phoebe Bridgers";";";3JdwGk8j7lHN5qdzJZklam
Rockstar Knights (with Trippie Redd);";";"Kid Cudi; Trippie Redd";";";4J9SI7do4KOEsCexqEbjmR
Feel The Love;";";"KIDS SEE GHOSTS; Pusha T";";";3aUFrxO1B8EW63QchEl3wX
4th Dimension;";";"KIDS SEE GHOSTS; Louis Prima";";";6JyEh4kl9DLwmSAoNDRn5b
Freeee (Ghost Town Pt. 2);";";"KIDS SEE GHOSTS; Ty Dolla $ign";";";7GRTrWsP3yo2Fx8umJfA1X
Kids See Ghosts;";";"KIDS SEE GHOSTS; Yasiin Bey";";";2I3dW2dCBZAJGj5X21E53k
By Design;";";"Kid Cudi; André Benjamin";";";5FxVTEpoBress37MmlMhbZ
Rose Golden;";";"Kid Cudi; WILLOW";";";40jxatV29fk82SAziDsPqN
Baptized In Fire;";";"Kid Cudi; Travis Scott";";";6WSBZroxQaO3FYEpT2ACFH
Flight At First Sight/Advanced;";";"Kid Cudi; Pharrell Williams";";";0gnYo3z19PzAVikI7doinv
The Guide;";";"Kid Cudi; André Benjamin";";";62Mre4mWZkOGjau4UQtFUV
Surfin';";";"Kid Cudi; Pharrell Williams";";";1uHb5qa69lHLcFT38fIfUG
Balmain Jeans;";";"Kid Cudi; Raphael Saadiq";";";4ye8dQDob59j8hbwIfXKYa
Just What I Am;";";"Kid Cudi; King Chip";";";20bJBbPapGQ4bqs0YcA9xY
Young Lady;";";"Kid Cudi; Father John Misty";";";0vLAUpYj7YuO9BpQd6Bg25
Solo Dolo Part II;";";"Kid Cudi; Kendrick Lamar";";";6IPZkjmCvqDY3RVCkRxr9r
Girls;";";"Kid Cudi; Too $hort";";";7akq5eDflgN6sRCeeGk12g
Red Eye;";";"Kid Cudi; HAIM";";";2O5WOf1i30K1GtvAwpU0C9
Beez;";";"Kid Cudi; RZA";";";5JxBWwemuGzQrTC3SBZLCQ
Brothers;";";"Kid Cudi; King Chip; A$AP Rocky";";";44NkDzvl7KJNOGiP1wcAli
