Nome da Música;Artistas;ID da Música
Car Keys (Ayla) - Tiësto Remix;";";"Alok; Ava Max; Ayla; Tiësto";";";3p1juCeEpT9lcv0VdJ0cPW
Car Keys (Ayla) - Tiësto Extended Mix;";";"Alok; Ava Max; Ayla; Tiësto";";";7n4M84dbpfT4XMYuZA60MQ
Car Keys (Ayla) - Ayla x 3lements Remix;";";"Alok; Ava Max; Ayla; 3lements";";";46f5UyNutdj22PWt5Kc18S
Car Keys (Ayla);";";"Alok; Ava Max";";";00E0Z2jrF7reoHps4zcbWQ
Ghost - Merk & Kremont Remix;";";"Ava Max; Merk & Kremont";";";1SDE6NorcBVtssHzaWeRC4
Million Dollar Baby - Nathan Dawe Remix;";";"Ava Max; Nathan Dawe";";";5gyrGCIucSPBZdgupcgKHX
Million Dollar Baby - COASTR. Remix;";";"Ava Max; COASTR.";";";4zxaUt8KcUom90Sl2QEnDs
Million Dollar Baby - TELYKast Remix;";";"Ava Max; TELYKAST";";";1456BwjfgMkjvDZ59lDL7b
Million Dollar Baby - David Penn Remix;";";"Ava Max; David Penn";";";6ZZzcoEEfOgN7mFuVSDqjR
Million Dollar Baby - David Penn Extended Mix;";";"Ava Max; David Penn";";";4NllS6TsTWG78uKLPh1SQy
Maybe You’re The Problem - Las Bibas From Vizcaya Remix;";";"Ava Max; Las Bibas From Vizcaya";";";29FM99LFBvUN4dHITzJGar
Maybe You’re The Problem - Crush Club Remix;";";"Ava Max; Crush Club";";";0Si1vYQbl3IHbMkukfEHir
Maybe You’re The Problem - MOTi Remix;";";"Ava Max; MOTi";";";0mZsXnauR1HgLFXisS2kQh
The Motto;";";"Tiësto; Ava Max";";";1dgRRFsi1dqauyvM4fp4On
The Motto - Tiësto’s VIP Mix;";";"Tiësto; Ava Max";";";5nTcVkhPHqXGyPuLvtwLLQ
The Motto - Robin Schulz Remix;";";"Tiësto; Ava Max; Robin Schulz";";";60gtGiA31194DSxbqjhqDb
The Motto - Öwnboss Remix;";";"Tiësto; Ava Max; Öwnboss";";";0p07LZG7JN3UKWjvnGYqiZ
The Motto - Nathan Dawe Remix;";";"Tiësto; Ava Max; Nathan Dawe";";";0pNxkHXD3DFQYZtiGjjWwD
The Motto - Robert Georgescu & White Remix;";";"Tiësto; Ava Max; Robert Georgescu & White";";";6jiiZursE0NfrjmThWe8f6
The Motto - Nathan Dawe Remix;";";"Tiësto; Ava Max; Nathan Dawe";";";32oEnavBSipDGUKX9X4btt
