Nome da Música;Artistas;ID da Música
TE FUISTE;";";"Enrique Iglesias; Myke Towers";";";0qV3ZLVDdRisXy3cbhZLQW
ME PASE;";";"Enrique Iglesias; Farruko";";";3mB3WRpKN8tTX7bI9qJIJb
SUBEME LA RADIO;";";"Enrique Iglesias; Descemer Bueno; Zion & Lennox";";";0mnAmQX1pciMncT2qFCNmK
DUELE EL CORAZON;";";"Enrique Iglesias; Wisin";";";5adqS3stLaSPAEOszOnpXG
EL BAÑO;";";"Enrique Iglesias; Bad Bunny";";";3fvb9N0z7RK4Bjznxidly4
MOVE TO MIAMI;";";"Enrique Iglesias; Pitbull";";";4RzuSWA1mIaKXXKG9d9Nwi
El Perdón (with Enrique Iglesias);";";"Nicky Jam; Enrique Iglesias";";";3RcFEEcyjKcn0zI0Lfz5gC
I'm A Freak;";";"Enrique Iglesias; Pitbull";";";2bxFtRKy6A4VwWIk01cbPl
There Goes My Baby;";";"Enrique Iglesias; Flo Rida";";";7fbybqCfv6T2X6I8BJb5jY
Bailando - Spanish Version;";";"Enrique Iglesias; Descemer Bueno; Gente De Zona";";";3LbzMtkyPGcHc6IzyKclFO
Beautiful;";";"Enrique Iglesias; Kylie Minogue";";";4FHXtEiKFlejE5wHVQT4vr
Let Me Be Your Lover;";";"Enrique Iglesias; Pitbull";";";04maQnA1q4ydKWESepRKJC
Still Your King;";";"Enrique Iglesias; The Cataracs";";";1x4I0xoKc4pottlMFJDeUq
Physical;";";"Enrique Iglesias; Jennifer Lopez";";";2OZea1UbdzHzTrLx1j1RZZ
I Like It;";";"Enrique Iglesias; Pitbull";";";1gCAWjUYxxqmJYcVhEPgB3
One Day At A Time;";";"Enrique Iglesias; Akon";";";6WToXfMaB1FraKxudEeW0Z
Heartbeat;";";"Enrique Iglesias; Nicole Scherzinger";";";6Z43WSns9OZ0SaLGjuAFP7
Dirty Dancer;";";"Enrique Iglesias; USHER";";";2kap0Cux56hRPXJ9JxFB2j
No Me Digas Que No;";";"Enrique Iglesias; Wisin; Yandel";";";0VFIc49ye4pwMlf0t3EBpT
Cuando Me Enamoro;";";"Enrique Iglesias; Juan Luis Guerra 4.40";";";3KvF3zU7esjGkhTqgcHNeP
Tonight (I'm Fuckin' You);";";"Enrique Iglesias; Ludacris; DJ Frank E";";";3nMb7ToWIxYvmaIG20z6ux
I Like It;";";"Enrique Iglesias; Pitbull";";";7HacCTm33hZYYN8DXpCYuG
One Day At A Time;";";"Enrique Iglesias; Akon";";";79CrQdjjiIDmHiz2dPf6zI
Heartbeat;";";"Enrique Iglesias; Nicole Scherzinger";";";6GREIx79VAYuT0DYDGTIJh
Dirty Dancer;";";"Enrique Iglesias; USHER";";";2WOg6FT27iLtN8wetk69nP
No Me Digas Que No;";";"Enrique Iglesias; Wisin; Yandel";";";2A2U1QnZHSPriVFOxS6oZM
Cuando Me Enamoro;";";"Enrique Iglesias; Juan Luis Guerra 4.40";";";4PHX6bpHDxiR9RGzAKWcyk
Tonight (I'm Lovin' You);";";"Enrique Iglesias; Ludacris; DJ Frank E";";";79R98MwYRcQZdAzjjzUbiX
I Like It - Cahill Club Remix edit;";";"Enrique Iglesias; Pitbull; Cahill";";";53FvD7EYQpbj8dpH5AzzBq
Heartbeat - Glam As You Radio Mix By Guena LG;";";"Enrique Iglesias; Nicole Scherzinger; Guéna LG";";";6E2jZaBZ9A4zzeoYHMcRey
Push;";";"Enrique Iglesias; Lil Wayne";";";0cZS0qVwDadhqzmrDd2QUe
Hero - Thunderpuss Edit;";";"Enrique Iglesias; Thunderpuss";";";1PDZpBnsRa3D1QwaiRJFGX
To Love A Woman;";";"Lionel Richie; Enrique Iglesias";";";68JHnnanM4ju7cFzFhz3l9
Could I Have This Kiss Forever;";";"Enrique Iglesias; Whitney Houston";";";01qCxvpyyIm0a0RG3uYxEm
Rhythm Divine - Fernando G Remix;";";"Enrique Iglesias; Fernando Garibay";";";52KWz783ZkO0YqFhXHYOeo
ASI ES LA VIDA;";";"Enrique Iglesias; Maria Becerra";";";0Me3GyNuLOa1YTIxhJPyCn
ME PASE - Ender Thomas Pop Remix;";";"Enrique Iglesias; Farruko; Ender Thomas";";";66LVWAiXuyoEfNDgtb3gop
ME PASE - Jose Solano Remix;";";"Enrique Iglesias; Farruko; Jose Solano";";";7HTpnr4jz45jbHIqdSsqRW
ME PASE - Ender Thomas Urban Remix;";";"Enrique Iglesias; Farruko; Ender Thomas";";";0fKiur6reeG7Z0nXYwAySi
ME PASE - Patrick Romantik Remix;";";"Enrique Iglesias; Farruko; Patrick Romantik";";";5s0vJbue4i1vv3ZDiWBa2c
ME PASE (feat. Farruko);";";"Enrique Iglesias; Farruko";";";4JgSGk8yY0hQE9aENUSqVm
Fútbol & Rumba (feat. Enrique Iglesias);";";"Anuel AA; Enrique Iglesias";";";4to3YQbTQtijkiIb813kpI
Lalala - Remix - [feat. Enrique Iglesias & Carly Rae Jepsen];";";"Y2K; bbno$; Enrique Iglesias; Carly Rae Jepsen";";";4XZIuf6EJw8HKOkRC9Jlj4
DESPUES QUE TE PERDI;";";"Jon Z; Enrique Iglesias";";";5gsW8TMmNVnevjq13h0Nlp
Nos Fuimos Lejos (feat. El Micha) - Turkish Version;";";"Descemer Bueno; Enrique Iglesias; Ece Seçkin; El Micha";";";4Pb7SfiV8m0HNTxjPLtwjF
Nos Fuimos Lejos - Acoustic Version;";";"Descemer Bueno; Enrique Iglesias; Bebe";";";0H9635ASZL8XVCyGLFSvyY
I Don't Dance (Without You) [with Enrique Iglesias] - Joe Stone Remix;";";"Matoma; Enrique Iglesias; Konshens; Joe Stone";";";44dZmlvSt80HeJkqrKLd2j
Nos Fuimos Lejos (feat. El Micha & RedOne) - Arabic Version;";";"Descemer Bueno; Enrique Iglesias; Hatim Ammor; El Micha; RedOne";";";0NeRISlHRXUNLpTi20GF9i
