Nome da Música;Artistas;ID da Música
2NDO CHANCE;";";"Becky G; Ivan Cornejo";";";4JyfG2WBcDjlc8TODyBIbx
CRIES IN SPANISH;";";"Becky G; DannyLux";";";6eL3Q0m0VJkbCyKAmvYTEy
LA NENA;";";"Becky G; Gabito Ballesteros";";";6bZodraiDLxgMizrNH9F4X
CHANEL;";";"Becky G; Peso Pluma";";";1DBXfbLYNqIlPwxjUxDxaR
PATRAS (with Yahritza Y Su Esencia);";";"Becky G; Yahritza Y Su Esencia";";";07vIX6wlThl9fY6Zvcm9T9
CUIDADITO;";";"Becky G; Chiquis";";";3mvAYoRe4GhiTBcUUZRsFe
POR EL CONTRARIO (with Angela Aguilar & Leonardo Aguilar);";";"Becky G; Ángela Aguilar; Leonardo Aguilar";";";6VsqdsaY4oV06NODea0L0J
FULANITO;";";"Becky G; El Alfa";";";3CIl8hlnMcULSIIhUMmB1Z
TAJIN;";";"Becky G; Guaynaa";";";6stQ6SHIch2zT8yCUbsvWc
FLASHBACK (feat. ELENA ROSE);";";"Becky G; ELENA ROSE";";";2xr5g6oX9oNatnf176Ry2m
RAM PAM PAM;";";"NATTI NATASHA; Becky G";";";11zP8yPx3LAEW6of3iiAN0
MAMIII;";";"Becky G; KAROL G";";";7FlQk2gJ6TBrHHiidvdR2O
DOLLAR;";";"Becky G; Myke Towers";";";2uhMYJq2TODWBuZhHRrdWy
VÁMONOS;";";"Becky G; Sech";";";56oworO3N4afW1jVPA6TCR
MEJOR ASÍ;";";"Becky G; Darell";";";5toFwwO0qh5MwDXuPYRLe2
ME ACOSTUMBRÉ;";";"Becky G; Mau y Ricky";";";65tCqCMNr7tGPSAWFVGvat
SUBIENDO;";";"Becky G; Dalex";";";2c01EKNE0HjmQCBG9zLHAg
TE SUPERÉ;";";"Becky G; Zion & Lennox; Farruko";";";2y6EbYibgxMVQ0T5YjZYWN
Cuando Te Besé;";";"Becky G; Paulo Londra";";";74wEiOpnvCe1tCTWKGSYta
Sin Pijama;";";"Becky G; NATTI NATASHA";";";62vDrkBEyJYEOFj1ScBqM7
Mayores;";";"Becky G; Bad Bunny";";";2AY1UAimvTqjJC8vDJsOyy
2NDO CHANCE;";";"Becky G; Ivan Cornejo";";";0TDUMrg3yfOEdJe6BzUJG2
Coming Your Way (with Anne-Marie & Becky G);";";"Michaël Brun; Anne-Marie; Becky G";";";3YWdfXQwfPh8qGhXdiXPHh
Arranca (feat. Omega) - Sam Feldt Remix;";";"Becky G; Omega; Sam Feldt";";";7HZ6ydZRKKnToI5wHpSVKS
Arranca (feat. Omega) - Ape Drums Remix;";";"Becky G; Omega; Ape Drums";";";64yfC02Lj8ZGmFOP8myLfJ
Arranca (feat. Omega) - Lavern Remix;";";"Becky G; Omega; Lavern";";";3hr7fnrCm9i4iDKsMEnd9r
Arranca (feat. Omega) - TV Noise Remix;";";"Becky G; Omega; TV Noise";";";1z5K0H4RXRTkhHHPpmXqo7
Arranca (feat. Omega) - Mikey Barreneche Remix;";";"Becky G; Omega; Mikey Barreneche";";";76C8sDnTJvqWAqW4RIKI5x
Cough;";";"Kizz Daniel; Becky G";";";2SggWVBRvkOmtQRfbKh6sV
