Nome da Música;Artistas;ID da Música
El Merengue;";";"Marshmello; Manuel Turizo";";";6lpGP2JvV7grJ8LBZ5obQS
Jamaica;";";"Manuel Turizo; Beéle";";";0iuvbEezJcCPASKTrQ1v76
Éxtasis;";";"Manuel Turizo; Maria Becerra";";";4bADyrVual0RgJodXqRQRu
Caliente;";";"Manuel Turizo; El Alfa; will.i.am";";";56hRNcWyNKZ2W5AT60hAe2
Mala Costumbre;";";"Manuel Turizo; Wisin & Yandel";";";09WuqcTbf8iMRn8W4N8xBX
Kayak;";";"Manuel Turizo; Farruko";";";2tyNJD6j586YvBywJ2KjQK
La Nota;";";"Manuel Turizo; Rauw Alejandro; Myke Towers";";";5VzNsUnLmYcRfRfxpQsusa
Cosas Malas;";";"Manuel Turizo; Justin Quiles; Dalex";";";2MaYHbpwybBOm9CrDBfChl
Amor en Coma;";";"Manuel Turizo; Maluma";";";0kRU83ecI57Iw1kPTeUwK5
Quiereme Mientras se Pueda - Remix;";";"Manuel Turizo; Miky Woodz; Jay Wheeler";";";2C4GDtRecp1qTL5ac1Gzsh
Una Vez Más;";";"Manuel Turizo; Noriel";";";4iCJ6MXf8Np3bayvuQR34c
Esclavo de Tus Besos;";";"Manuel Turizo; Ozuna";";";0WpwK09agFbwEUaNrGnXoe
Bailemos;";";"Manuel Turizo; Sech";";";1ScD7XQYCKmJ3fdNh71lUE
No Digas Que Te Vas;";";"Manuel Turizo; Zion & Lennox";";";0MmxdPPMzKRJO5wxeDgEdM
No Le Perteneces;";";"Manuel Turizo; Nicky Jam";";";1Bh8it8JQCJfdAIvoqpQmV
Sábanas Desordenadas;";";"Manuel Turizo; Darell";";";1zFY0QBSpUazG1lOr7QBJ3
Te Quemaste;";";"Manuel Turizo; Anuel AA";";";4fj7e6Tc48Bmomwyz2Z2XC
Una Lady Como Tú (feat. Nicky Jam) - Remix;";";"Manuel Turizo; Nicky Jam";";";1DaQNUz5uGBLwnIsa9zcpS
Dem Time Deh;";";"Sean Paul; Manuel Turizo";";";3WWCU2F78Mv0sOsWcVG3bf
DE LUNES A LUNES;";";"Manuel Turizo; Grupo Frontera";";";7yci6r0cjX0Np5AshDZOsR
Copa Vacía;";";"Shakira; Manuel Turizo";";";2iVgM5C7m1G4CJGbms301G
Tu;";";"IzyBeats; Manuel Turizo; Stefflon Don";";";7yjKBCdDFM6mrwxsOK5iYM
Up Deh;";";"IzyBeats; Konshens";";";1DcCvrtZ07qpLFW47wjUcO
El Merengue - ESSEL Remix;";";"Marshmello; Manuel Turizo; ESSEL";";";3x1vWU5mqFpa9FySJoYrAl
El Merengue - HUGEL Remix;";";"Marshmello; Manuel Turizo; HUGEL";";";3qMimm5bezPaKIISP9f7mu
Bentley - Remix;";";"Moffa; Young Martino; Manuel Turizo";";";7MO6k4hZp9aYiaWU5wOk10
VAGABUNDO;";";"Sebastian Yatra; Manuel Turizo; Beéle";";";1MB8kTH7VKvAMfL9SHgJmG
El Merengue;";";"Marshmello; Manuel Turizo";";";51FvjPEGKq2zByeeEQ43V9
Éxtasis;";";"Manuel Turizo; Maria Becerra";";";2X8AGLwb9F0JzJ9zT27a22
Aurora - Remix;";";"Jhosy; Beéle; Manuel Turizo";";";7nHtmtk2wtQoRTBA8tEMWy
MAL DE AMOR;";";"MYA; Manuel Turizo";";";0j15NSe9m6egjzJXXn1QXQ
Bonita;";";"Fuego; Blessd; Manuel Turizo";";";7p5s4J9dNNYpZdAgJIOH6Z
Sunroof (feat. Manuel Turizo);";";"Nicky Youre; dazy; Manuel Turizo";";";1Rj5fXGOrfFpynoO19Xtar
Los Cachos;";";"Piso 21; Manuel Turizo";";";5fhcuVxuBWfgNXGuyAtLmr
Vacaciones;";";"Luis Fonsi; Manuel Turizo";";";5a1uP3YHcvb4XkucSQGC1c
Resaca;";";"Nio Garcia; Manuel Turizo";";";5O9qe3x4QUi7OCmkepWJat
AOK - with Manuel Turizo;";";"Tai Verdes; Manuel Turizo";";";4mMVfVrFM6b0boY4EXTFvK
Baila Kumi;";";"Ir Sais; Manuel Turizo";";";6MDegdCkEiUjE7ftt5GcPU
Una Vaina Loca;";";"Fuego; Manuel Turizo; Duki";";";2qEoAz0i6yEz5dPggABcLH
Maldita Foto;";";"TINI; Manuel Turizo";";";4WkEH0PgystZUaN6QU6Z0B
Mala Influencia;";";"Noriel; Manuel Turizo";";";28sOLLPgDAdBzDuhkuuLhz
