Nome da Música;Artistas;ID da Música
Crazy (with Willie Nelson);";";"Michael Bublé; Willie Nelson";";";1TRrLxSnUU82IknmBVARj5
Jingle Bells (feat. The Puppini Sisters);";";"Michael Bublé; The Puppini Sisters";";";6TsBYxKlER3Lf9AU2YDpWd
White Christmas (with Shania Twain);";";"Michael Bublé; Shania Twain";";";1yPHgpNbt3veEinJa3AKPs
Mis Deseos / Feliz Navidad (with Thalia);";";"Michael Bublé; Thalia";";";6cthJMrE5t3zUPRxUtj61w
Frosty the Snowman (feat. The Puppini Sisters);";";"Michael Bublé; The Puppini Sisters";";";024fbp2u8HMfZhXrVvbRbN
Silver Bells (feat. Naturally 7);";";"Michael Bublé; Naturally 7";";";2dnNCViz7wU5FclmN5KcT2
Winter Wonderland (feat. Rod Stewart);";";"Michael Bublé; Rod Stewart";";";57aO285CKSQ7p6tTKKsDXa
La vie en rose (feat. Cécile McLorin Salvant);";";"Michael Bublé; Cécile McLorin Salvant";";";5J9wGthdJp5mib0x6MuzkA
La vie en rose (feat. Cécile McLorin Salvant);";";"Michael Bublé; Cécile McLorin Salvant";";";1QELw50Dl95LusF6uOkDqk
Help Me Make It Through the Night (feat. Loren Allred);";";"Michael Bublé; Loren Allred";";";6f6jBn29HU6pbvy99NYXF3
Someday (feat. Meghan Trainor);";";"Michael Bublé; Meghan Trainor";";";7t3q4ghl6rphMXn0oOJhUr
Someday (feat. Meghan Trainor);";";"Michael Bublé; Meghan Trainor";";";0nsF6B4avArxVgAwgMg4ag
Something Stupid (feat. Reese Witherspoon);";";"Michael Bublé; Reese Witherspoon";";";3wwXUFIYX044Tqiy3AFpLO
After All (feat. Bryan Adams);";";"Michael Bublé; Bryan Adams";";";6l8tOyMl3Hige13zDSVtzF
Have I Told You Lately That I Love You (with Naturally 7);";";"Michael Bublé; Naturally 7";";";7EBAGLLkK2qdtwZ0l1bOnV
Nevertheless (I'm in Love with You) (feat. The Puppini Sisters);";";"Michael Bublé; The Puppini Sisters";";";4DNfZAso4sNpBvLD7Xw1lL
Jingle Bells (feat. The Puppini Sisters);";";"Michael Bublé; The Puppini Sisters";";";3nfxV3jfRcRWISwek49LTg
White Christmas (with Shania Twain);";";"Michael Bublé; Shania Twain";";";114461rbzcgTriw8n4FOPW
Mis Deseos / Feliz Navidad (with Thalia);";";"Michael Bublé; Thalia";";";5kidjcHqKZzTs6bD2mM7ZY
Frosty the Snowman (feat. The Puppini Sisters);";";"Michael Bublé; The Puppini Sisters";";";6RJJUEOfUyMhcxtsfLNRpH
Silver Bells (feat. Naturally 7);";";"Michael Bublé; Naturally 7";";";0uqFTuDLbIyCZG9yNYsqcG
Baby (You've Got What It Takes) [with Sharon Jones & The Dap-Kings];";";"Michael Bublé; Sharon Jones & The Dap-Kings";";";7EnDKzWHfPuFwCLYB88Utx
Stardust (with Naturally 7);";";"Michael Bublé; Naturally 7";";";3cCnacpo1P04I8GxiJUkSr
Whatever It Takes (with Ron Sexsmith);";";"Michael Bublé; Ron Sexsmith";";";0qPN5Fs1msQJfMLoDEhvMh
