Nome da Música;Artistas;ID da Música
Contacto Cero - Versión Acústica;";";"Banda MS de Sergio Lizárraga; Espinoza Paz";";";2hckuZwyc2HffYl8FRDQVJ
No Me Pidas Perdón - Versión Acústica;";";"Banda MS de Sergio Lizárraga; Carlos Rivera";";";6a7DmCqUQNLS9pHlsBCBo3
¿Quién Pierde Más? - Versión Acústica;";";"Banda MS de Sergio Lizárraga; Joss Favela";";";54uLPB8SDBgBWszrDiohBX
Por Siempre Mi Amor - Versión Acústica;";";"Banda MS de Sergio Lizárraga; Natalia Jiménez";";";6ePsilnhUGolVdMnFc59En
Y Que Soporten;";";"Banda MS de Sergio Lizárraga; Gloria Trevi";";";0dXNs41HnOKdIkYtfmTNYB
Solo Que Lo Dudes;";";"Banda MS de Sergio Lizárraga; Yahritza Y Su Esencia";";";6K3Z9ZgPC236RMBIT1q2sx
Pa' Olvidarme de tus Besos;";";"Lenin Ramírez; Banda MS de Sergio Lizárraga";";";2y0WCy503qjDcbpG1cYRMN
¿Cuáles Fronteras?;";";"Banda MS de Sergio Lizárraga; Ice Cube";";";4qgHbVa7Zo8S3bIQvvD99s
Santo Patrón;";";"Banda MS de Sergio Lizárraga; Fuerza Regida";";";2aejtdTxSKhsCkT51Wixhm
Mentira No Es;";";"Fuerza Regida; Banda MS de Sergio Lizárraga";";";6cmZSeILXKvgFRpUcDGQHZ
Un Chingo de Tequila;";";"Banda MS de Sergio Lizárraga; Mario Domm";";";3mUe9jWtdpNk9qkE976D1j
Ojitos Cafés;";";"Omar Robles; Banda MS de Sergio Lizárraga";";";1nXSQbUEIutffxscuSE33T
Me Rendí;";";"Eden Muñoz; Banda MS de Sergio Lizárraga";";";4SdLUkVGNUm2gNF7YQdhY1
¿Y Qué Tal Si Funciona?;";";"Yuridia; Banda MS de Sergio Lizárraga";";";6yKoIv4jJSb7trcphSZofT
Un Chingazo;";";"Ingratax; Banda MS de Sergio Lizárraga";";";2BZo8z5xUPzrj4dhxulJYh
Hay Que Hacer Dinero;";";"Banda MS de Sergio Lizárraga; Eden Muñoz";";";4eqDVqsli1ILflQfB5MoeP
Ojos Cerrados;";";"Banda MS de Sergio Lizárraga; Carin Leon";";";4OVpyR6yhYyVoRj9D7CERz
Dos Mundos;";";"Banda MS de Sergio Lizárraga; Santa Fe Klan";";";5bcwDKs6i2A4FQWRlPTvDA
La Sinvergüenza;";";"Christian Nodal; Banda MS de Sergio Lizárraga";";";1xO7tp4J5Wj0NeKrzIpd1V
La Amistad No Cuesta;";";"Los 2 de la S; Banda MS de Sergio Lizárraga";";";71K1ZMlNRkjdiqXLRNIeUB
Qué Bueno Es Tenerte;";";"Natalia Jiménez; Banda MS de Sergio Lizárraga";";";2Vficy40iZyTKoAJNwLWzd
Qué Maldición - Remix;";";"Banda MS de Sergio Lizárraga; Snoop Dogg; Becky G";";";3tHes0wml6ededP4ZVEwET
Playa Sola;";";"Los Invasores De Nuevo León; Banda MS de Sergio Lizárraga";";";771uWh7jUoy5UV6VPxsCXK
Somos Los Que Somos - En Vivo;";";"Los 2 de la S; Banda MS de Sergio Lizárraga";";";2HF7et3dSdyQqq7aIMLoQ5
Qué Maldición;";";"Banda MS de Sergio Lizárraga; Snoop Dogg";";";1ovCSSWps8DWQwEDgmGiFp
