Nome da Música;Artistas;ID da Música
I Don't Like It, I Love It (feat. Robin Thicke & Verdine White);";";"Flo Rida; Robin Thicke; Verdine White";";";2S5LNtRVRPbXk01yRQ14sZ
Here It Is (feat. Chris Brown);";";"Flo Rida; Chris Brown";";";0lQ08hbjK1umHjCYvUrmCp
GDFR (feat. Sage the Gemini & Lookas);";";"Flo Rida; Sage The Gemini; Lookas";";";26rdOwwjC2UnweK3xeS58u
That's What I Like (feat. Fitz);";";"Flo Rida; Fitz";";";4eE21980kRW4k4oHRQciCK
Wild Ones (feat. Sia);";";"Flo Rida; Sia";";";73NqJAv4hCLT3RSHO7ied9
In My Mind Pt. 2 (feat. Georgi Kay);";";"Flo Rida; Georgi Kay";";";2IiZ7Dyo8JOVwye8FEVZF7
Sweet Spot (feat. Jennifer Lopez);";";"Flo Rida; Jennifer Lopez";";";2HvoOe1nN9lk285PuVkVTu
Run (feat. RedFoo of LMFAO) - Bonus Track;";";"Flo Rida; Redfoo";";";2x07aTLXQqjBuEKVbWqShy
Sweet Spot (feat. Jennifer Lopez) - Tom Swoon Remix [Tom Swoon Remix];";";"Flo Rida; Jennifer Lopez; Tom Swoon";";";2Q9bRoCgxWElobWQLuOlJb
Sweet Spot 2.0 (feat. Jennifer Lopez);";";"Flo Rida; Jennifer Lopez";";";6Tl1lyzXiIIF08Jj3jx1Wv
Wild Ones (feat. Sia);";";"Flo Rida; Sia";";";1NpW5kyvO4XrNJ3rnfcNy3
In My Mind Pt. 2 (feat. Georgi Kay);";";"Flo Rida; Georgi Kay";";";1nXqFKpH0udNSR8jvsO3xz
Sweet Spot (feat. Jennifer Lopez);";";"Flo Rida; Jennifer Lopez";";";5fuIfc73negWUuLikBIQTR
Run (feat. RedFoo of LMFAO) - Bonus Track;";";"Flo Rida; Redfoo";";";5LqHJL3NDuGzyq6mMYD4Eq
Sweet Spot 2.0 (feat. Jennifer Lopez);";";"Flo Rida; Jennifer Lopez";";";3EUE21ziEOdGPqgwdFcjlc
On and On (feat. Kevin Rudolf);";";"Flo Rida; Kevin Rudolf";";";5In9bfHqL0X4qD8ljcDpg0
Who Dat Girl (feat. Akon);";";"Flo Rida; Akon";";";7z73ehYAn9O1XP9XlCqVtd
21 (feat. Laza Morgan);";";"Flo Rida; Laza Morgan";";";6E0ULwUN3Aj8sfB2e8QPvR
Club Can't Handle Me (feat. David Guetta);";";"Flo Rida; David Guetta";";";6ebkx7Q5tTxrCxKq4GYj0Y
Why You up in Here (feat. Ludacris, Git Fresh and Gucci Mane);";";"Flo Rida; Git Fresh; Gucci Mane; Ludacris";";";2ag7UYeRPi3fwrdHSqzzH1
Jump (feat. Nelly Furtado);";";"Flo Rida; Nelly Furtado";";";0WhIQ7V7DDO5cqv0KzZamm
Shone (feat. Pleasure P);";";"Flo Rida; Pleasure P";";";2BYe7jRQzZfNupiDIQLQ1b
Be on You (feat. Ne-Yo);";";"Flo Rida; Ne-Yo";";";6hwgftC3JWXjJO5hP3hCqV
Available (feat. Akon);";";"Flo Rida; Akon";";";0WaQl1rcKkmZUtVLPUdgy4
Touch Me;";";"Flo Rida; Kesha";";";7LbmkMQumI7sK1WX1aT6kT
Sugar (feat. Wynter);";";"Flo Rida; Wynter Gordon";";";1dIBmkzaqIybi3knhJrbac
Rewind (feat. Wyclef Jean);";";"Flo Rida; Wyclef Jean";";";3y9oqfKqQiPR6y20Ab1dOO
American Superstar (feat. Lil Wayne);";";"Flo Rida; Lil Wayne";";";0q29pgXFo356MEWc9mdXyi
Elevator (feat. Timbaland);";";"Flo Rida; Timbaland";";";44AtutBMMWw14r9CkZ0wna
Roll (feat. Sean Kingston);";";"Flo Rida; Sean Kingston";";";02cO8JBZT4Rx5BJ1qbe2uh
Low (feat. T-Pain);";";"Flo Rida; T-Pain";";";0CAfXk7DXMnon4gLudAp7J
Priceless (feat. Birdman);";";"Flo Rida; Birdman";";";5tZVtpHvB1JecqHLP6XuR3
In the Ayer (feat. will.I.am);";";"Flo Rida; will.i.am";";";6RpiAj9Ofv0Uqp6n2OuRoh
Don't Know How to Act (feat. Yung Joc);";";"Flo Rida; Yung Joc";";";7pjxvYj389T7TMkRboREi0
Freaky Deaky (feat. Trey Songz);";";"Flo Rida; Trey Songz";";";7JwCCngqARYM0wojcAMsw2
Money Right (feat. Rick Ross & Brisco);";";"Flo Rida; Rick Ross; Brisco";";";6IEdx5Xk1uHOVFgPO0ihf7
Low (Macon's HYPERTECHNO Remix);";";"71 Digits; Flo Rida; Macon";";";7tMVmdCrQvj3iC0z8tZBZT
Do Si Do - Til The Sun Comes Up;";";"Flo Rida; Mz Poppinz";";";1BesQA8L6SwbHewlIHrtfa
Do Si Do - Wait For The Drop;";";"Flo Rida; Tom Martin";";";7scm3xYetM0n2il6cp8KY3
Do Si Do - Til The Sun Comes Up;";";"Flo Rida; Mz Poppinz";";";3NpyzqV4gmfoQEB0u9muvE
Do Si Do - Wait For The Drop;";";"Flo Rida; Tom Martin";";";7sZFLcvcTtbkiApHI3ur59
Do Si Do - Wait For The Drop;";";"Flo Rida; Tom Martin";";";5YJubuJWfQAiFhxxCvMY6k
Low (Gang Speed Remix);";";"71 Digits; Flo Rida; Gang Speed";";";3l4apwfaTq2XIoS8HoHzq0
Beauty and the Beach (feat. Flo Rida);";";"Russell Dickerson; Flo Rida";";";3LgyWMhXMMcMKxH56hdkxz
High Heels - Party Down Under Extended Workout - Sam Feldt vs. Flo Rida;";";"Flo Rida; Walker Hayes; Sam Feldt";";";3nDI8Y086gNYHQTNsXp4Dm
High Heels - Party Down Under - Sam Feldt vs. Flo Rida;";";"Flo Rida; Walker Hayes; Sam Feldt";";";5b88pImPqXWKbLL6C3JQl9
Energy (feat. Spice & Rotimi);";";"Flo Rida; Spice; Rotimi";";";0oQASBfWaRrgcfPXaZHp1J
Good Girls On Vacation - Private Beach Party;";";"Flo Rida; Pep & Rash";";";1GyPr9p4NHaOJWi9T6D4rV
Good Girls On Vacation - Tulum Beach Access;";";"Flo Rida; secs on the beach";";";74ufMs5S0bi0FNwuDpCQft
What A Night - Big Game Winner Mix;";";"Flo Rida; inverness";";";3vACrw65aSTpai7UGcs2bC
No Bad Days;";";"Flo Rida; Jimmie Allen";";";1HdKXCG6HtFxJ5PflTOdeC
No Bad Days - Sped Up;";";"Flo Rida; Jimmie Allen";";";7IEURcfIRcCYVIIqvI5xN7
What A Night (feat. inverness) - Big Game Winner Mix;";";"Flo Rida; inverness";";";1EUvZ2jqliVz9ktDtpHzCn
High Heels - Party Down Under;";";"Flo Rida; Walker Hayes; Sam Feldt";";";2sHXsQ4SubpwRNp5v03BFP
High Heels - Whistle While You Twerk;";";"Flo Rida; Walker Hayes; secs on the beach";";";1JpsmoRY3WatdR11xtAR8J
High Heels - Pilates Pump;";";"Flo Rida; Walker Hayes; Damon Sharpe";";";1U3OqD0QTeGLLEgz0M3AsG
High Heels - Party Down Under;";";"Flo Rida; Walker Hayes; Sam Feldt";";";3mY3t2yVb41fuAzQO2a9tV
High Heels - Whistle While You Twerk;";";"Flo Rida; Walker Hayes; secs on the beach";";";0ViHUkNL8nGtAdAD4vH6j7
High Heels - Pilates Pump;";";"Flo Rida; Walker Hayes; Damon Sharpe";";";1t0TVPVsP4cHmOt65pOWnA
High Heels - Party Down Under - Sam Feldt vs. Flo Rida;";";"Flo Rida; Walker Hayes; Sam Feldt";";";3qiC3jOnRNvOxD4m0erBRs
No Bad Days (featuring Jimmie Allen);";";"Flo Rida; Jimmie Allen";";";0Z36IMMSzdvXlfBu8fwgmR
High Heels - Whistle While You Twerk;";";"Flo Rida; Walker Hayes; secs on the beach";";";5UygYhdoFilINtb6do3mtL
Low (LUNAX Remix);";";"71 Digits; Flo Rida; LUNAX";";";4MUMWxe9088SuTFKpprQ57
What A Night - Rowdy In Rio;";";"Flo Rida; GUMMiBEAR";";";0ymslizSF7sBsa8pFwTwGq
What A Night - In The 305;";";"Flo Rida; MICHAEL KHAN";";";0UOvXwkRdrFHFEy3Sk0vLp
What A Night - Tailgate Turn Up;";";"Flo Rida; Tom Martin";";";3mv8PZy29x6hz0WK7dQyqL
What A Night - Up All Night In Vegas;";";"Flo Rida; Skytech";";";0gAwCizgcqsnSwjCw5rgDf
What A Night - Euro Funk Party;";";"Flo Rida; Hartzon";";";13xICi6yb1t01GHmO7zCXL
High Heels;";";"Flo Rida; Walker Hayes";";";7HH2qGXywdgAn5b2WHnkQq
What A Night - Up All Night In Vegas;";";"Flo Rida; Skytech";";";578yeMGzYjdwPxZN1C5lbu
What A Night - Tailgate Turn Up;";";"Flo Rida; Tom Martin";";";55WTPrbR4ik9yJnaP05Osd
Low;";";"71 Digits; Flo Rida";";";4bAzLbJOkwkZEakSiKd3sZ
Symphony of Brotherhood Rise (feat. MLK);";";"Erik E Smooth Hicks; Flo Rida; Miri Ben-Ari; Martin Luther King, Jr.";";";3GQa6EjtbiTJMC93aM3NlL
Adrenalina - Steve Aoki Remix;";";"Senhit; Flo Rida; Steve Aoki";";";3UgmyZB6ornmy4unZMbWUu
Summer's Not Ready (feat. INNA and Timmy Trumpet);";";"Flo Rida; INNA; Timmy Trumpet";";";1uSaqSNnHtvzBEDNQ5hZP0
Adrenalina;";";"Senhit; Flo Rida";";";5sckZhskSmeF8TFJ05oSCB
Take a Shot and Make a TikTok;";";"NATEGAWD; Flo Rida; Lil Jon";";";5tf6l0XZAeKtwbYFBe75Gy
Snack (feat. E-40 & Sage The Gemini);";";"Flo Rida; E-40; Sage The Gemini";";";2q7lqMtkIh4g38cvDg2mth
Tu Si Bailas - Latin Zumba Mix;";";"Osmani Garcia ""La Voz""; Flo Rida";";";4Bnsmt8eRDWhwgr7JLF78f
Tu Si Bailas - Afro Trap Brazil Remix;";";"Osmani Garcia ""La Voz""; Flo Rida; Cuban Deejays";";";0nHczgcxtVIc2Yl1KPpwhC
In My Mind Part 3 (feat. Georgi Kay);";";"Flo Rida; Georgi Kay; Edgar Vargas";";";1HD8xCyKYt7Bm3P0CbvUbS
