Nome da Música;Artistas;ID da Música
01 dE ENEro;";";"Duki; Lucho SSJ";";";78TdaRmo17p8J6BPvA8cGt
RoCKSTAR 2.0;";";"Duki; Jhayco";";";7vQUmIUpnnOmzmSKDGJAol
hARAkiRI;";";"Duki; C.R.O";";";1RXWE7gtbRM7EvEjMWofSr
cONTRA><Mi;";";"Duki; WE$T DUBAI";";";5xjykPKbyh1rRaww18zQey
CSIpher (audio latino);";";"Duki; Akapellah; Neutro Shorty; Micro TDH";";";4bp3MHLtiKfPaNL3iSbQ20
don't liE;";";"Duki; Quevedo";";";7wX28pRv3sTqA1EdjlFkkj
uNO dOS;";";"Duki; Salastkbron";";";43tSc5PlZvGJ39Cnrs94AL
Remember Me;";";"Duki; KHEA; Bizarrap";";";5CS1phsVvsOCa8eowYgA1T
Amor Bipolar;";";"Duki; Mora";";";54azU25VdlyMhiqHOOCZeL
Si Quieren Frontear;";";"Duki; De La Ghetto; Quevedo";";";3MBNAfBXIq9fI2Sez8EcNX
Esto Recién Empieza;";";"Duki; Emilia";";";2jiGBz8zHMvfKCWXI1WBmb
BICI;";";"Duki; Ak4:20; Juhn; Juanka";";";3TBZtPqL5tuOk5QYH9WvvK
YIN YAN;";";"Duki; Rels B";";";6KGGhJoXrztLp8ZT91zizs
Unfollow;";";"Duki; Justin Quiles; Bizarrap";";";1rxX4SkYDqluMJcYSijMSH
Luna - Vivo Calafate;";";"Duki; Asan";";";4dx5Y3LpZZJWtXrgF7LkH2
Sol - Vivo Calafate;";";"Duki; Lara91k";";";4lzf8x10EGMjw5DPz3fWdz
Pintao;";";"Duki; YSY A; Rei";";";0B8yu7yLe1UsXv6gewHRv2
Cuanto;";";"Duki; Lucho SSJ; Farina";";";1wpEE0aGB9p8uNHRtmpqMc
Sol;";";"Duki; Lara91k";";";41tkGjGDeoInSqQTFTPluG
Luna;";";"Duki; Asan";";";4eea4bKE9G2rl8FQ3oH7dw
Malbec;";";"Duki; Bizarrap";";";6KEb17S00Inf0v1qYDgUAj
Fifty Fifty;";";"Duki; Pablo Chill-E; Obie Wanshot; Neo Pistea; Julianno Sosa; Young Cister";";";5B84PuLYzNjHvfy5EpgsfW
Valentino;";";"Duki; Tobi";";";27uT2ouF88miD988lpgkm5
Muriendome;";";"Duki; KHEA";";";07cpSOrJeK2TNrbLXq3hCG
Ella Es Mi Bitch;";";"Duki; Pekeño 77; Mesita; Franux BB; 44 Kid";";";6gAhoYC40nPWRXfc5Gq04H
Muero de Fiesta Este Finde;";";"Duki; CA7RIEL";";";7vUZ4l9XWZLlYdkaRw5kXh
Flex Like Trunkz;";";"Duki; Young Cister; Bles";";";4IzxjAMhzHDPsdPCeG5L1i
Pastillas;";";"Duki; Asan; Zecca";";";6lSh1v6MmMrG7LIfyGPO7e
Sin Mirar;";";"Duki; Asan";";";1HOmQ8cwt1FViRLS6WsWPt
Vida Eterna;";";"Duki; NEGRO DUB";";";3qSXDTVldnymCphR6Hqi9z
Deja Vu;";";"Duki; Big Deiv; CLUB HATS";";";1kWTQFr3WASETvAMvvPGt5
Marca de la Cadena;";";"Duki; ByMonkid";";";3BrNIhMONSsJ5B6H1WGIGD
Smoke a Lot;";";"Duki; Gallagher; Orodembow";";";2uotSqG9SjHmoNlNP4lmZ6
24;";";"Duki; Kidd Keo; Juicy J";";";2KYqHEGZhYxbB0w3O9p9L9
It's a Vibe;";";"Duki; C. Tangana; KHEA; Leebrian";";";6HvD8JhIe9Mq6gyql32rYb
Hitboy;";";"Duki; KHEA";";";51dqvo5QYezL3rjL6qjksA
Me Gusta Lo Simple;";";"Duki; Alemán";";";3VJSv1RoYiCY4ECGyDO7ry
A Punta de Espada;";";"Duki; YSY A";";";74MujHggasHq5FMkTKsNkA
La Jefatura;";";"Duki; Marcianos Crew; Lucho SSJ";";";2lllz0GoFtRdHMaqGlqcoL
One Million Dollar Baby;";";"Duki; Eladio Carrion; Sfera Ebbasta";";";2u5yscz12pZF9Z3ls3BshU
NO DA MÁS;";";"YSY A; Duki; ONIRIA; Yesan 雪山";";";3Tv6frzq72EHVXSXQVqAOY
AEROBICO REMIX;";";"Bhavi; Duki; Milo j; LIT killah";";";4I9WKQdCuHMzQSFpP1k6Tu
Remember Me;";";"Duki; KHEA; Bizarrap";";";7LknbZPcWVDMb6VLDI01MY
