Nome da Música;Artistas;ID da Música
Completa A Frase (Completa Aí) - Ao Vivo;";";"Henrique & Juliano; Marília Mendonça";";";3wisLTTl5Fc2DCKhpJ9jtx
Quando Você Vem - Ao Vivo;";";"Henrique & Juliano; Falamansa";";";38pWiLP8PB4bH7CC5Nkw3D
Flor E O Beija-Flor - Ao Vivo;";";"Henrique & Juliano; Marília Mendonça";";";4AvuFFRiBd0BoCvblTWsZl
Flor E O Beija-Flor - Ao Vivo;";";"Henrique & Juliano; Marília Mendonça";";";0ni9SLDejii0CgTyYug5Lg
Não Tô Valendo Nada - Ao Vivo;";";"Henrique & Juliano; João Neto & Frederico";";";1xPLY8mJWwaWC8bxmkvttG
Mistura Louca - Ao Vivo;";";"Henrique & Juliano; Os Hawaianos";";";01UlqeRnvfDQRLY9sfJCHF
É Tudo Emprestado - Ao Vivo;";";"Henrique & Juliano; Marcos & Fernando";";";0JzXsO4DDPccdjHdgnI3Zq
A Nossa Turma - Ao Vivo;";";"Henrique & Juliano; João Neto & Frederico; Marcos & Fernando; Os Hawaianos";";";6Ngx3cI1bzwBp4HQuNk93F
Ali Te Ama;";";"Rayane & Rafaela; Henrique & Juliano";";";75UeFgDZUmxJW1eViQtbYF
Tô Mal - Ao Vivo;";";"Rionegro & Solimões; Henrique & Juliano";";";70eH6mrkWTLKXMycb3Z5RX
Meio Mundo de Coração - Ao Vivo;";";"Vitor e Luan; Henrique & Juliano";";";03RidJEGAEqQGaNaYuz3KH
Saudade Atemporal - Ao Vivo;";";"Rionegro & Solimões; Henrique & Juliano";";";5yKCTpcGu7ePYk32DCU8Gy
Deixa Ela Em Paz;";";"Bruno & Marrone; Henrique & Juliano";";";0HIhSuAe5lq7ywxqlAt5Nl
ERRO PLANEJADO - Ao Vivo;";";"Luan Santana; Henrique & Juliano";";";0sjhY8nPIm6cPOQfyUPmJe
Eu e Eu;";";"Vitor e Luan; Henrique & Juliano";";";7DETyuwRe61Ab57w90dJ37
Localiza Aí BB;";";"Vitor e Luan; Henrique & Juliano";";";6fe5D0ivKnpXFMAnoSRjah
Sogra - Ao Vivo;";";"Dilsinho; Henrique & Juliano";";";4x8XaoLvpo6kd51PZD16RK
Flor E O Beija-Flor - Ao Vivo;";";"Henrique & Juliano; Marília Mendonça";";";2C4R6KZiFYOqKxoFihUVda
Maior Que o Oceano;";";"Thiago Brava; Henrique & Juliano";";";5oGe2YHU9xcsPpRV5tNHxN
