Nome da Música;Artistas;ID da Música
Fraud;";";"Russ; Justin Nozuka";";";04i9pTVNiSHzQ2mFDaNrh6
Adventure;";";"Russ; Rexx Life Raj";";";7xtlti0lLje4RZIJHEhulS
Oasis;";";"Russ; Bibi Bourelly";";";77E3tq7FOg2g2SqV34ol59
Distracted;";";"Russ; Bibi Bourelly";";";3NFRSHyM9JO9Kk7dZwmp6V
Tunnel Vision;";";"Russ; Bibi Bourelly";";";1dDuMb4GQlB6ZRNmkRzG5M
Blue Chip (Feat. Ransom);";";"Russ; Ransom";";";4ZY4ESokyev9AbweDXb8mS
Bucket Hat Low (Feat. Papoose);";";"Russ; Papoose";";";2CDlUN0Tik2u28LnJH7wUM
Nothin New;";";"Russ; The Game";";";66S46zBzgXEHnWcjtWdjI8
Salute (Feat. Westside Gunn & Styles P);";";"Russ; Styles P; Westside Gunn";";";5TsCLsbsvXvezWJG0F7F5T
Faith;";";"Russ; Jadakiss";";";122br9dGnrQQgo5j19qeif
Free (Feat. Big K.R.I.T., Snoop Dogg & DJ Premier);";";"Russ; DJ Premier; Snoop Dogg; Big K.R.I.T.";";";5rZCgrK4faFf3rcF0mifI4
Top Of The World (Feat. Jay Electronica);";";"Russ; Jay Electronica";";";4InLHMQ7mL21O94pQU5lhw
Note To Self (Feat. Big Sean, Wale, Joey Bada$$ & Hitboy);";";"Russ; Big Sean; Hit-Boy; Wale; Joey Bada$$";";";5GSUrmDtxynQhBDLz7X2Mt
Distance (Feat. Ghostface Killah & Conway the Machine);";";"Russ; Conway the Machine; Ghostface Killah";";";22gTonF1eCmzfQNOggJehT
Get It (Feat. CyHi The Prynce & Lloyd Banks);";";"Russ; Lloyd Banks; CyHi";";";6at20GDqHS61Cyb4QVxhy7
Enjoy The View;";";"Russ; Mozzy";";";1wiOY57Wpg8hgNz0ppXj5Q
3AM;";";"Russ; Ty Dolla $ign";";";6xRNqXP3baPR9buXr8vreM
SKY (feat. Boogie);";";"Russ; WESTSIDE BOOGIE";";";74OjcDDHAlNuCQbAKC1KwL
GUESS WHAT (feat. Rick Ross);";";"Russ; Rick Ross";";";6JtHhpMnYvU0w53jxxrC8B
ASSHOLE (feat. Bugus);";";"Russ; Bugus";";";0JUEZLTxyaAwGJhzb9U8PN
ALL TO YOU (feat. Kiana Ledé);";";"Russ; Kiana Ledé";";";0wtnEYs277hqEGrg44hNLG
I THOUGHT YOU GOT ME (feat. Benny The Butcher);";";"Russ; Benny The Butcher";";";4gTrWkQqn4xC2qcwQEIYg8
FOOT ON THE GAS (feat. Devin the Dude);";";"Russ; Devin The Dude";";";68xVfTT9FWMa23lxctnO4Z
BEST ON EARTH (feat. BIA) - Bonus;";";"Russ; BIA";";";21Wslyd3w8918CKso0YwT5
GUESS WHAT (feat. Rick Ross);";";"Russ; Rick Ross";";";40FUPlp2KJvdHY5ABnK100
ASSHOLE (feat. Bugus);";";"Russ; Bugus";";";0kJLquo7RDeB5zbUDk5cMX
ALL TO YOU (feat. Kiana Ledé);";";"Russ; Kiana Ledé";";";0Bigou27TPeAglUOWYm5b2
