Nome da Música;Artistas;ID da Música
Lobby;";";"Anitta; Missy Elliott";";";17UMDTqVeX3SqvgKr8kSmF
El Que Espera;";";"Anitta; Maluma";";";5fgbdhfoZMFgqdWUZR81lZ
Yo No Se (feat. L7NNON & Maffio);";";"Anitta; L7NNON; Maffio";";";2K176iGMIBESoxbTzyoFsH
Practice (feat. A$AP Ferg & HARV);";";"Anitta; A$AP Ferg; HARV";";";43eP7iHiKryjETMTDJJYfY
DANÇARINA (feat. Nicky Jam, MC Pedrinho) - Remix;";";"PEDRO SAMPAIO; Anitta; Dadju; Mc Pedrinho; Nicky Jam";";";6qLnAo32iKmAPesChyS85X
Gata (feat. Chencho Corleone);";";"Anitta; Chencho Corleone";";";0nYkmpPDna4wbuinxH2aIQ
Gimme Your Number;";";"Anitta; Ty Dolla $ign";";";0DYs7kJmu3oK1dlyZSnaJy
Maria Elegante (feat. Afro B);";";"Anitta; Afro B";";";3GtRx1cuXWOF4vnBWwiB04
Ur Baby (feat. Khalid);";";"Anitta; Khalid";";";1MvPlzw1Ym0M07NNEjqkXn
Faking Love (feat. Saweetie);";";"Anitta; Saweetie";";";0fXzA9vjmWC3r5Fk2HmFN0
Que Rabão (feat. Mr. Catra e YG);";";"Anitta; Papatinho; MC Kevin o Chris; Mr. Catra; YG";";";0cmvywGFapv0u7e59FeCdF
Me Gusta (with Cardi B & Myke Towers);";";"Anitta; Myke Towers; Cardi B";";";1JO5Hzu9pBnSB2V6JP5Z06
Gata (feat. Chencho Corleone);";";"Anitta; Chencho Corleone";";";3SWjpNMVUi5UXz096NbfPr
Gimme Your Number;";";"Anitta; Ty Dolla $ign";";";76NZFxqS6b0xsd16e0LIfF
Maria Elegante (feat. Afro B);";";"Anitta; Afro B";";";2OU6RxOSA8n7nDpg3gF3aX
Ur Baby (feat. Khalid);";";"Anitta; Khalid";";";66wc7tEC6OapOuvRx1ncbD
Faking Love (feat. Saweetie);";";"Anitta; Saweetie";";";63IC8gaszSBCasV9THojiT
Que Rabão (feat. Mr. Catra e YG);";";"Anitta; Papatinho; MC Kevin o Chris; Mr. Catra; YG";";";71fwkaKdNrxiZZbkzSqmFJ
Me Gusta (with Cardi B & Myke Towers);";";"Anitta; Myke Towers; Cardi B";";";4a3LvPpAj6ogH7qSuPr5H6
Banana;";";"Anitta; Becky G";";";2eSnW4d3A4SyEVhVPmBffa
Onda diferente (feat. Papatinho);";";"Anitta; LUDMILLA; Snoop Dogg; Papatinho";";";2H8ETIUEoN9YMf56X66bxd
Sin miedo;";";"Anitta; DJ Luian; Mambo Kingz";";";6p6sG45DypURkhhXsVr6MN
Poquito;";";"Anitta; Swae Lee";";";5qm2otRZaeZaqdLVVohUjq
Tu y yo;";";"Anitta; Chris Marshall";";";2YHR2QhK6nWta7rbY1on6i
Get To Know Me;";";"Anitta; Alesso";";";32lyOiqQrmCUICCcBfkBeG
Rosa;";";"Anitta; Prince Royce";";";7KicgcwT4Pz6wENOTJCNTp
Você mentiu;";";"Anitta; Caetano Veloso";";";2GsvXMAz16fKroAmaCxLfL
Cravo e canela (Participação especial de Vitin);";";"Anitta; Vitin";";";3hjBYlefZoLMMvziRtYZuM
Essa mina é louca (Participação especial de Jhama);";";"Anitta; Jhama";";";5Bn6W4bwH7Bw5nMvn8V4xF
Gosto assim - Participação especial de Dubeat;";";"Anitta; Dubeat";";";7CeIxIEh5rGM7iOqfxWcrN
Sim - Participação especial de ConeCrewDiretoria;";";"Anitta; ConeCrewDiretoria";";";4uGcFswfOPfPfRvHi9KXJR
Pode chegar - Participação especial de Nego do Borel;";";"Anitta; Nego do Borel";";";2cFTL0ycAKGxxcz6WGtPHG
Cobertor (Participação especial de Projota);";";"Anitta; Projota";";";1EU5suqjDDFtYZ7Y72wyMS
Mulher (Participação especial de Projota);";";"Anitta; Projota";";";2TbI4gmIBQfS3WsQCgO9nM
Zen (feat. Rasel);";";"Anitta; Rasel";";";2D1SDJrpfNQBk5zx1ADCiO
