Nome da Música;Artistas;ID da Música
Endless Love (with Mariah Carey);";";"Luther Vandross; Mariah Carey";";";72G5KDi35qUGjc8SmvIQFm
Anytime You Need a Friend - C&C Club Version;";";"Mariah Carey; David Cole; Robert Clivillés";";";221uizek1TY2HkOEHRqE3t
I've Been Thinking About You - Terry Hunter Remix;";";"Mariah Carey; Terry Hunter";";";4ajKl8RnWNn4Q36xk4Hgb6
Workin' Hard - Terry Hunter Remix;";";"Mariah Carey; Terry Hunter";";";6ViknDs3qoh8oRYU0Ju4UE
I'll Be There (feat. Trey Lorenz) - Live at Proctor's Theater, NY - 1993;";";"Mariah Carey; Trey Lorenz";";";4XUrNBj0LhWu3WziBj0wQ4
Breakdown (feat. Krayzie Bone & Wish Bone);";";"Mariah Carey; Krayzie Bone; Wish Bone";";";3IqlKX5JXqtQeVurLXqb3e
The Beautiful Ones (feat. Dru Hill);";";"Mariah Carey; Dru Hill";";";0yNEjhJfWmcVbKO5UQLzuf
Whenever You Call;";";"Mariah Carey; Brian McKnight";";";2TXyiwnpA1gS25Y74s0sfR
The Roof (When I Feel the Need) (feat. Brandy);";";"Mariah Carey; Brandy";";";3rptYWhwQWNWcACrYu4CGg
Butterfly - Amorphous Anniversary Club Remix;";";"Mariah Carey; Amorphous";";";6Z6OPzsqKT1fKbLEt2bYyg
Oh Santa! (feat. Ariana Grande & Jennifer Hudson);";";"Mariah Carey; Ariana Grande; Jennifer Hudson";";";2VkuxjlbnbaBiWYpdBGVol
Here Comes Santa Claus (Right Down Santa Claus Lane) / House Top Celebration (feat. Snoop Dogg & Jermaine Dupri);";";"Mariah Carey; Snoop Dogg; Jermaine Dupri";";";6OkevUybUFp70w4PhGdo63
Save The Day (with Ms. Lauryn Hill) - 2020;";";"Mariah Carey; Ms. Lauryn Hill";";";5aO54UchLksSDWRLYtvbqg
When Christmas Comes;";";"Mariah Carey; John Legend";";";1dTzXtog6vWqdLc7BgRScw
All I Want for Christmas Is You (feat. Jermaine Dupri & Lil Bow Wow) - So So Def Remix;";";"Mariah Carey; Jermaine Dupri; Bow Wow";";";7e3gv0yJdDQRiYpWIzsKT3
All I Want for Christmas Is You - Mariah's New Dance Mix Extended 2009;";";"Mariah Carey; Lowsunday";";";4I5Hn34v6foGP3ta9Xx0rN
Joy to the World - Celebration Mix;";";"Mariah Carey; David Morales";";";0AOazPAzLjmnQAwspzFqtZ
The Distance (feat. Ty Dolla $ign);";";"Mariah Carey; Ty Dolla $ign";";";0BUUUny4vu4Q65Mko7M2T5
Giving Me Life (feat. Slick Rick & Blood Orange);";";"Mariah Carey; Slick Rick; Blood Orange";";";5inAJ5hLwGOtSaV9a6ZJGe
Stay Long Love You (feat. Gunna);";";"Mariah Carey; Gunna";";";7JojHzAqrWtqCU7jfEeW8y
Dedicated;";";"Mariah Carey; Nas";";";2ZCF6xZTjtwImIFPdZaN6j
#Beautiful;";";"Mariah Carey; Miguel";";";0yd5FKBcCrexjbsHqAOfPg
You Don't Know What To Do;";";"Mariah Carey; Wale";";";4DeLQFtXdy1C6iHuDqY7gR
Money ($ * / ...);";";"Mariah Carey; Fabolous";";";4IFljwyoTl9VDPW0aHqBES
It's A Wrap;";";"Mariah Carey; Mary J. Blige";";";2FLyONNYaIWIfM4X71SaYA
Betcha Gon' Know;";";"Mariah Carey; R. Kelly";";";2l4IWMgJe9IuahbmCSBtUQ
O Come All Ye Faithful/Hallelujah Chorus - Medley;";";"Mariah Carey; Patricia Carey";";";5vRTufLAbQHcZxZh2f1umL
Oh Santa! - Jump Smokers Edit;";";"Mariah Carey; Jump Smokers";";";15FUaSpovH4jUo5Z3hYWu6
Obsessed - Cahill Radio Mix;";";"Mariah Carey; Cahill";";";1ykA1AlbDZ39G0KKNuwpxj
