Nome da Música;Artistas;ID da Música
Podemos Repetirlo;";";"Don Omar; Chencho Corleone";";";1zJkWig0QfNBsH79SKjE9p
Te Abandonó (Remix);";";"Don Omar; Nio Garcia";";";3gSPBOF36Aa5Y7mAjWPT5A
Magdalena;";";"Don Omar; Maluma";";";11CXuBRdYLNL5RlR9XAMns
Bandidos;";";"Don Omar; Cosculluela";";";4zYGyvts8FgR4Fgl31n8GV
Flow HP;";";"Don Omar; Residente";";";0Nns6zA8d2eJIXTdJDR127
Good Girl;";";"Don Omar; Akon";";";0c6NwtBQCAreYBnVPIqGTj
Soy Yo;";";"Don Omar; Wisin; Gente De Zona";";";3YYfptnDgtaenspMGtF8pP
Se Menea;";";"Don Omar; Nio Garcia";";";6nrK3vUz8RWU8kbQsulsck
LET'S GET CRAZY! (Mambo Drop);";";"Don Omar; Lil Jon";";";7rK6tHafwIKrpMUxnTstT3
Intro;";";"Don Omar; Gallego";";";5ya6IVAueW0GDjy3cBq2Ne
My Space;";";"Don Omar; Wisin & Yandel";";";3zpGn3dWTFVLgJwf0Q2OA3
La Vecinita;";";"Don Omar; Vico C";";";4wmPBI7iEJ2urKoXjQQqFu
Mángala;";";"Don Omar; Mario VI";";";6pjatCxgq9h9tOFSw3gkyY
Baila Sola;";";"Don Omar; Franco ""El Gorilla""";";";0sw3bhzhsvwhkfEVKXtnXb
Cae la Luna;";";"Don Omar; Valentino";";";4toYnBA2MkgW7OdvfFgGdi
Tu Pa' Tras y Yo Pa'lante;";";"Don Omar; Voltio";";";5vEfhSdHJOtmP6SBIYZQcd
Buscándote;";";"Don Omar; Jomar";";";2szzBdesXu2yam1A8Pz87y
El Bandolero;";";"Don Omar; Cosculluela";";";6ASnsbz2vM6btrWlQT4K7B
Como Hacer;";";"Don Omar; Gocho";";";2d7wor1nXJ7DPUtCz7wWpV
Convéncete;";";"Don Omar; Naldo";";";3JfGaA1KFTbLQvyOC4OUIJ
Acción (feat. Jayco, Yaga & Mackie);";";"Don Omar; Yaga & Mackie; Jayco";";";0cp1jkK7NEqExjCkfOueg8
Te Recordare;";";"Don Omar; Lennox; Norrys";";";7Kul0bWdeKJZZU3MhSj9M0
Se Transporta;";";"Don Omar; Marvin Diaz";";";55WR409bnk02210tIoxaDe
Sicario (feat. Mero);";";"Don Omar; Mero";";";2TJJUWhongbdvltU6NQuRV
Quema Quema;";";"Don Omar; Aldo Y Dandy";";";58f5zPfXlUyPgMpZvIly7e
Declaro;";";"Don Omar; Manny Montes; Redimi2";";";0fJGN9UUQzJzd5L4c6K5Yj
Estas Calentándome;";";"Don Omar; Baby Ranks";";";3UHzoEnezUEX8SqtnCzLuo
Atácalos;";";"Don Omar; Rey Pirin";";";4QXHRzmIe1ns9sSWWfvZhC
No Te Obligo;";";"Don Omar; Alex Killer";";";566I6fT8nIIFGH6Qf7tc4C
Ella Anda Sola;";";"Don Omar; Andy Boy";";";1VfjonA7o7L4lOLHmXsvmd
Química II;";";"Don Omar; Wiso G";";";3wgp8m4TDqiVMk6vFRczGp
Chouchianna;";";"Don Omar; Glory";";";1VbNl9vRVHrE182AZnb4dS
A Lo Loco;";";"Don Omar; Gamy y Roka";";";6cFrI2QhP26ubPbPTfoJTl
Intro;";";"Don Omar; Gallego";";";73YnQr0EHDmlOgj2IjLLFM
Acelera;";";"Don Omar; Angel Doze";";";7v2rsqjGli66DX95FTgsm9
Me Arrepiento;";";"Don Omar; Zion & Lennox";";";2KL58XIIPK0BEeiaHTQpGw
Bandoleros;";";"Don Omar; Tego Calderón";";";4MLSjN1xAevuHXoSs8etwl
Segun Tu;";";"Don Omar; Ivy Queen";";";6Pgwqiwf5Tvtib0Zkh6znV
Dale Vaquero;";";"Don Omar; Alexis y Fido";";";4RFwWxp4IMgwyVex89qPmX
Soy Tu Bandolero;";";"Don Omar; Yaga & Mackie";";";1f6opfXGhJoK5VTkD6Xtvz
Te Quitas o Nos Matamos;";";"Don Omar; Polakan";";";5V4lJQAWQQgEluahQGL3Kz
Hoy Nos Vamos Calle;";";"Don Omar; Trebol Clan";";";2Pcu6sMEUQsACISCaakwfA
Presión;";";"Don Omar; Valentino";";";52Cb4tP7ROh0NOMPdxI8ep
La Fiera;";";"Don Omar; Mario VI";";";5UlFh0X3qBGhIDnCi1s7cz
Dale Mami Pégate;";";"Don Omar; Nicky Jam";";";0ArmG08YU5n4XQcgpPKQP6
Si la Ves;";";"Don Omar; R.K.M & Ken-Y";";";1KmSLzYO8knh1nCdddLs2Y
Chula;";";"Don Omar; John Eric";";";26DH6rPIJV8mPJfCZT2jMu
Química;";";"Don Omar; Wiso G";";";2Mzcwt5vaOj9gGAD2bvDAo
Vamos a Darle;";";"Don Omar; Cosculluela";";";6JzEA3RaCg8jI5g7z8pG3g
Somos Bandoleros;";";"Don Omar; Lito MC Cassidy";";";1u6f8ilGyn40G5ziaTYXLF
Soy Quien Te Provoca;";";"Don Omar; Alberto Stylee; Nano MC";";";3FMDfrQ0yPnI49fhmdpMNz
Ella Baila Sola;";";"Don Omar; Guayo Man; Ñengo Flow";";";2De9oUJWQEf76AkDqvbhFc
Fuego, Fuego;";";"Don Omar; Andy Boy";";";4799Tdqpmlcbt2nhA2LMPN
En el Callejón;";";"Don Omar; Arcángel";";";0PSelxdJC0oSj6ms7llejs
Voy a Darte Sin Miedo;";";"Don Omar; Clásico";";";1wiic3hQu9TBzOGIbTb4m2
Tu Cuerpo Me Provoca;";";"Don Omar; Albizu & Lefty";";";3mJTZYbSaMrfh0xUSUTgUl
Ronca - Remix;";";"Don Omar; Héctor ""El Father""; Zion";";";0X9uR72xyIoMno0WJhbfe3
Danza Kuduro - Remix;";";"Don Omar; Lucenzo";";";4YjqlP7hrRx0pdWrU46ZGr
Pobre Diabla - Remix;";";"Don Omar; Josean Cruz";";";71QsGP133B9SPBIice7kq5
Dutty Love - Remix;";";"Don Omar; NATTI NATASHA";";";1ovSSitzV9fEI8gALrbcdj
Ramayama;";";"Don Omar; Farruko";";";4YGQnszpXEirbcqcAN9lwZ
Encanto;";";"Don Omar; Sharlene Taule";";";0441aFB1bOpSjiq7ux4wiC
No Te Vayas;";";"Don Omar; Alexis y Fido";";";4yosw7wVUKsJuY35kq9VVo
Fire;";";"Don Omar; Jory Boy; Mr.Phillips";";";6fGjKSs0onPKmsjA4ZwDPp
Perdido En Tus Ojos;";";"Don Omar; NATTI NATASHA";";";0Mk48GaMgw0qz0auSymuHd
Callejero;";";"Don Omar; Tego Calderón";";";2WeUfUKrUbWG0jNp6KwMwL
En Lo Oscuro;";";"Don Omar; Wisin & Yandel";";";03eqlziOWq8JcWtGlKdpGz
Olvidar Que Somos Amigos;";";"Don Omar; Plan B";";";6tAgxFa4LAGJ74gq7FkycG
Dobla Rodilla;";";"Don Omar; Wisin";";";3K0jtXM4i435C6dFQWvgWr
Tírate Al Medio;";";"Don Omar; Daddy Yankee";";";15a5yBoHJhHHWjKbyLO10s
Sandunga;";";"Don Omar; Tego Calderón";";";7uIRZRw4xM2IcfCP1sSwnD
Yo Soy De Aqui;";";"Don Omar; Yandel; Daddy Yankee; Arcángel";";";5xPgLR8hKsPWlOBnurBi20
Dutty Love;";";"Don Omar; NATTI NATASHA";";";2oJH69cuNyWpCmZyTmvrEN
Slow Motion;";";"Don Omar; Syko";";";2lGYMygOoEYFzR7vbwEgoS
FML (Fuck My Life);";";"MiMS; Don Omar; Vinny Venditto";";";2AMb1HTPlR8eOiCeyNdGTr
No Sigue Modas Aka Ella No Sigue Modas;";";"Don Omar; Juan Magán";";";4CYpaMXu4iyGdk8b0jCeYi
Así Es Que Es;";";"Don Omar; Syko; Pina Carmirelli";";";1uc1gbp323ObbgXeswOG4p
Mi Nena;";";"Xavi; Zion & Lennox";";";2qtmm1IgfsUBh0s1FHnccs
Dame Una Llamada;";";"Don Omar; Syko";";";5B7TZFiY1t341KemEwttlG
La Llave De Mi Corazón;";";"Don Omar; Yunel";";";5k699XWe2wlBuFD53AkT0w
FML (F My Life);";";"MiMS; Don Omar; Vinny Venditto";";";1eyDW656io34xm3thqE6pq
Tus Movimientos;";";"Don Omar; NATTI NATASHA";";";56LONVVIL286mCOVcpjBB5
A Lo Mejor Ya Es Tarde;";";"Don Omar; Syko";";";4XEweKvBs5XfMQ9y2bFOor
Orphanization;";";"Don Omar; Kendo Kapponi; Syko";";";5Ch8M9mtAUrsxRPstlRam6
El Duro;";";"Don Omar; Kendo Kapponi";";";4HUn6GdekVkPwJrAufiWyE
Hooka;";";"Don Omar; Plan B";";";0BenZn1xELuxhb7Pjwyjxv
Angeles Y Demonios;";";"Don Omar; Kendo Kapponi; Syko";";";6DBDszb5xqRot1ywnQvk4q
Viviendo Con El Enemigo;";";"Don Omar; Kendo Kapponi";";";6e1GVODwIB2IYkSxKDsKzv
Ella Ella;";";"Don Omar; Zion; Lennox";";";7AObnx2EzL6FeYjmdjPCoA
Danza Kuduro;";";"Don Omar; Lucenzo";";";2a1o6ZejUi8U3wzzOtCOYw
RX;";";"Don Omar; Kendo Kapponi";";";1qLeX26IEu3kPWxPfyBMGd
Reggaeton Latino - En Directo;";";"Don Omar; Manuel Alejandro Ruiz";";";0sYFwTad35JCOSMGHQC7SX
Intro - Predica;";";"Don Omar; Miri Ben-Ari";";";7eRlhQMVfH1GPp5Ej4IGKf
Conteo;";";"Don Omar; Juelz Santana";";";0fQ9kbOBSpxEU13CqKeeGb
En Su Nota;";";"Don Omar; Mackie Ranks";";";5QDmTPN6pG5T9hEPPvMTVi
Belly Danza;";";"Don Omar; Beenie Man";";";3ixaVt2WqBeIZQazunKYad
Not Too Much;";";"Don Omar; Zion";";";1MbjlG8UghscJUTTcVWbVH
SANDUNGA;";";"Don Omar; Wisin; Yandel";";";4QJF76nruk2vvuCzGDCqsL
Podemos Repetirlo (Remix);";";"Don Omar; Chencho Corleone; Anuel AA";";";6AkCPRgpyt2jMF3RGjzJsw
Podemos Repetirlo;";";"Don Omar; Chencho Corleone";";";0If7xxzqs7Dv1SSO2MFKXF
Bandidos;";";"Don Omar; Cosculluela";";";1KEihgohVX0H1R1C6wjYly
Entregame Tu Amor;";";"Don Omar; Randy";";";5jcDI1I6wNgQp4NQP0OFq4
Good Girl;";";"Don Omar; Akon";";";2Z7ulQhQLbZJYyk6U2unUK
LET'S GET CRAZY! (Mambo Drop);";";"Don Omar; Lil Jon";";";4q5pdsB1bsZRu9BgewM7j9
Soy Yo;";";"Don Omar; Wisin; Gente De Zona";";";4qREGoj96edc3P6N3gHHyr
Se Menea;";";"Don Omar; Nio Garcia";";";5EKsl4UV2f04PPrEFlR7aP
El Deseo - Radar la Nota Remix;";";"Don Omar; Nico Canada; Jackie; Radar La Nota";";";6s6BjgQwQ4w36J0WCEhksv
Flow HP;";";"Don Omar; Residente";";";3KDfZfRynXV8sOFFczRHdh
El amor es una moda;";";"Alcover; Don Omar; Juan Magán";";";2hojbalRXKHKViXslmdsbM
No Te Vayas;";";"Don Omar; Alexis y Fido";";";417Lz9vsyAlnPkOZFMiJib
Desierto;";";"Amenazzy; Don Omar";";";4NLcgBskZkUYgpAVQF0sNI
Danza Kuduro 2019 - Luigi Ramirez Mix;";";"Lucenzo; Don Omar; Big Ali; Luigi Ramirez";";";7vVcQ3qUJkHZ5pZrxZaOVa
Danza Kuduro 2019 - Diamont Dr;";";"Lucenzo; Don Omar; Big Ali; Luigi Ramirez";";";7kdiBgQ7f3hX4hO55aF7Rb
Danza Kuduro;";";"Lucenzo; Don Omar";";";0rCxlp7KdpW1JR8uG6Uno0
Vem Dancar Kuduro;";";"Lucenzo; Big Ali";";";5VHC6Lw6wTP8mOv0FLQPtH
"Si Te Atreves - Canción Original De La Película ""Los Japón""";";";"Juan Magán; Don Omar";";";1VYdx50j4dHw3fca2EpNNx
Ramayama;";";"Don Omar; Farruko";";";6gokadtiVvFO0nuAoOLX98
Dure Dure;";";"JENCARLOS; Don Omar";";";199yJpWCdPhon2nlmLslJI
Mr. Romantic;";";"Mike Stanley; Don Omar";";";4ETrFf4SEWUyvQRtnB2ibm
Encanto;";";"Don Omar; Sharlene Taule";";";03wOwEbTS3JR2Y2U0TxkFx
Te Quiero Pa´Mi;";";"Don Omar; Zion & Lennox";";";5YTMV11r6H8eeKuHghbBql
Perdido En Tus Ojos;";";"Don Omar; NATTI NATASHA";";";0w43hzUIIMeSzlCgCC41uX
Nada Cambiará;";";"Don Omar; Xavi";";";7g2q6zgIbChYko4jarAhSR
Dutty Love;";";"Don Omar; NATTI NATASHA";";";7dr526WvSm9ILImbwENW0N
Hooka;";";"Don Omar; Plan B";";";2jOgT90lOTO91JuZeNIjAf
Danza Kuduro;";";"Don Omar; Lucenzo";";";5syq9Sc5Q354Z2r2MhmgAW
