Nome da Música;Artistas;ID da Música
VOID - Sped Up Version;";";"Melanie Martinez; sped up nightcore";";";0KpU1OoP5ddAJago8RDU7k
VOID - Sped Up Version;";";"Melanie Martinez; sped up nightcore";";";6xEdtkCZxkKXjnYHIoRrzf
Copy Cat (feat. Tierra Whack);";";"Melanie Martinez; Tierra Whack";";";4AhAT2GxKdNYWc5bmdoAES
Pity Party - Madison Mars Remix;";";"Melanie Martinez; Madison Mars";";";65w4HtfZY75E0rvCPmF4J5
Pity Party - Kayliox Remix;";";"Melanie Martinez; Kayliox";";";3WEDhdX5C3DenTTc7w43A4
Pity Party - XVII Remix;";";"Melanie Martinez; XVll";";";531ssaiKfl3J9niL2hPSDK
Pity Party - K Theory Remix;";";"Melanie Martinez; K Theory";";";66alEYxItMpOgInnTLdex8
Pity Party - The Feels Remix;";";"Melanie Martinez; The Feels";";";7rDXiiwp1BTMOIUnxYS40q
Pity Party - Myles Travitz Remix;";";"Melanie Martinez; Myles Travitz";";";1qc2ou7AyTt0Eo1JwaG15x
Pity Party - Kassiano Remix;";";"Melanie Martinez; KASSIANO";";";52n3zmlqqx62TZf7kJ3ixV
Soap - Steve James Remix;";";"Melanie Martinez; Steve James";";";5yn3TWiPsG1LFXY7r8XZbv
Soap - Gladiator Remix;";";"Melanie Martinez; Gladiator";";";0L0i0giyGUS9UMR7yv6nQn
Soap - Stooki Sound Remix;";";"Melanie Martinez; Stooki Sound";";";2MQK7TaLzVRAZ1owyqlEoO
Soap - Luxxury Remix;";";"Melanie Martinez; LUXXURY";";";2Tmtt8DK9VNLzVKKWhiFu4
Soap - Sailors Remix;";";"Melanie Martinez; Sailors";";";5zONxFrpcnlqfmU1DBBdFL
Soap - Jerome Price Remix;";";"Melanie Martinez; Jerome Price";";";377E9hY5Bpg5kksHVR2Hi3
Carousel - Bobby Green Remix;";";"Melanie Martinez; Bobby Green";";";128PlQAbXh49c3s5GZBl0H
Carousel - Bleep Bloop Remix;";";"Melanie Martinez; Bleep Bloop";";";5xFUq3Tn2gQCK1pxnj7o72
Carousel - Eric Sharp Radio Mix;";";"Melanie Martinez; Eric Sharp";";";3MD4XymKTi13cymoJGaOxl
Carousel - SNBRN Remix;";";"Melanie Martinez; SNBRN";";";78JQ2UmKAQYpXOWUBGd1ZJ
