Nome da Música;Artistas;ID da Música
Me Niego (feat. Ozuna & Wisin);";";"Reik; Ozuna; Wisin";";";4ggiDYAkJ7Yk8d5xOr7Xjo
Amigos Con Derechos;";";"Reik; Maluma";";";4yVO0wOhXsZC1RuPgHP524
Aleluya;";";"Reik; Manuel Turizo";";";23CsjGOYDQiJpX44BSn9TM
Duele;";";"Reik; Wisin & Yandel";";";4eOPVWfx1n9vI26r4PfIJG
Aunque No Deba;";";"Reik; Tommy Torres";";";5hQeS8Ep3oQLCOolbM1dxr
Qué Gano Olvidándote (feat. Zion & Lennox) - Versión Urbana;";";"Reik; Zion & Lennox";";";3pOSWDgTi2vx0bdCBAWBWH
Al Fin Estás Aquí;";";"Reik; Felix y Gil";";";5WLUaYou0GTWgTfRDhf178
Ya Me Enteré (feat. Nicky Jam) - Urban Version;";";"Reik; Nicky Jam";";";2SSYqDX8KTgy01NlqtUo0F
De Que Me Sirve la Vida (with Samo) - En Vivo;";";"Reik; Samo";";";4Stp94lZHnb0GC7RD8uJmh
Mi Pecado (with Maite Perroni);";";"Reik; Maite Perroni";";";2ZU6IyA6aJHDLKIXfcnUl2
Inolvidable (ROCAsound Mix);";";"Reik; Sebastian Arocha";";";6tble8E1fhOspUFyG3gL7D
Que Lloro (En Vivo) (with Sin Bandera);";";"Reik; Sin Bandera";";";25gfUIZSgqtQ9r2OPpP2wh
Amarte Duele (with Natalia y La Forquetina) - En Vivo;";";"Reik; Natalia y La Forquetina";";";0KrKfDw800OdENAZrXNWfe
El Correcto;";";"Reik; Carin Leon";";";4tYgQrGwhpvjfq4ryajgUo
Te Acuerdas;";";"Ha*Ash; Reik";";";4Oy75mbculFYO26JYtc8DN
Manos Frías (con Reik, Beéle);";";"Mau y Ricky; Reik; Beéle";";";14SFx9btIIv81LSbaajTv1
No Se Acaba Hasta Que Acabe;";";"LAGOS; Reik";";";2cyFoye18xtRTd13CEzH9D
No siempre quedará París - Remix;";";"Leo Rizzi; Reik";";";4TPugCH4s6bRqhWhGkb2qw
A Mi Lado;";";"Reik; Rusherking";";";5Qw9OHZdAX40qw5hZCU0BS
Mirando a la luna (feat. Reik);";";"Beret; Reik";";";3pgruOfc6P6NtTusfwrVga
5 Estrellas;";";"Reik; Sech";";";3XbzMSWKdp8FzcQHA9BeXw
Llévame;";";"Santa Fe Klan; Reik";";";5OkWmtN7Ul8ALulnVEXsTn
Tu Despertador;";";"Andrés Cepeda; Reik";";";6fWNrtEd8z5ONHUCCiOuBS
Winnie Pooh;";";"Dímelo Flow; Reik; Jay Wheeler; Boza";";";0QupfeRNFEdNatL4gkcZUp
A Veces Bien Y A Veces Mal;";";"Ricky Martin; Reik";";";21DZByorOzBJ0a0mikH8ri
A Veces Bien Y A Veces Mal - Orbital Audio;";";"Ricky Martin; Reik";";";5jJpVnUcNcvHPiP4MQ0IcA
Solo quiero dedicarte;";";"Rocco Hunt; Omar Montes; Reik";";";5vXjti9OfnLuA9cGO5mYI1
Mírame (Bilmem mi? Remix);";";"Sefo; Reik; Dímelo Flow; Aerro";";";05vrfZ9MXAnE80Z5NQG6wa
Alcancía;";";"Llane; Reik; KHEA";";";020womZSqTEXnoDptWI6mL
Los Tragos;";";"Reik; Maria Becerra";";";7iXJg4IUyrWont5YSQrbKP
Cuántas Veces;";";"Carlos Rivera; Reik";";";0dfyGtKJoxV8KAYRpSwBiL
Loquita;";";"Reik; Rauw Alejandro";";";2OTULPNeQUkwQ0tNzcG7tj
Perfecta;";";"Reik; Maluma";";";6VOb0Kkrd45Bp5RHYSla2J
A Un Paso De La Luna - Remix;";";"Reik; Rocco Hunt; Ana Mena";";";6EQR7Y5vVZFiPD0RUECIDv
Poco;";";"Reik; Christian Nodal";";";1TuA6bkuQIvgbIy2SonPGC
No Me Acostumbro;";";"Wisin; Ozuna; Reik; Los Legendarios; Miky Woodz";";";1dFvzd0wivuzxU2BLcEynb
Poco;";";"Reik; Christian Nodal";";";6VZMIyzOupI4vA68RaUgXb
Poco - Versión Pop;";";"Reik; Christian Nodal";";";4DAWpeE7iV2vJ6dL4SVPCo
Con la Falta Que Me Haces - Con Grupo Firme;";";"Reik; Grupo Firme";";";47pxVljvHqhBjmT126bSgX
Lo Intenté Todo;";";"Reik; Jessie Reyez";";";26waqvvTo7eyRIApBjY5jM
Lo Intenté Todo;";";"Reik; Jessie Reyez";";";6PxY5drMNRkO9CB6dL2srb
B.O. TEMPORÁRIO;";";"WC no Beat; Dilsinho; Reik; Felp 22";";";3YOabW7rcjg2ic9bH5mcyo
La Bella y la Bestia;";";"Reik; Morat";";";0G0p7mc4wEaQTsUpzEmkEs
Bésame (I Need You) (with TINI & Reik);";";"R3HAB; TINI; Reik";";";25c15KvAiyM8DNmDoFqwzm
Enemigos;";";"Aitana; Reik";";";5XUtUnUsJ1PAkLZIiCfUD5
Si Me Dices Que Sí (feat. Camilo) - R3HAB Remix;";";"Reik; Farruko; R3HAB; Camilo";";";4qluwGB0E43AJFDcuQwKKV
Yo No Sé - Remix;";";"Mati Gómez; Nicky Jam; Reik";";";26KXzccmVWEgNidxH4XiO3
Si Me Dices Que Sí;";";"Reik; Farruko; Camilo";";";56Ta1O7Jxxpjnc6cWdDKUo
Borracho De Amor;";";"Cali Y El Dandee; Reik";";";4QtQgsK7DChmU4EM5NtqyK
Haz Lo Que Quieras;";";"Haze; Reik";";";6VxuSFyAV3AjGsmI4GQq8d
DOSIS;";";"Dvicio; Reik; ChocQuibTown";";";0cDumxvNKhydP1Cmon2S6E
