Nome da Música;Artistas;ID da Música
SCIENTIST (R3HAB Remix);";";"TWICE; R3HAB";";";3uazfRfe8P0L6j82EnHjOW
SET ME FREE (Lindgren Remix) (ENG);";";"TWICE; Lindgren";";";7K5LvTMS85SKWK6bYtHhAP
SET ME FREE (Lindgren Remix);";";"TWICE; Lindgren";";";5wNQXN45nL1BM6fuSZolVn
SET ME FREE (Tommy “TBHits” Brown Remix) (ENG);";";"TWICE; Tommy “TBHits” Brown";";";6BhpvHofjQy5ZHSJLUy1V5
SET ME FREE (Tommy “TBHits” Brown Remix);";";"TWICE; Tommy “TBHits” Brown";";";3em8yvglQOquNvttDVnRWS
SET ME FREE (ARMNHMR Remix) (ENG);";";"TWICE; ARMNHMR";";";6rEskoR1IPe8099gp8N5AL
The Feels (Benny Benassi Remix);";";"TWICE; Benny Benassi";";";2uIgQIrUIy57d1jngcOODC
The Feels (The Stereotypes Remix);";";"TWICE; The Stereotypes";";";73zsRGfmYku7sgu3U3jZ14
The Feels (YVES V Remix);";";"TWICE; Yves V";";";4nWP1IKQ9jqSyRg1kFel5D
The Feels (Benny Benassi Remix Extended);";";"TWICE; Benny Benassi";";";1o3AJ01YUgUzVipUqv2kvS
The Feels (The Stereotypes Remix – Instrumental);";";"TWICE; The Stereotypes";";";3DYUD0yr69VQLF6R1z2MCz
The Feels (YVES V Remix – Instrumental);";";"TWICE; Yves V";";";50SUcnyvMgnUaKXtpy68Mm
The Feels (Benny Benassi Remix – Instrumental);";";"TWICE; Benny Benassi";";";6a6N3DduAi8ER8ffG1Vmfr
Fanfare - Lee Hae Sol Remix;";";"TWICE; LEE HAE SOL";";";21LS7O1Vi5edoa97SXYzFL
Breakthrough - taalthechoi Remix;";";"TWICE; taalthechoi";";";2qM9XN5Wm4qqfjdfTGEK0Y
