Nome da Música;Artistas;ID da Música
Vacaciones;";";"Luis Fonsi; Manuel Turizo";";";467430y6SLd7RXLzBWivQv
Bésame;";";"Luis Fonsi; Myke Towers";";";1h4nRJO8PFNr5FCvzBh9WU
Vacío;";";"Luis Fonsi; Rauw Alejandro";";";4CRMu2yx3JUDMvyInFCvHo
Ley De Gravedad;";";"Luis Fonsi; Cali Y El Dandee";";";4jFu1y6fUzofT7d2KWdlgI
Perfecta;";";"Luis Fonsi; Farruko";";";6gd3D4PznXCz4ACjQC8YSO
Perfecta - Remix;";";"Luis Fonsi; Farruko; Dalex; Juanka";";";1cl3eNwdAP63pg7hBbpkj3
Date La Vuelta;";";"Luis Fonsi; Sebastian Yatra; Nicky Jam";";";39UezYlokZR9m329OJg89L
Imposible;";";"Luis Fonsi; Ozuna";";";4cuGZb0iFyHtwaSKdKrJkF
Échame La Culpa;";";"Luis Fonsi; Demi Lovato";";";0mlAOSILGRys2IbvyOT5VJ
Despacito;";";"Luis Fonsi; Daddy Yankee";";";6habFhsOp2NvshLv26DqMb
Calypso;";";"Luis Fonsi; Stefflon Don";";";2u7tDWQ6LX0Kw1LiK1jaok
Despacito - Remix;";";"Luis Fonsi; Daddy Yankee; Justin Bieber";";";1vnnXMrBeEWiRg3YCMCjQq
Calypso - Remix;";";"Luis Fonsi; KAROL G; Andrés Torres; Mauricio Rengifo";";";2QF0IIqJXHaxe5IJ8LFBDc
Todo Vuelve A Empezar;";";"Luis Fonsi; Laura Pausini";";";3pTD5QCNu6oe30VEJnP99W
Aqui Estoy Yo;";";"Luis Fonsi; Aleks Syntek; Noel Schajris; David Bisbal";";";5VVAQ1NAH1vFAoQ3PfXqtr
Llegaste Tú;";";"Luis Fonsi; Juan Luis Guerra 4.40";";";0irzO7t1m3M7U3lSSzR8Y7
Llegaste Tú;";";"Luis Fonsi; Juan Luis Guerra 4.40";";";609SDGj0txmlAXRrpwee9Y
Todo Vuelve A Empezar;";";"Luis Fonsi; Laura Pausini";";";0RUhKEueoRiGpfl6ZWlPBn
Aqui Estoy Yo;";";"Luis Fonsi; Aleks Syntek; Noel Schajris; David Bisbal";";";3JXtySMy3RFjj0BAcIlpVp
Todo Vuelve A Empezar;";";"Luis Fonsi; Laura Pausini";";";6Nl8Onopm90O6CHyuhvAXx
Aqui Estoy Yo;";";"Luis Fonsi; Aleks Syntek; Noel Schajris; David Bisbal";";";4go2M6us50x9TQ1NvsB4vt
No Me Doy Por Vencido - Urban Remix;";";"Luis Fonsi; M.J.";";";5fKQ3qVF8hMfLpijGKS9f9
No Me Doy Por Vencido - Banda Version;";";"Luis Fonsi; Germán Montero";";";17S27iyw3jK3A4FlybBybA
"La Fuerza De Mi Corazon - (Tema Principal de la Pelicula ""El Cid"")";";";"Luis Fonsi; Christina Valemi";";";1QTa6zNhAzzDWFa7CAVZ1m
Secret;";";"Luis Fonsi; Cutfather & Joe";";";3fGU6TsDYZJgq0uNOdoxxr
Siesta De Verano;";";"Luciano Pereyra; Luis Fonsi";";";3GOMOOME4uGHcU7nW4Q56w
Bora Bora;";";"Abraham Mateo; Luis Fonsi";";";0w49NuhCUPdJpzE3ClojSa
Que Sera Sera (Law Nebka Sawa) - Acoustic;";";"Hiba Tawaji; Luis Fonsi";";";2Lccbq36ppqWpolIOFiXaC
CORAZONES ROTOS;";";"Lola Indigo; Luis Fonsi";";";7r5QwyDzxyikU1Kbkfz6FM
Que Sera Sera (Law Nebka Sawa);";";"Hiba Tawaji; Luis Fonsi";";";7DwNsMz0MNNoHsKIZWjj73
Mi Héroe;";";"Antonio Orozco; Luis Fonsi";";";0udkxm3EjEP1IvZdIRETPr
Ley De Gravedad;";";"Luis Fonsi; Cali Y El Dandee";";";2vKbltUtfh6QxlnfPKZTda
Vacaciones;";";"Luis Fonsi; Manuel Turizo";";";5a1uP3YHcvb4XkucSQGC1c
Un Ratito;";";"Alok; Luis Fonsi; Lunay; Lenny Tavárez; Juliette";";";7m4EYPEEFkhI5aEsM5Tgo0
Vamos a Marte (feat. Luis Fonsi) - HBz Remix;";";"Helene Fischer; Luis Fonsi; HBz";";";5NOOTv7KEplMv4bXFfguUD
Vamos a Marte (feat. Luis Fonsi);";";"Helene Fischer; Luis Fonsi";";";4O62SYf9w4OHGYw6eunlEu
Vamos a Marte (feat. Luis Fonsi) - R3HAB Remix;";";"Helene Fischer; Luis Fonsi; R3HAB";";";6dZjjURSAhXm8IL2tBVXd0
Yo No Te Olvido;";";"Cali Y El Dandee; Luis Fonsi";";";0B1wfBxRDSUEYnzcyQYmyi
Vamos a Marte (feat. Luis Fonsi);";";"Helene Fischer; Luis Fonsi";";";06sSAsjNx4eJawyXY3SXgB
Vamos a Marte (feat. Luis Fonsi) - Bachata Version;";";"Helene Fischer; Luis Fonsi";";";7odEki4Kni4YsXqF9UVal2
Pues - All That MTRS Remix;";";"R3HAB; Luis Fonsi; Sean Paul; All That MTRS";";";5WFxHeKtOmFxruKZ7QZ7Ha
Dos Veces;";";"David Bisbal; Luis Fonsi";";";1OBAWijV9qQIBu5fCHRomS
Bésame;";";"Luis Fonsi; Myke Towers";";";1ESyXyXxZmII2sXhMVpk9D
La Puerta;";";"Carlos Arroyo; Luis Fonsi";";";3ritAec8exuTv20Ivs77bD
Pues (with Luis Fonsi & Sean Paul);";";"R3HAB; Luis Fonsi; Sean Paul";";";0H4olUjRf0vXXuQkpKnJmr
Vacío;";";"Luis Fonsi; Rauw Alejandro";";";4KnLltd5UNz4c085UAr5dR
Por Isso Que Eu Bebo;";";"Luis Fonsi; Zé Neto & Cristiano; Thyy";";";2EZjUyQxIWTdA10yrSNCYG
Despacito & Échame La Culpa;";";"Helene Fischer; Luis Fonsi";";";1XzMEKepbBLd0pnWMmPUMJ
Vida Loca;";";"Raphael; Luis Fonsi";";";7jZabXalFYPQ6gQwMGVyLV
The World Can Wait - Bolier Remix;";";"Paul Oakenfold; Luis Fonsi; Bolier";";";3O3Ot94SrNliStoiaZZOm8
The World Can Wait - Bolier Club Mix;";";"Paul Oakenfold; Luis Fonsi; Bolier";";";28xkQSaedZkBYpsFn5AMjk
Perfecta;";";"Luis Fonsi; Farruko";";";6QM3YNDJWPdfHVfbZ2kHvq
La Mentirosa;";";"Luis Fonsi; Paty Cantú";";";68hegTIG5Ip5uq04mmmOjl
The World Can Wait - Oakenfold / Kilanova Mix;";";"Paul Oakenfold; Luis Fonsi; Kilanova";";";5C2mvlxtnqJ7zxjXtfYVKJ
The World Can Wait - John Askew Downtempo Mix;";";"Paul Oakenfold; Luis Fonsi; John Askew";";";7keP0gChX9YkmigBEKw5WG
The World Can Wait - Blklght House Mix Edit;";";"Paul Oakenfold; Luis Fonsi; blklght";";";2Mkat7lSATcJHEcJpFAMLG
The World Can Wait - Blklght House Mix;";";"Paul Oakenfold; Luis Fonsi; blklght";";";5a9qDLsQbTLA1SROnyMLq1
The World Can Wait - Rafael Osmo X Spectral Trance Mix Edit;";";"Paul Oakenfold; Luis Fonsi; Rafael Osmo; Spectral";";";6ydBxPe0qw6tbIjp59jJbi
The World Can Wait - Rafael Osmo X Spectral Trance Mix;";";"Paul Oakenfold; Luis Fonsi; Rafael Osmo; Spectral";";";75D44vpFO1ODNXH8H2XsO4
The World Can Wait;";";"Paul Oakenfold; Luis Fonsi";";";1QejH8ORbZv2bimBkfyQWm
16;";";"KURT; Luis Fonsi";";";5zWSaiDDOymHxLAZRkMdKw
Pa' Lante;";";"Alex Sensation; Anitta; Luis Fonsi";";";24wIxeVejXRhYJPrOFpJbg
Date La Vuelta;";";"Luis Fonsi; Sebastian Yatra; Nicky Jam";";";5lwVd35Zg6DJ4qibVMq99H
Party Animal;";";"Charly Black; Luis Fonsi";";";5vc9YsAEBWbRVvgKUcA5vs
Despacito - Versión Banda;";";"Luis Fonsi; Banda Clave Nueva; Andrés Torres; Mauricio Rengifo";";";6Jae8hBrJg4faL8xj7EGhL
Kissing Strangers - Remix;";";"DNCE; Luis Fonsi; Nicki Minaj";";";3fyDvrWXYR9PGPDa7rYAMl
Despacito - Versión Portugués;";";"Luis Fonsi; Israel Novaes";";";5jEGiyCurKxTwALwgf8FHj
Despacito - Versión Urbana/Sky;";";"Luis Fonsi; Daddy Yankee; Alejandro Ramírez Suárez";";";6f495WLfb5cQQDcGiCTZ3d
Despacito - Major Lazer & MOSKA Remix;";";"Luis Fonsi; Daddy Yankee; Major Lazer; MOSKA";";";2soXzaiEWhHzUCnSi94jTv
Despacito - Remix;";";"Luis Fonsi; Daddy Yankee; Justin Bieber";";";6rPO02ozF3bM7NnOV4h6s2
Despacito - Versión Salsa;";";"Luis Fonsi; Víctor Manuelle; Victor M. Ruiz";";";5aPZ8WDKgtij3zbknGFnhC
Despacito;";";"Luis Fonsi; Andrés Torres; Mauricio Rengifo";";";36NOKjPLZVSqVJSC7iOHIm
Despacito (Featuring Daddy Yankee);";";"Luis Fonsi; Daddy Yankee";";";7CUYHcu0RnbOnMz4RuN07w
