Nome da Música;Artistas;ID da Música
Wherever You Go;";";"Jonas Blue; Jessie Reyez; Juan Magán";";";4H0iUwnJaY9Ev07IP6DW5j
Perfect Strangers;";";"Jonas Blue; JP Cooper";";";3P3pw6C19j31Rnzgo3JG7o
Rise;";";"Jonas Blue; Jack & Jack";";";5ZSl6gDoV6bPPxzmLeneV9
Mama;";";"Jonas Blue; William Singe";";";7jEyX4bqaCSdMN4D4JNnVj
Fast Car;";";"Jonas Blue; Dakota";";";1SN1vSPsr4V4tIUTR3s8YW
By Your Side;";";"Jonas Blue; RAYE";";";4QTuyRQshEZYurtIDfE6g0
Purpose;";";"Jonas Blue; Era Istrefi";";";6APLWNdNt72jjkLfB1dYey
Polaroid;";";"Jonas Blue; Liam Payne; Lennon Stella";";";49COPp81lGS9Hl9OwKlsKl
Wild;";";"Jonas Blue; Chelcee Grimes; TINI; Jhayco";";";1kEc9ep3rFqhwG4OlqbjLH
Desperate;";";"Jonas Blue; Nina Nesbitt";";";4nfuvV34THjGorJHAiijkw
I See Love;";";"Jonas Blue; Joe Jonas";";";0Ffmo50Ce6QpMDcHyFCtKL
Drink To You;";";"Jonas Blue; Zak Abel";";";3FCCxdjUyPVLUrpCL2VUwC
Come Through;";";"Jonas Blue; Kaskade; Olivia Noelle";";";2so1nPxGyQRG9pUH1d09zS
Supernova;";";"Jonas Blue; Charlotte OC; Dark Heart";";";2WiyIbpBw4OoxqA9AEUHfZ
We Could Go Back;";";"Jonas Blue; Moelogo";";";6tgSxgv4moPC3XvX11SKhs
Past Life - Clean Bandit Remix;";";"Felix Jaehn; Jonas Blue; Clean Bandit";";";7LUi7VNFBQpsJBfNY6iQ52
Past Life;";";"Felix Jaehn; Jonas Blue";";";4yc0wKwKXGkx9Vqc42MIFy
Fade - Jonas Blue Vocal Mix;";";"Solu Music; Jonas Blue; KimBlee";";";6Q1v4ZvXui7kMfBLzr9Vca
Fade - Jonas Blue Club Mix;";";"Solu Music; Jonas Blue; KimBlee";";";2leUrhqSy67edx2EvubBQY
All You Need Is Love - Festival Edit;";";"Nicky Romero; Jonas Blue; Nico Santos";";";0AqAKmVp6TnSO6lRJQhREU
All You Need Is Love;";";"Nicky Romero; Jonas Blue; Nico Santos";";";5lnbYbM5CzT5Ofy6ENWDCY
Don't Give Up - Jonas Blue Remix;";";"Zoe Wees; Jonas Blue";";";4k1fuzOlu1vQEYG5muVP94
Crying On The Dancefloor;";";"Sam Feldt; Jonas Blue; Endless Summer; Violet Days";";";7jjweipjiTqJIhmgQJ3jOE
Crying On The Dancefloor (feat. Endless Summer & Violet Days) - R3HAB Remix;";";"Sam Feldt; Jonas Blue; R3HAB; Endless Summer; Violet Days";";";6eE9HY9Rfl1ygYEmIQ2F8Z
Crying On The Dancefloor (feat. Endless Summer & Violet Days) - Dzeko Remix;";";"Sam Feldt; Jonas Blue; Dzeko; Endless Summer; Violet Days";";";0Bv6M5rDhHzhe1HILrfxyn
All You Need Is Love;";";"Nicky Romero; Jonas Blue; Nico Santos";";";5yPEJ4UF90Km4KmLl2h4EE
Crying On The Dancefloor (feat. Endless Summer & Violet Days) - R3HAB Remix;";";"Sam Feldt; Jonas Blue; R3HAB; Endless Summer; Violet Days";";";5opOYIajwZgTBwzce89Xlg
Finally - Endless Summer & Wave Wave Remix;";";"Jonas Blue; RANI; Endless Summer; Wave Wave";";";05QQGz1FdxSUxVme8Z7Lca
Finally;";";"Jonas Blue; RANI";";";2mnDeTCQoIEQx6T9hoyKj4
Finally;";";"Jonas Blue; RANI";";";0PZpE9CYvOLt0wRZeOY5fV
Crying On The Dancefloor;";";"Sam Feldt; Jonas Blue; Endless Summer; Violet Days";";";09rAJ1Q1NNJSaUKEW3X9P6
Weekends - Anton Powers Remix;";";"Jonas Blue; Felix Jaehn; Anton Powers";";";4UZdBD1QaGiaxJLnWOkfR1
