Nome da Música;Artistas;ID da Música
Pompeii MMXXIII;";";"Bastille; Hans Zimmer";";";16QSy73FOOYlXHMH94JLeb
No Angels;";";"Bastille; Ella Eyre";";";1pRYM4pRLkBxojE8s5hnNt
Dreams;";";"Bastille; Gabrielle Aplin";";";6drdkvwAimbzJYhS2LAOmD
Promises;";";"Bastille; Riz Ahmed";";";207DN8K887LBn0i8IrKosC
Future Holds;";";"Bastille; BIM";";";4sKUb7iNnxRrMgohjOqXrn
Run Into Trouble;";";"Alok; Bastille";";";3MRaaKcDRNXfDt5jqvtNCx
Eight Hours;";";"Bastille; Tyde";";";5rO5unCSIjPlKdwNxroqcx
Promises;";";"Bastille; Riz Ahmed";";";2leszxYOXkeMvKfhoaxkov
Future Holds;";";"Bastille; BIM";";";62DtrQZfswdop0qQzR2URv
Shut Off The Lights - SPINALL Remix;";";"Bastille; SPINALL";";";0RjfIqVadV8DAXGoAqJ1ze
Promises;";";"Bastille; Riz Ahmed";";";0m6FmGtZb98rHx3OGl9liS
Future Holds;";";"Bastille; BIM";";";1WWusJpS7WI6bP7hX490GV
Another Place;";";"Bastille; The Chamber Orchestra Of London";";";5JovQzN887XlkVlpjkudIf
Million Pieces;";";"Bastille; The Chamber Orchestra Of London";";";75cBWwcUdfzQfoj4d16IPP
Another Place;";";"Bastille; Alessia Cara";";";74hG58LlCTP1soPs55Rn3G
Can’t Fight This Feeling;";";"Bastille; London Contemporary Orchestra";";";2Q51iNcSFrqeta1MiyqCWg
Wild World - Intro;";";"Other People's Heartache; Bastille; Kianja";";";1O7vJOWNqVEjOsC53IX9S8
Would I Lie To You?;";";"Other People's Heartache; Bastille; Kianja; S-X; Craig David";";";4306JhzO4iTpcjlssseJa0
Grip;";";"Seeb; Bastille";";";72LdECwKyf3kGV1pd9HxS7
Don't Let Go (Love);";";"Other People's Heartache; Bastille; Craig David; Kianja; Swarmz";";";4APBr4oqr0WmfOU4BNwgTq
Flowers;";";"Other People's Heartache; Bastille; Rationale; James Arthur";";";2th0MaBWUzm4fgXrKSx7xL
The Descent;";";"Other People's Heartache; Bastille; Lily Moore; Moss Kena; Jacob Banks";";";54bqtn4yFAPD9OoIecweDA
Warmth - Outro;";";"Other People's Heartache; Bastille; Moss Kena";";";41LPNdZSw4hyZm1ZUVZfTu
Fall Into Your Arms (Bastille Vs. The Gemma Sharples Quartet);";";"Bastille; The Gemma Sharples Quartet";";";1d96zwfSzXlwXMYjYPPkbe
Bite Down (Bastille Vs. HAIM);";";"Bastille; HAIM";";";5FE8wW6YIKHFtSlbGLhYKB
bad_news (Bastille Vs. MNEK);";";"Bastille; MNEK";";";0dduFugL8TwB6Rsw52xysY
Axe To Grind (Bastille Vs. Tyde Vs. Rationale);";";"Bastille; Tyde; Rationale";";";7FfBkhA4t02XW0dB8yhfLI
Torn Apart (Bastille Vs. GRADES);";";"Bastille; GRADES";";";6aG4HwledcA0bMC43LTXjS
Torn Apart, Pt II (Bastille Vs. GRADES Vs. Lizzo);";";"Bastille; GRADES; Lizzo";";";6Gy30w4ebJg02BjLdULdNm
Weapon (Bastille Vs. Angel Haze Vs. F*U*G*Z Vs. Braque);";";"Bastille; Angel Haze; F*U*G*Z; Braque";";";1hBHOxVFu2TxIKw0mgxanX
Remains (Bastille Vs. Rag’N’Bone Man Vs. Skunk Anansie);";";"Bastille; Rag'n'Bone Man; Skunk Anansie";";";6G43t8BCjmJyPGwNrAAPPV
Pompeii MMXXIII - Instrumental;";";"Bastille; Hans Zimmer";";";3WBWeLyiqMfUHq5HzT99GQ
Pompeii MMXXIII;";";"Bastille; Hans Zimmer";";";3bD4CnWZvOoWcXfgIoGumR
Liar Liar (Feat. Bastille) - Acoustic;";";"Dylan; Bastille";";";5eDyREacOZ3ZqEBuTTyY9w
Liar Liar (Feat. Bastille);";";"Dylan; Bastille";";";6DKOg6giLDYNgwvEaSjg2A
Pompeii MMXXIII;";";"Bastille; Hans Zimmer";";";2jp9d2rVViwwpfHDhWps2v
Liar Liar (Feat. Bastille);";";"Dylan; Bastille";";";3CGAtMSboRN65Jo4wb3eOH
No Angels;";";"Bastille; Ella Eyre";";";0rILJVRD7waDGOFzoyruI2
Happier - Slowed + Reverb;";";"Marshmello; Bastille";";";3aPsxMIfOgmLmQJvAaElKU
Happier - Sped Up;";";"Marshmello; Bastille";";";2as5BO0eobxm7Zvelm2nHN
Happier;";";"Marshmello; Bastille";";";7HXylOKA2lvYo272HzRVgd
Run Into Trouble - Jonas Blue Remix;";";"Alok; Bastille; Jonas Blue";";";7abXMexuLwxhGw2DVsNrfI
Run Into Trouble - Jonas Blue Dub Mix;";";"Alok; Bastille; Jonas Blue";";";2yUFLDHBMQrxFsVv3NUbWK
Run Into Trouble;";";"Alok; Bastille";";";5C2mUkFTs51bizl4LAaqRy
No Bad Days - High Contrast Remix;";";"Bastille; High Contrast";";";1YhFdVwf68AQCKn16KfJOr
Distorted Light Beam - CamelPhat Remix;";";"Bastille; CamelPhat";";";6erFzIjsG1crjeskc04Cz7
Million Pieces;";";"Bastille; The Chamber Orchestra Of London";";";0rQmVIIjqvEs2aZzN9q3P2
Another Place;";";"Bastille; The Chamber Orchestra Of London";";";3j4cO5K87PRzT4TJUBEZ6b
Goosebumps;";";"Bastille; Kenny Beats";";";4vaX8KIjBXs77lQJFU5BOu
WHAT YOU GONNA DO???;";";"Bastille; Graham Coxon";";";3wn4CmkuaVxIZ3KY76CHK5
WHAT YOU GONNA DO???;";";"Bastille; Graham Coxon";";";31brGBYDq5N15VxIn5juop
Can’t Fight This Feeling;";";"Bastille; London Contemporary Orchestra";";";6lYNtepnbJVzR0tAxj2lW7
Another Place;";";"Bastille; Alessia Cara";";";2Fn4gZI3MAeWTiv7cSVxZQ
Million Pieces - M-22 Remix;";";"Bastille; M-22";";";08rBIlTMXlF5uEHobZglxv
Grip - Alternative Version;";";"Seeb; Bastille";";";7yOv1YISwpujFFQm6blOts
Grip - Jay Pryor Remix;";";"Seeb; Bastille; Jay Pryor";";";0xARbGHzPT1o5t1sFlmyO2
Grip;";";"Seeb; Bastille";";";3gicyfiEVMGONgzygpWjNT
Happier - Jauz Remix;";";"Marshmello; Bastille; Jauz";";";2qGHBDnJD2fBNKXcbmsKP5
Happier - Svdden Death Remix;";";"Marshmello; Bastille; SVDDEN DEATH";";";6cWVxiANnm6WFJkzBeAJc8
Happier - West Coast Massive Remix;";";"Marshmello; Bastille; West Coast Massive";";";4Hm9NojTz4dt8u4sq22NtN
Happier - Matt Medved Remix;";";"Marshmello; Bastille; Matt Medved";";";1eYXx4Qw1FGCCJpUF9yUiW
Happier - Hikeii Remix;";";"Marshmello; Bastille; Hikeii";";";6oOV12zgvxNpy6Q8sIY54p
Happier - Tim Gunter Remix;";";"Marshmello; Bastille; Tim Gunter";";";6frSWHdMin0F4Abc5TInPR
Happier - Frank Walker Remix;";";"Marshmello; Bastille; Frank Walker";";";2aoXRKTYEA4r34eQ5WkD1D
Happier - Breathe Carolina Remix;";";"Marshmello; Bastille; Breathe Carolina";";";0OS7LTXYSyBXF79IIlgGE7
Happier - SPENCE Remix;";";"Marshmello; Bastille; Spence";";";6uZenBTCu2OjQtjVsexTvT
Happier - Blanke Remix;";";"Marshmello; Bastille; Blanke";";";0M9bGQhE2qBek4EZEMp0eR
Happier - Stripped;";";"Marshmello; Bastille";";";0Gz1nOeTeNoMnKzb9vflds
Happier;";";"Marshmello; Bastille";";";7BqHUALzNBTanL6OvsqmC1
Send Them Off! - Skream Remix Radio Edit;";";"Bastille; Skream";";";3VSxmYxdVbZSsWwQxNret6
Send Them Off! - Mike Mago Remix;";";"Bastille; Mike Mago";";";6LvS5pupjrVW111BXx48jw
Send Them Off! - Tiësto Remix;";";"Bastille; Tiësto";";";2XL5T26riZ58TttN5aYeX6
Send Them Off! - Whethan Remix;";";"Bastille; Whethan";";";041kWBRgMmVPjx9NWso59c
Send Them Off! - The Wild Remix;";";"Bastille; The Wild";";";6JUSnQe4bkMTFWdC2QiU9f
Good Grief - MK Remix;";";"Bastille; MK";";";1WMjAPhU2wJbiMxiPcRQ1I
Good Grief - Autograf Remix;";";"Bastille; Autograf";";";1djmxXkYqjTkkchDHDBzVH
Good Grief - Don Diablo Remix;";";"Bastille; Don Diablo";";";5dSFlPDHjAuYU1apyrRgqV
Bite Down (Bastille Vs. HAIM);";";"Bastille; HAIM";";";47hFMVZmc9ZJqpvMbl8ROm
Torn Apart (Bastille vs. GRADES);";";"Bastille; GRADES";";";0O39c8L7E59Nqxp0FEE8a3
Pompeii - Audien Remix;";";"Bastille; Audien";";";2Kl1E3NdbzT7vVi93TffoX
Pompeii - Tyde Remix;";";"Bastille; Kyle Simmons; Nicholas Mills";";";7dPPRcXezYGOTxiuKFz91c
Pompeii - Monsieur Adi Remix;";";"Bastille; Monsieur Adi";";";6bkcesClFimNB8swvKCP3B
Pompeii - Remix;";";"Bastille; Kat Krazy";";";4T06EFJ7j9cXv0Uwo54Obf
Thinkin Bout You;";";"Bastille; O.N.E.";";";0qkFOWoAb4UbXubXNCQXij
Laura Palmer - RAC Mix;";";"Bastille; RAC";";";2XJhKhJsykFbiJQvnfJ1Y0
Laura Palmer - Imagine Dragons Remix;";";"Bastille; Imagine Dragons";";";6KBKrmIJvGscuhr6ftk1Bx
Laura Palmer - Kat Krazy Remix;";";"Bastille; Kat Krazy";";";3TPuiaJ559Y9dDfUs6pjQg
Things We Lost In The Fire - TORN Remix;";";"Bastille; Jonas Törn";";";2cjDJvFRf1on1R18qvwx3O
Things We Lost In The Fire - Tyde Remix;";";"Bastille; Tyde";";";2T9p2Ju4O7AF6vDHjAG3na
Things We Lost In The Fire - beGun Remix;";";"Bastille; beGun";";";3O8MdbjdDIqTniyfSsqAIk
Overjoyed - Yeasayer Remix;";";"Bastille; Yeasayer";";";6uSPKtnkubj3RrxDXcykeB
Overjoyed - Distance Remix;";";"Bastille; Distance";";";3aGWPrNUiTAiIEi9gDHBM3
Overjoyed - Ghostwriter Remix;";";"Bastille; Ghostwriter";";";3RU0SgB3kFabwU0NEvnsct
Overjoyed - Detour City Redux;";";"Bastille; Detour City; Jamie Kossoff; Tabitha Benjamin; Jason Boshoff";";";65In2beRdUoxJcvqSCacE4
