Nome da Música;Artistas;ID da Música
Me Ame Mais;";";"Jorge & Mateus; Marília Mendonça";";";4iavXH4dDUMA8yAabnUhSI
Não Sai Da Minha Vida - Ao Vivo;";";"Jorge & Mateus; Alexandre Peixe";";";07rQ8lzvuSQCb7mShL9zLB
Esses Caras São Ligeiro - Ao Vivo;";";"Felipe Araújo; Jorge & Mateus";";";5ZK7aSCekvak07cMqnP8Re
Porta Retrato - Ao Vivo;";";"Vitor Kley; Jorge & Mateus";";";1oD99mJi7R3Ky4AmFrZCVu
Só Eu Sei - Ao Vivo;";";"Maestro Pinocchio; Jorge & Mateus";";";2jrR6JRAUZ9oMBvVze1Br5
Abuso de Poder - Ao Vivo;";";"Henrique Casttro; Jorge & Mateus";";";4CyjorlRyCfb4BdBa3DrmP
Flor De Plástico - Ao Vivo;";";"Fred & Fabrício; Jorge & Mateus";";";5xYuWPGh6labQb6QLOatcO
Tempo Ao Tempo;";";"Cristiano Araújo; Jorge & Mateus";";";1xYEn7AJr4AlTuqXMzUUUe
Perdoou Nada - Ao Vivo;";";"Israel & Rodolffo; Jorge & Mateus";";";4r2O8NHomHiJnFKqhYnqy1
Pactos - Ao Vivo;";";"Matheus & Kauan; Jorge & Mateus";";";2M4kQD87lKnAS9vFlb4Bez
Não é o Fim do Mundo (Ao Vivo);";";"Zé Felipe & Miguel; Jorge & Mateus";";";4J0EuoLoM3LCBtt3e4Ht11
Frio da Madrugada - Ao Vivo;";";"Rionegro & Solimões; Jorge & Mateus";";";2MjWC17VDEdgwbK3uMr6Z1
Beijo de Glicose - Ao Vivo;";";"Diego & Victor Hugo; Jorge & Mateus";";";6gyhp7IcNhTYzwlk8utsgP
Água nos Zói (Funk Remix);";";"DJ Lucas Beat; Clayton & Romário; Jorge & Mateus";";";74Wlh9uWLrEQzq0k5M5oJW
Meu Número - Ao Vivo;";";"Hugo & Guilherme; Jorge & Mateus";";";2y6p6FC8Og2CO2CTccjfYB
Saudade de Ex - Ao Vivo;";";"Rionegro & Solimões; Jorge & Mateus";";";5ulngQFTHBe6Ds0AJUYhJA
Nem Balancei - Ao Vivo;";";"Pedro Libe; Jorge & Mateus";";";6jZjXkbC9Gc3bDIibZB5xG
A Mesma Aliança - Ao Vivo;";";"Raça Negra; Jorge & Mateus";";";1x89HRrzUVkGWNwgytnWrS
Pódio;";";"Dilsinho; Jorge & Mateus";";";4nzYO2gblduWhKhjmVZk1O
Água Nos Zói - Ao Vivo;";";"Clayton & Romário; Jorge & Mateus";";";77rIMl1WIrLf4ZDKFYZ4ji
Geleira do tempo;";";"ANAVITÓRIA; Jorge & Mateus";";";4ziqkaBXfo4GrmuF0gsNyi
Bom Rapaz (Ao Vivo) - Remix;";";"Fernando & Sorocaba; Jorge & Mateus; JAMM’";";";1HHrFRCiZ6w6mxyw2jS7hY
Surto De Amor - Ao Vivo Em Uberlândia / 2018;";";"Bruno & Marrone; Jorge & Mateus";";";4N0I8lmbLPmH8qdlFIjuOU
Sofazinho - Ao Vivo;";";"Luan Santana; Jorge & Mateus";";";1E3ARdOxnpVvqcCO51hFw6
Deixa Eu Voar;";";"George Henrique & Rodrigo; Jorge & Mateus";";";5ETa4ydg2MxOB1y4MwVCMk
