Nome da Música;Artistas;ID da Música
Role Call;";";"Tory Lanez; A Boogie Wit da Hoodie";";";0UOffJQUV0dFB5SMEJ0rwV
Collection;";";"Tory Lanez; Yoko Gold";";";7nNnJFyjTQbdVxPT3kPS3U
Pink Dolphin Sunset (feat. Tee);";";"Tory Lanez; Tee";";";6GGmABM6AMwMzEhK7szqJT
Feels (feat. Chris Brown);";";"Tory Lanez; Chris Brown";";";7D60mvrq5guYFUbt84FeVk
Shooby Doowoop//One Last Heartbreak (feat. Nyce);";";"Tory Lanez; Nyce";";";63rfGO21be5KTE1e5gcoqm
No Service (feat. Swae Lee);";";"Tory Lanez; Swae Lee";";";55PqN7ziXsU2sho711UBGP
My Time To Shine (feat. 42 Dugg);";";"Tory Lanez; 42 Dugg";";";6eTHFnZyUc2dnkGLdm7UJ1
Big Tipper (feat. Melii, Lil Wayne);";";"Tory Lanez; Melii; Lil Wayne";";";0a8r445oJPuj8IGl8Unrvw
Boink Boink (feat. Rich The Kid, VV$ Ken);";";"Tory Lanez; Rich The Kid; VV$ KEN";";";6gyZlDzJx2Q3rEdEqZ4woi
Shameless (feat. Tyga);";";"Tory Lanez; Tyga";";";3SKSXIpgqCD5pqplOwBVau
1 Hitter (feat. VV$ Ken);";";"Tory Lanez; VV$ KEN";";";67A56lo83Qs4abimk5qUHI
Sorry But I Had To...;";";"Tory Lanez; Yoko Gold";";";4pcHqKIYOePHKFjIzoMd8F
Life;";";"Tory Lanez; Yoko Gold";";";3CwmPHQfUHUh3o6Defk9u4
10 F*CKS (with Mansa);";";"Tory Lanez; Mansa";";";7DHNcoR73yUYCSn6PqBgkH
Accidents Happen (with Lil Tjay);";";"Tory Lanez; Lil Tjay";";";26nWw7LWlId9myIxHMHXmm
The Trade (feat. Jagged Edge & Jermaine Dupri);";";"Tory Lanez; Jagged Edge; Jermaine Dupri";";";1nwsxV3FiYC3SJD9OfcVfF
Jerry Sprunger (with T-Pain);";";"Tory Lanez; T-Pain";";";6JsHgIkMYHcbNtKfsal2Mg
Beauty In The Benz (feat. Snoop Dogg);";";"Tory Lanez; Snoop Dogg";";";0BpYTh0O2ut5wvt0QtDGt4
The Take (feat. Chris Brown);";";"Tory Lanez; Chris Brown";";";0Odu228D0yGcFySGuxU4rY
The Fargo Splash (feat. Ludacris);";";"Tory Lanez; Ludacris";";";0PKek4Dx6rgpvQZkL6VqKL
Luv Ya Gyal // Love Sounds (feat. The-Dream);";";"Tory Lanez; The-Dream";";";5SeX6wQeUsYKNnuQno9slB
Best Of You (feat. Mýa) // Busted - SKIT;";";"Tory Lanez; Mýa";";";1q7Szyq0lzE8P93aYW5Wvg
The Cry (feat. Mario);";";"Tory Lanez; Mario";";";1Rzovgi43GJlRDhnsR900U
Still Waiting (feat. Trey Songz);";";"Tory Lanez; Trey Songz";";";5rPhugY1JSJCJWIRiniDta
A Fools Tale (Running Back) (feat. Ashanti);";";"Tory Lanez; Ashanti";";";4vr7q1NPXQhPysvuRkN91L
Thoughts (feat. Lloyd & Lil Wayne);";";"Tory Lanez; Lloyd; Lil Wayne";";";1kWAhf2TJPkpiSgTnp8Ure
