Nome da Música;Artistas;ID da Música
Lil Bit - FGL Remix;";";"Nelly; Florida Georgia Line";";";3Pa8Wvsv9jRMPxjClsDPAd
Lil Bit - FGL Remix;";";"Nelly; Florida Georgia Line";";";6iow3h0gkdJ3lJq2Zf9WRQ
This Is How We Roll - Acoustic;";";"Florida Georgia Line; Luke Bryan";";";5rE7FsXU9BxrKBzS19V1CH
May We All - Acoustic;";";"Florida Georgia Line; Tim McGraw";";";58zWN3BNikOH7zVP6QGBZp
God, Your Mama, And Me - Acoustic;";";"Florida Georgia Line; Backstreet Boys";";";1N6vavnhBs9VzsSeDr9cYw
Meant To Be - Acoustic;";";"Florida Georgia Line; Bebe Rexha";";";4x4YYSx3fdhM5tSmDCcJY0
Tyler Got Him A Tesla - Skit;";";"Florida Georgia Line; Brother Jervel";";";08qPrqMvFQfcvyGHdkH1UN
All Gas No Brakes - Skit;";";"Florida Georgia Line; Brother Jervel";";";4kU4mk9V1wMjxroJzyWAHv
Women;";";"Florida Georgia Line; Jason Derulo";";";5UYFqUJBBVgpGqdONKbH3t
Sack’a Puppies - Skit;";";"Florida Georgia Line; Brother Jervel";";";20kIz84ivvDt8LTJu6MSyN
Y’all Boys;";";"Florida Georgia Line; HARDY";";";1NJnv7vvUZ5xM1DIWbngmN
Catfish Nuggets - Skit;";";"Florida Georgia Line; Brother Jervel";";";4QvS0vp9g5qoGl4aupY2iR
Can’t Hide Red;";";"Florida Georgia Line; Jason Aldean";";";2h8szyWmfavIbiWm0KWpB0
Life Is A Honeymoon;";";"Florida Georgia Line; Ziggy Marley";";";67tasguLElvxPOZXkwcAIF
May We All;";";"Florida Georgia Line; Tim McGraw";";";498ZVInMGDkmmNVpSWqHiZ
God, Your Mama, And Me;";";"Florida Georgia Line; Backstreet Boys";";";4VFE6ZNqa8jHAmbYICoAFg
Dayum, Baby;";";"Florida Georgia Line; Sarah Buxton";";";0XblCWlPmX28b5ogi7OJpr
Party People;";";"Florida Georgia Line; Jaren Johnston";";";2JeutlmgaRhJRZKGGIYXSg
This Is How We Roll;";";"Florida Georgia Line; Luke Bryan";";";2iT8p5HHGZoIgFME97V1fd
Cruise - Remix;";";"Florida Georgia Line; Nelly";";";3aBTEUCtLVaHxt1WxbsoXO
Dayum, Baby;";";"Florida Georgia Line; Sarah Buxton";";";64JFEHsQzd2fK4ZicZiOYU
Party People;";";"Florida Georgia Line; Jaren Johnston";";";2lc6qDjqFnAfhE4b1ANcQw
Cruise - Remix;";";"Florida Georgia Line; Nelly";";";4opYJh1PsZaf7FSYyKc3WD
Lil Bit - FGL Remix;";";"Nelly; Florida Georgia Line";";";16jFZj0KgbEFisxfkACbJk
Drinkin’ Beer. Talkin’ God. Amen. (feat. Florida Georgia Line);";";"Chase Rice; Florida Georgia Line";";";5XmOltvJlYIXsQEiqGFYjh
Lil Bit;";";"Nelly; Florida Georgia Line";";";0NmuYnjETG3u3qx0OmEJev
Fight (feat. Florida Georgia Line);";";"Tayla Parx; Florida Georgia Line";";";7A6UIxi15awyiEbYbMF06V
Can’t Hide Red;";";"Florida Georgia Line; Jason Aldean";";";1owAc7B3hoCvn2GXHMUHPJ
Y’all Boys;";";"Florida Georgia Line; HARDY";";";7BgJrMEAiwiw6lCqWZD6Pi
Women;";";"Florida Georgia Line; Jason Derulo";";";0RO3tjH2cfyoGHLynijFcc
Meant To Be - Live From CMA Fest 2018;";";"Florida Georgia Line; Bebe Rexha";";";4ExaNKaycGTnRrBlaz69fq
This Is How We Roll - Remix;";";"Florida Georgia Line; Jason Derulo; Luke Bryan";";";3Hs4ytyLFzB2HKk2ZSohko
Cruise - Remix;";";"Florida Georgia Line; Nelly";";";2z8OXShNGUgRitHyO3GuYG
