Nome da Música;Artistas;ID da Música
Even Better Than The Real Thing - The Perfecto Mix / Remastered 2021;";";"U2; Paul Oakenfold";";";34SY7y2uKDU5xWVEP5VnHU
One - Apollo 440 Remix / Remastered 2021;";";"U2; Apollo 440";";";5BU3OVVnVP1uPDBsio127d
Even Better Than The Real Thing - Trance Mix / Remastered 2021;";";"U2; Paul Oakenfold";";";3ovlt7c12FKhnhXnz4LYHM
Numb - Gimme Some More Dignity Mix / Remastered 2021;";";"U2; Rollo; Rob D";";";7kmlTfvwAnHpKGhFSyhgEa
Numb - Soul Assassins Mix / Remastered 2021;";";"U2; The Soul Assassins";";";0MyKCbS2HWpP1okKG7GDHT
Even Better Than The Real Thing - Apollo 440 Stealth Sonic Remix / Remastered 2021;";";"U2; Apollo 440";";";0LbcVmVBL6Y5u3UmTz0jwz
Even Better Than The Real Thing - Fish Out Of Water Remix / Remastered 2021;";";"U2; Declan Gaffney; Matt Paul";";";2uJzaWYgNE8Rcos9zz1yMM
Elevation - Paul Van Dyk Remix;";";"U2; Paul van Dyk";";";7JsJ5OQ1xqbNTSqbQ2sz5J
Elevation - Influx Remix;";";"U2; Leo Pearson";";";75bWHO7kTYw7rbGcV3gwQg
New York - Carnegie's Deli Remix;";";"U2; The Black Dog";";";24DQQOV5cmXRHWU9OEEtSx
New York - Superman Kicks Ativan Remix;";";"U2; The Black Dog";";";6IFwaQH2CP9VjQgX8A4tcb
Beautiful Day - Quincey & Sonance Remix;";";"U2; Quincey; Sonance";";";7oU0RSFbwVVHpixH1qkKiN
Beautiful Day - The Perfecto Mix;";";"U2; Paul Oakenfold; Andy Gray";";";0aFCQfsasi12H0bSBF0tJN
In A Little While - Nightmares On Wax Remix;";";"U2; Nightmares On Wax";";";5iPtAD6SRzG0JY19om1urY
Walk On - Wyclef Jean Remix;";";"U2; Wyclef Jean";";";7jlukSzg30A38dZxrPF7Q4
When I Look At The World - Picante Remix;";";"U2; Chris Heaney";";";10uopOePpbazZ43HcUxHuU
Elevation - Escalation Mix;";";"U2; Jon Carter";";";0SQSfUnjtnxQ0VHkhK9y6i
You’re The Best Thing About Me - U2 Vs. Kygo;";";"U2; Kygo";";";4QWSk7Ynu34r3EOHSwp9nI
The Troubles;";";"U2; Lykke Li";";";2djBFFaafredmGix2Z5TBY
The Troubles;";";"U2; Lykke Li";";";6Y5gGZ0EmnixJ65KA6RaJl
Miss Sarajevo;";";"Passengers; Luciano Pavarotti";";";3useCqKDNsTf0Zo8Eav8iP
Ito Okashi;";";"Passengers; Holi";";";5bsMR0nuaoMikGB9uhPg0o
Elvis Ate America;";";"Passengers; Howie B.";";";1uew1YilJyFps7mIMazevJ
The Wanderer;";";"U2; The Edge; Johnny Cash";";";4163s5AIcfezLq6kpncyvB
Even Better Than The Real Thing - Fish Out Of Water Remix;";";"U2; Declan Gaffney; Matt Paul";";";55sJ8wMO1g7khH8d6m0pAC
Freedom For My People - Excerpt;";";"Adam Gussow; Sterling Magee";";";3yRZJl2bKOzKCncwEVMXMS
When Love Comes To Town;";";"U2; B.B. King";";";2cpUudtTX7OU6DcoNTuxwB
Silver And Gold;";";"Bono; Keith Richards; Ronnie Wood; Steve Jordan";";";163tlj3ZvTGSRcZaZka12M
One Tree Hill - St Francis Hotel Remix;";";"U2; St Francis Hotel";";";0PaBdiB0OXcA1vVBuIObQ7
Bullet The Blue Sky - Jacknife Lee Remix;";";"U2; Jacknife Lee";";";3kMZB8spUvrT5XeNWYcegE
Running To Stand Still - Daniel Lanois Remix;";";"U2; Daniel Lanois";";";7gAYF4ZPFjKYEIeFo9SvMI
Red Hill Mining Town - Steve Lillywhite 2017 Mix;";";"U2; Steve Lillywhite";";";4tRgxIAzFBXVkf0qxBjuh9
With Or Without You - Daniel Lanois Remix;";";"U2; Daniel Lanois";";";1PDflzOoX3JrWvwl72F99M
Where The Streets Have No Name - Flood Remix;";";"U2; Flood";";";5K2Z2hmA4RL5LrBqt9ueki
Silver And Gold;";";"Bono; Keith Richards; Ronnie Wood; Steve Jordan";";";6flM28ijUjfvxkDe8CXxkz
New Year's Day - USA Remix / Kevorkian Remix / Remastered;";";"U2; Francois Kevorkian";";";05kyIeuX78wVXjJzPRFPVW
New Year's Day - Vocal Extended Mix / Ferry Corsten Remix;";";"U2; Ferry Corsten";";";5sURmCWFQHwieQgN20oN4r
New Year's Day - Ferry Corsten - Vocal Radio mix;";";"U2; Ferry Corsten";";";4LxyKcbDwk1kz9KSJt8wNI
Two Hearts Beat As One - Long Mix By Kevorkian / Remastered;";";"U2; Francois Kevorkian";";";4RJcixJj2bbWWokCIYk6Uq
Two Hearts Beat As One - USA Remix by Kevorkian / Remastered;";";"U2; Francois Kevorkian";";";68lzSkvw04yiU2aQM9Ux13
Boy/Girl - Remastered 2008;";";"U2; Robbie Mcgrath";";";01Ac67qzF3GgI1YTQXIXZw
I've Got You Under My Skin - Remastered 2023;";";"Frank Sinatra; Bono";";";7hJsi4BjiVuTwwEf8VnwO7
Lemon - Bad Yard Club Edit / Remastered 2023;";";"U2; David Morales";";";5sIsIsqeqMIdjQEgk9RPms
