Nome da Música;Artistas;ID da Música
Party en el Barrio (feat. Duki);";";"Paulo Londra; Duki";";";4PebMwMNX1PihebCn1Grii
Noche de Novela (feat. Ed Sheeran);";";"Paulo Londra; Ed Sheeran";";";1xFEN8IT5qmpLcgMpsCdVj
Nublado (feat. Travis Barker);";";"Paulo Londra; Travis Barker";";";5p5CzJAFaStkaqrQhkYpBT
A Veces (feat. Feid);";";"Paulo Londra; Feid";";";1O9FJyTicBMSqIv0RLRy4i
Cansado;";";"Joaqo; Paulo Londra";";";544MTWIOCJGenyb56Vs8JV
Necio (feat. LIT killah);";";"Paulo Londra; LIT killah";";";4Bn4JToBJGy47OEqB4AWtq
Toc Toc (feat. Timbaland);";";"Paulo Londra; Timbaland";";";61kxOW8veqGcSGts5w4bBz
Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles);";";"Paulo Londra; De La Ghetto; Justin Quiles";";";3H9GDhVVTlmFQSmpt51qiP
Nena Maldición (feat. Lenny Tavárez);";";"Paulo Londra; Lenny Tavárez";";";77dMSg2VHi2wwXjXNrmcrZ
Toc Toc (feat. Timbaland);";";"Paulo Londra; Timbaland";";";0gc1ITlPhKsGqA8Y5lP1dW
Necio (feat. LIT killah);";";"Paulo Londra; LIT killah";";";3jyPy1YGVxFJ8PhgrOVTlb
Nublado (feat. Travis Barker);";";"Paulo Londra; Travis Barker";";";6p89XxqTCv34VrLQADjHRj
A Veces (feat. Feid);";";"Paulo Londra; Feid";";";63OA8vSo2PhUkmQopR1l64
The World Is Yours To Take - Latin Remix / Budweiser Anthem Of The FIFA World Cup 2022;";";"Tears For Fears; Paulo Londra; Lil Baby";";";5zGzSO40FsFK65IloXM7DN
Party en el Barrio (feat. Duki);";";"Paulo Londra; Duki";";";5GF0X7GdNmnouKcdhhRmtm
Noche de Novela (feat. Ed Sheeran);";";"Paulo Londra; Ed Sheeran";";";6N7LquYjc3c53qr4PSJbi5
Cansado;";";"Joaqo; Paulo Londra";";";4IWSiikKGhA9cBmAL6r3iy
Paulo Londra: Bzrp Music Sessions, Vol. 23;";";"Bizarrap; Paulo Londra";";";4F4bzCA8RWoyKQDfeFGolM
Party (feat. A Boogie Wit da Hoodie);";";"Paulo Londra; A Boogie Wit da Hoodie";";";5PDoWY5Av2Ba3rWIdY9Ij0
Nothing On You (feat. Paulo Londra & Dave);";";"Ed Sheeran; Paulo Londra; Dave";";";5Va44ERiHtC2tfBD53OApA
Solo Pienso En Ti (feat. De La Ghetto & Justin Quiles);";";"Paulo Londra; De La Ghetto; Justin Quiles";";";53rkN7z3bKorDSIxDvqXNt
Cuando Te Besé;";";"Becky G; Paulo Londra";";";2XXMDz7SPZ4mSFN1PXfHUy
Te Amo;";";"Piso 21; Paulo Londra";";";2RVrdr062uLFxXwIxwdXPH
Nena Maldición (feat. Lenny Tavárez);";";"Paulo Londra; Lenny Tavárez";";";2aMVyJSuDFFL1sTjJnvk7X
Está Bien;";";"Paulo Londra; Frijo";";";1lD3u5hjnHSiECLPhwsYHr
