Nome da Música;Artistas;ID da Música
LA FAMA;";";"ROSALÍA; The Weeknd";";";77VjuBo3CJbamC3gzaUzK9
LA COMBI VERSACE;";";"ROSALÍA; Tokischa";";";5OcFWC7ynhXNdLgJXRmCd9
CANDY - Remix;";";"ROSALÍA; Chencho Corleone";";";3VjCEyc0bHfa4Ie34kbWyb
LA FAMA;";";"ROSALÍA; The Weeknd";";";6Y46tOTRhkBamosyuWa6YX
LA COMBI VERSACE;";";"ROSALÍA; Tokischa";";";5gCNf9wMVrYuM2fvfgLTlF
BESO;";";"ROSALÍA; Rauw Alejandro";";";609E1JCInJncactoMmkDon
VAMPIROS;";";"ROSALÍA; Rauw Alejandro";";";3Eax1yebRxj6LSYpxE9Yd3
PROMESA;";";"ROSALÍA; Rauw Alejandro";";";75rqqKvzJCGv2oq9C4yFDt
DESPECHÁ RMX;";";"ROSALÍA; Cardi B";";";4CD623yLJVvKJxUyzaTqtC
BIZCOCHITO (LEORD Y HARACA KIKO REMIX) (feat. Haraca Kiko);";";"ROSALÍA; Haraca Kiko";";";378K0CspMQVjZq68UxQCKR
El Pañuelo;";";"Romeo Santos; ROSALÍA";";";3c7H5RL3H6jFgDTbMxGBe9
Linda;";";"Tokischa; ROSALÍA";";";1ahCrpeTt94LL7y1aXw0Y8
Lo Vas A Olvidar (with ROSALÍA);";";"Billie Eilish; ROSALÍA";";";0jagsVVkxwxhmTIicnOaon
Blinding Lights (with ROSALÍA) - Remix;";";"The Weeknd; ROSALÍA";";";7MXgrcOQAJ5VwSNUL0lDd3
TKN (feat. Travis Scott);";";"ROSALÍA; Travis Scott";";";4w47S36wQGBhGg073q3nt7
Yo x Ti, Tu x Mi;";";"ROSALÍA; Ozuna";";";7BlBVFwvbWvcwNcUarQmjk
Con Altura;";";"ROSALÍA; J Balvin; El Guincho";";";2qG5sZ7Si6sdK74qLxedYM
