Nome da Música;Artistas;ID da Música
This Is Why (Re: Foals);";";"Paramore; Foals";";";1nvGMPUA760kI0hEm1o6te
The News (Re: The Linda Lindas);";";"Paramore; The Linda Lindas";";";55e2HpFw9zjiM9O7rZ1Xks
Running Out Of Time (Re: Panda Bear);";";"Paramore; Panda Bear";";";4hLDujjaMwzpHqtASkmrU0
Running Out Of Time (Re: Zane Lowe);";";"Paramore; Zane Lowe";";";2Ax2KCM1R8jbMPJ05XR56N
C’est Comme Ça (Re: Wet Leg);";";"Paramore; Wet Leg";";";5PA2Q9hBo1gmB3RlA8TZa2
Big Man, Little Dignity (Re: DOMi & JD BECK);";";"Paramore; DOMi & JD BECK";";";45D0aZpY8muBiprlulURde
You First (Re: Remi Wolf);";";"Paramore; Remi Wolf";";";4w34xOG4R20bcijSufbq8l
Figure 8 (Re: Bartees Strange);";";"Paramore; Bartees Strange";";";5jhDVcdG5Y3poZ7sNiup7U
Liar (Re: Romy);";";"Paramore; Romy";";";6eiY2tu7EKFVGf2ZyCD1wy
Crave (Re: Claud);";";"Paramore; Claud";";";2BPBm8qQhLfjgkyZK7CEsP
Thick Skull (Re: Julien Baker);";";"Paramore; Julien Baker";";";7JH2H8oc2LfcEfiiEN0mML
Hate to See Your Heart Break (feat. Joy Williams);";";"Paramore; Joy Williams";";";3dkF3fiPOHbaV3lPwneGKN
You First (Re: Remi Wolf);";";"Paramore; Remi Wolf";";";5H1ChErhQhM89meYO6mufe
This Is Why (Re: Foals);";";"Paramore; Foals";";";5gbM6h5LB3s8NtaqQQa0t1
Thick Skull (Re: Julien Baker);";";"Paramore; Julien Baker";";";6HIxvSCOOa22XLFYSWV5KR
The News (Re: The Linda Lindas);";";"Paramore; The Linda Lindas";";";6XmltewhCXL26Z6wklZgxu
Running Out Of Time (Re: Zane Lowe);";";"Paramore; Zane Lowe";";";3RZvoi6M7mg4AVt3BJc7Sm
Running Out Of Time (Re: Panda Bear);";";"Paramore; Panda Bear";";";1Et8EgBhMcDdy9fTqxMiYQ
Liar (Re: Romy);";";"Paramore; Romy";";";1eVFFWFOm7WI7TiMP4pywM
C’est Comme Ça (Re: Wet Leg);";";"Paramore; Wet Leg";";";3dkIPlyoXHe0sL1gDKgOtp
Crave (Re: Claud);";";"Paramore; Claud";";";2CTOPUQejagGWeyq8KTnRD
Big Man, Little Dignity (Re: DOMi & JD BECK);";";"Paramore; DOMi & JD BECK";";";4tJWX81EvUjzlhNHjRF2xc
Ain't It Fun - Dutch Uncles Remix;";";"Paramore; Dutch Uncles";";";1EXAJXOprPlwj5pfBVp15B
Ain't It Fun - Kye Kye Remix;";";"Paramore; Kye Kye";";";5xJobDsuIj34YBdOJJxvwb
Ain't It Fun - Smash Mode Remix;";";"Paramore; Smash Mode";";";63FiUEvnub2zVUEy6QrT13
