Nome da Música;Artistas;ID da Música
Don’t Leave Me Like This;";";"Skrillex; Bobby Raps";";";1OgoqV3Gq7VaPottAdVXuB
Way Back;";";"Skrillex; PinkPantheress; Trippie Redd";";";6aE1kHca8lxdIDMgZwAwfJ
Selecta;";";"Skrillex; BEAM";";";2nBswif1hr0AS3ialfIRgy
Ceremony;";";"Skrillex; Yung Lean; Bladee";";";4DmqWDZUtoxBX7wg9eCgzF
Real Spring;";";"Skrillex; Bladee";";";69SvqsvWaLgztW7fGVKRZs
Summertime;";";"Skrillex; Kid Cudi";";";70FzWtNYH2pT8yCD3HG4h2
Bad For Me;";";"Skrillex; Corbin; Chief Keef";";";6iZPntlq4qz0gkDDV5bwQE
3am;";";"Skrillex; Prentiss; Anthony Green";";";7mNL3QEySPKTLJD98NftJB
Don’t Go;";";"Skrillex; Justin Bieber; Don Toliver";";";4pNlvXL8f51vWOOQ8lxCWV
Don’t Get Too Close;";";"Skrillex; Bibi Bourelly";";";3IbCVIJEnsiaDRedhFaWVG
Mixed Signals;";";"Skrillex; Swae Lee";";";6pQmNVpzpfuaC3Tr375Ov3
Painting Rainbows;";";"Skrillex; Bibi Bourelly";";";0b6FZyicRD96W69fQclPqd
Leave Me Like This;";";"Skrillex; Bobby Raps";";";6NRvZuFXn2ixp8YdzUvG5n
RATATA;";";"Skrillex; Missy Elliott; Mr. Oizo";";";4wteGC0HtLeZWjDcczc4Pw
Tears;";";"Skrillex; Joker; Sleepnet";";";29tRu5BqKiUDAoWLKIO3RN
Rumble;";";"Skrillex; Fred again..; Flowdan";";";74fmYjFwt9CqEFAh8ybeBD
Butterflies;";";"Skrillex; Starrah; Four Tet";";";19dObDGedr40x1UcAm15qz
Inhale Exhale;";";"Skrillex; Aluna; Kito";";";4cCfprh4NrvyLGKN2rOCO7
A Street I Know;";";"Skrillex; Eli Keszler";";";7pq7xuKsiQ9fhDibRBB6m9
XENA;";";"Skrillex; Nai Barghouti";";";1gMT8boiNdGWiYy7HQHyZk
TOO BIZARRE (juked);";";"Skrillex; Swae Lee; Siiickbrain; Posij";";";1NacL1muYFdpo0Ejuj363q
Hydrate;";";"Skrillex; Flowdan; BEAM; PEEKABOO";";";5yOx2ezoz2hBfoE9mItGVo
Good Space;";";"Skrillex; Starrah";";";1fKIwgpXV5GdnUfeucROIO
Supersonic (my existence);";";"Skrillex; Noisia; josh pan; Dylan Brady";";";3qL63QvSTHvC4Uw8eEhz4z
Still Here (with the ones that I came with);";";"Skrillex; Porter Robinson; Bibi Bourelly";";";4cagZASntpw5soVIOcqRSF
Don't Do Drugs Just Take Some Jack Ü;";";"Jack Ü; Skrillex; Diplo";";";0iSGRQ1RNaG76qiXH03jyC
Beats Knockin (feat. Fly Boi Keno);";";"Jack Ü; Skrillex; Diplo; Fly Boi Keno";";";4gwF1NiLbZl2uKJDS3AX9O
Take Ü There (feat. Kiesza);";";"Jack Ü; Skrillex; Diplo; Kiesza";";";2RpKh7kXSdO8NLrW9VQ46p
Febreze (feat. 2 Chainz);";";"Jack Ü; Skrillex; Diplo; 2 Chainz";";";48bSfSZaq9Aizbu4AWn4st
To Ü (feat. AlunaGeorge);";";"Jack Ü; Skrillex; Diplo; Aluna; AlunaGeorge";";";3UgSQu6WwrXfKKDq019IHE
Jungle Bae (feat. Bunji Garlin & MX Prime);";";"Jack Ü; Skrillex; Diplo; Bunji Garlin; Mx Prime";";";7yJzk64ul9PFgVFUYbEzZL
Mind (feat. Kai);";";"Jack Ü; Skrillex; Diplo; kai";";";6ZpR2XFuQJSHAQwg9495KZ
Holla Out (feat. Snails & Taranchyla);";";"Jack Ü; Skrillex; Diplo; SNAILS; Taranchyla";";";3LDKrOek8eqZA52IeauhrW
Where Are Ü Now (with Justin Bieber);";";"Jack Ü; Skrillex; Diplo; Justin Bieber";";";66hayvUbTotekKU3H4ta1f
