Nome da Música;Artistas;ID da Música
La Jumpa;";";"Arcángel; Bad Bunny";";";2mnXxnrX5vCGolNkaFvVeM
Bottas;";";"Arcángel; Duki; Bizarrap";";";5G5Xl4HHGJM6MrMAUIb538
Dígitos;";";"Arcángel; Myke Towers";";";6EGcTqLZZ7gkuhOIcyCp0k
La Ruta;";";"Arcángel; YOVNGCHIMI";";";7D8tKs61tdzzDdG9w6kdu4
Spicy Crab;";";"Arcángel; Bryant Myers";";";2o4dhiZvbfttXqcwhToPaz
Papa Noel;";";"Arcángel; Eladio Carrion";";";7iSzHI1PsFudcDPd5IUPIr
Kilimanjaro;";";"Arcángel; Young Miko";";";29t0v1RwRwxrgxfQNl6VeY
De Negro;";";"Arcángel; Diem BB";";";0iNxSpjOLfxSP1Z2wHn362
Entonces;";";"Arcángel; De La Ghetto";";";3kZ6jh67FdUaGxKXb1v8G7
Fendace;";";"Arcángel; Almighty";";";3YAS35c1YZEOc6HxL9lB1z
Sin Scotti;";";"Arcángel; Chucky73; Jim Jones; Dowba Montana; Young Flow";";";2Zydvopbdy94Em2DLZMso1
Si Te Veo;";";"Arcángel; Jay Wheeler; Miky Woodz";";";661BAtQVPGlDZ097DzN1hJ
Con Sus B;";";"Arcángel; De La Ghetto; Dalex; Elian Bless";";";65ysa53xpIhRBcgOThe1PY
Hijuepu;";";"Arcángel; Lenny Tavárez; Juanka";";";29tw6vsiHAtkB0EZxMCRDf
Insegura;";";"Arcángel; Gigolo Y La Exce";";";1OVBuppA1otAIEfGp0hScL
Mia;";";"Arcángel; Zion & Lennox";";";2l9fWAwEJdnVAiHpeXt4fl
Na de Eso;";";"Arcángel; Nicky Jam; Manuel Turizo";";";5chFqOp1Rcy1Jimj8jN68w
Todo Caro;";";"Arcángel; Nio Garcia; Casper Magico";";";7EwqAQFMQbLkojPhly1ZSC
Enfermo;";";"Arcángel; Brray; Farina; Tokischa; Kiko el Crazy";";";6w3PKsKjurLzyd34YZuYXA
No Quiere Novio;";";"Arcángel; Omy de Oro; KEVVO";";";0Mr8KORuhYFfwwRclQ2J3G
Capos y Bichotes;";";"Arcángel; Ovi";";";5cUeZ0Xk1TJeBUNk6JVfCr
Es Complicado;";";"Arcángel; Ken-Y; Chris Lebron";";";78zYnK3qmpot1rQRBUVdNV
No Hay Perdón;";";"Arcángel; Tempo; ELYSANIJ";";";6KyEeuXg01fEtmtEocLxed
Nintendo;";";"Arcángel; Kapla y Miky";";";5GU3Iuxqi1SF1XVTIaonsT
Amantes y Amigos;";";"Arcángel; Sech";";";3yoDVeVWIPSuH1IolXKA0X
Satisfacción;";";"Arcángel; Myke Towers";";";4oO8HV1rGgXIGklt8HYjJR
Sigas Moviendo;";";"Arcángel; Ozuna";";";17DggX0uy1ocWbawGpop4J
Normal;";";"Arcángel; Jhayco; Darell";";";7B7NxUQL8uX7l8WRzmcUFB
Un Año Tarde;";";"Arcángel; Maluma";";";2namWBLTSw9YYJrkU1bT0s
Aparentemente 2;";";"Arcángel; De La Ghetto; Yaga & Mackie";";";6qmi7bapPoaIr0riLzoo29
Emilio & Gloria;";";"Arcángel; Wisin & Yandel";";";4Q5oewKBqBAMMvCgON6QKk
No Se Enamora;";";"Arcángel; Farruko";";";1Z5OpewMdjSaSolEvlydqB
El Bueno & El Malo;";";"Arcángel; Cosculluela; Ñengo Flow";";";1H5lWEFTSW6p5IgZ4ywn7t
Matarse Solita;";";"Arcángel; Rauw Alejandro; Randy";";";0O5PySgI1kSC4T7TZ2bAvc
Pilonea;";";"Arcángel; El Alfa";";";217RE2TUIVqJCB6pg3nIhx
Frio;";";"Arcángel; Cauty; Brray";";";5caqLyn9T06xoZNwvzKMkI
Todos la Conocen;";";"Arcángel; Brytiago; Gigolo Y La Exce";";";25IPptA8jtbRxCaOnIj47I
Se Porta Mal;";";"Arcángel; Alex Rose";";";2u8OkSLXzovdpc4hVo2gr0
Tussi;";";"Arcángel; Justin Quiles; Eladio Carrion; De La Ghetto";";";3pnpENd2PXAKuetjLIylEr
Sigues Con El - Remix;";";"Arcángel; Sech; Romeo Santos";";";5HokHzcT1yQtsy7lLagEiA
Rehén;";";"Arcángel; Ozuna";";";1W3PmIlBplo5X5T67yLmY5
Infeliz;";";"Arcángel; Bad Bunny";";";4z6wo6PJG4Fve45OXK6D9m
Hábitos;";";"Arcángel; Manuel Turizo";";";2UeO0dSYG1t2BpESjdk24F
Sigues Con El;";";"Arcángel; Sech; Dímelo Flow";";";1XxmTx7ZzI2xLvS8SqlXs9
Memoria Rota;";";"Arcángel; Myke Towers";";";2LSrYn6Ou5DYNa8Gh8TN5e
Original;";";"Arcángel; Bad Bunny";";";1LBlcCtOrKITXpEp1hnNpj
Corte , Porte y Elegancia;";";"Arcángel; J Balvin";";";2dcPZx1lAV8gSHmFd2wDBj
Victoria;";";"Arcángel; Tory Lanez";";";1XD8MkwfUrWSLpUmw1p07s
Pa Morir Se Nace;";";"Arcángel; La Exce";";";2a7P4pXCEvMEUaOK7bK8pD
Los Favoritos (feat. Farruko, Ñengo Flow, Ñejo, Alexio, Pusho & Genio);";";"Arcángel; DJ Luian; Farruko; Ñengo Flow; Ñejo; Alexio; Pusho; Genio";";";08DQn4VIFPGARDSDZJEOJq
Pensandote (feat. Nicky Jam);";";"Arcángel; DJ Luian; Nicky Jam";";";4KgkjflC5hFDZnCJzTAJ03
Soltera (feat. Farruko & Ñengo Flow);";";"Arcángel; DJ Luian; Farruko; Ñengo Flow";";";6a4Z8v093q5q2tQgYwnWWe
50 Sombras De Austin;";";"Arcángel; DJ Luian";";";6xJbFhvAKGPHCgG6fSpo4M
Imaginate (feat. J. Balvin);";";"Arcángel; DJ Luian; J Balvin";";";1WG4S16n8g8Q6YrHKAfTi2
Decidete (feat. Wisin);";";"Arcángel; DJ Luian; Wisin";";";3z7tjcVcvQb85AlTROGw9j
"Mas Piquete Que Yo (feat. De La Ghetto, Cosculluela & Randy ""Nota Loca"")";";";"Arcángel; DJ Luian; De La Ghetto; Cosculluela; Randy";";";2Q6P0B6rpg5xNLtaJ5E1yW
Solo Tu (feat. Maluma);";";"Arcángel; DJ Luian; Maluma";";";7IfKljzCnhkqRuLEbGOSdM
Nadie (feat. Zion & Lennox);";";"Arcángel; DJ Luian; Zion; Lennox";";";1sy1sXCAhCPyIVGjVDFMiM
Pura Sensualidad (feat. J. Alvarez);";";"Arcángel; DJ Luian; J Alvarez";";";4JORP7esmYYtbDEbvla9Bj
La Loca (feat. Jory);";";"Arcángel; DJ Luian; Jory Boy";";";5oZAsJVPkwUqN2KBqEBBw8
Pa'l Muro (feat. Alexio);";";"Arcángel; DJ Luian; Alexio";";";24ZOkVm7sBaB0CBoMnKjHK
El Favorito De Tu Gata;";";"Arcángel; DJ Luian";";";5ugE853TBZPzna9Oelh2uT
Chikiribón (feat. Mozart La Para);";";"Arcángel; DJ Luian; Mozart La Para";";";4OCVxIYzcZBuTMFSXVyvoJ
Vacilar Y Joder (feat. Genio);";";"Arcángel; DJ Luian; Genio";";";7veOD8s7KfvgKXFB5zNxya
Mami Que Tu Tienes? (feat. Vakero);";";"Arcángel; DJ Luian; Vakero";";";0iNjpgEAiofTo7NyvxuLo0
Tu Cuerpo Me Hace Bien;";";"Arcángel; DJ Luian";";";6kOO4e5mYV4syi5nxk7z6X
"Soy Dueño (feat. Randy ""Nota Loca"")";";";"Arcángel; DJ Luian; Randy";";";6Yl0GDFlG6MlOBImi8Oer8
Sola (feat. De La Ghetto);";";"Arcángel; De La Ghetto";";";4VH4DL7Jmo7TFWXGneYpE4
Pakas De 100 (feat. Daddy Yankee);";";"Arcángel; Daddy Yankee";";";70LQFfKt0fSlvNXncgP9XL
Ayer Escuche Una Voz (feat. Nengo Flow);";";"Arcángel; Ñengo Flow";";";2EZAGnpMaSBAgRnVcKNPhV
Le Llego Donde Sea (feat. Genio & Baby Johnny);";";"Arcángel; Genio; Baby Johnny";";";6bGNbZBve8dZvzEYePzwz3
Agresivo 3;";";"Arcángel; JKing";";";0QwOcPdFwGGB8Q4xQsbKCz
Química Sustancia;";";"Arcángel; Don Omar";";";1v6aYdzKwVVItHiReiZdCR
Mi Primera Canción;";";"Arcángel; Tempo";";";4jTtj2VtWrxgeE7H9XTAsB
LA CHAMBA;";";"Arcángel; Peso Pluma";";";1gjAVqB8sPT5i96wXUWcJR
Mi Condena;";";"Chimbala; Wisin; Arcángel; Chris Lebron";";";0ibMX6sBEHryBE17hseJwf
