Nome da Música;Artistas;ID da Música
Baby Boy (feat. Beyoncé );";";"Sean Paul; Beyoncé";";";0ZeFBtxHonIwxDYMu1JgiA
Top of the Game (feat. Rahzel);";";"Sean Paul; Rahzel";";";0TCHc6hCl0QILRbEUcjmjv
Ganja Breed (feat. Chico);";";"Sean Paul; Chico";";";5JaVHb9XLTBUfLeNztbnSG
I'm Still in Love with You (feat. Sasha);";";"Sean Paul; Sasha; Jeremy Harding; Murray Elias";";";5lJx5eiSahFfsqkMJVlkDN
International Affair (feat. Debi Nova);";";"Sean Paul; Debi Nova";";";618nFkw8DL3NKEqJFmBSxm
Can You Do the Work (feat. Ce'Cile);";";"Sean Paul; Ce'Cile";";";5TOellL1TBlJ63Tbo7Ao4G
Gimme the Light (feat. Busta Rhymes) - Pass the Dro-Voisier Remix;";";"Sean Paul; Busta Rhymes; Jigzagula; Murray Elias";";";0ns7wshRiKhNU3vzlfL6pl
Bubble (feat. Fahrenheit);";";"Sean Paul; Fahrenheit";";";3M23DPbOCv0rINzlhfOd9Z
Esa Loca (feat. Tony Touch and R.O.B.B.);";";"Sean Paul; R.O.B.B.; Tony Touch";";";4XR4jeKiR13wBLGDDsGfSH
Only Fanz (feat Ty Dolla $ign);";";"Sean Paul; Ty Dolla $ign";";";4KYz0AqCuPAWCpmDyJZXJv
How We Do It (feat. Pia Mia);";";"Sean Paul; Pia Mia";";";6x5IZU1qDXFPYxxMJ1cvaC
Bouncing (feat. Jada Kingdom);";";"Sean Paul; Jada Kingdom";";";5t1niULed9CjX17UXs17e6
Dynamite (feat. Sia);";";"Sean Paul; Sia";";";0LcLOyu9n5qRTeax5IdewO
Light My Fire (feat. Gwen Stefani & Shenseea);";";"Sean Paul; Gwen Stefani; Shenseea";";";0D85y6hjCaHRjeB4VEXqPy
Calling On Me (feat. Tove Lo);";";"Sean Paul; Tove Lo";";";2vDjeqTzuAS8RaKmdqOcSe
Pon Di Reel (feat. Stylo G);";";"Sean Paul; Stylo G";";";1wSSL5MRqbAKTTcQkyMv4o
No Fear (feat. Damian Marley & Nicky Jam);";";"Sean Paul; Damian Marley; Nicky Jam";";";3k2yMFiIs4Aq5Meur7F3AN
Buss a Bubble - Remix;";";"Sean Paul; Sotto Bless; Looga Man; Ras Ajai; Chi Ching Ching; Delly Ranx";";";6vcoJIeVMFPRkP43tlmXWZ
Boom;";";"Sean Paul; Busy Signal";";";5zJYlhUjJu7Z7fxdgtndYh
Space Ship;";";"Sean Paul; Sukuward";";";27uFjUOgDjG9YdvkHOQi3j
Real Steel;";";"Sean Paul; Intence";";";2ICcHY0SeYyKhMnvhkFy2M
The Plug;";";"Sean Paul; Chi Ching Ching";";";3bqpTnqKhGODEeB4NE3ejD
Dem Nuh Ready Yet;";";"Sean Paul; Leftside";";";5rF7kEaPPin5GEIgB7CO43
Crazy;";";"Sean Paul; Buju Banton";";";4PqQq00j4jqCRKBRyjDPlS
Schedule;";";"Sean Paul; Chi Ching Ching; Damian Marley";";";3GUVgbO3k9g0p6TN2q7EeL
Money Bag;";";"Sean Paul; Govana";";";2t5p280d32getZwXMFYOmS
Protect Me;";";"Sean Paul; Serani";";";27NZfUcAHuoBv2qoRIR2R6
Guns of Navarone - Remix;";";"Sean Paul; Jesse Royal; Mutabaruka; Stonebwoy; Money Matters Ent";";";7vUbVFlRJ308H8Y7KutgJ9
Danger Zone;";";"Sean Paul; Sotto Bless; Bugle";";";1EPOm5GVfNgHjD6Rh6YnZt
Life We Livin;";";"Sean Paul; Squash";";";6Snh4u9jeWtNbs6rQLTsBs
I'm Sanctify - Remix;";";"Sean Paul; Mavado; Agent Sasco (Assassin); Troyton Music";";";3gWwpB77hLOof2OFUDWD07
Everest;";";"Sean Paul; Masicka; Skillibeng";";";61oXDSkWnJ6UwFGDpIGqBn
Naked Truth;";";"Sean Paul; Jhené Aiko";";";5vf6J4SM5SZ2I87jA2juK2
Bad Love;";";"Sean Paul; Ellie Goulding";";";5OaRqgnamUsa99HzxSTdDv
Mad Love;";";"Sean Paul; David Guetta; Becky G";";";4dSoDnmR9opAQ8KxUc9SbC
Tip Pon It;";";"Sean Paul; Major Lazer";";";6vVFqMUDG316z5EXYHs7fE
Jet Plane Trip;";";"Sean Paul; Stefflon Don";";";73nrq7e9AHfi9t4T9qfmKh
Body;";";"Sean Paul; Migos";";";3PGubBdFfQSHAHsXb068eG
Tek Weh Yuh Heart;";";"Sean Paul; Tory Lanez";";";3VwR0joqoloF97pCHzLVLx
No Lie;";";"Sean Paul; Dua Lipa";";";48QmG1dfvMuYLxMPt7KSRA
Riot (feat. Damian Jr. Gong Marley);";";"Sean Paul; Damian Marley";";";5qgLqwtoF9ochNLxsm0f8b
Entertainment 2.0 (feat. Juicy J, 2 Chainz and Nicki Minaj);";";"Sean Paul; 2 Chainz; Juicy J; Nicki Minaj";";";2QWjw8E4HJ2XZnas74XNaa
Pornstar (feat. Nyla);";";"Sean Paul; Nyla";";";3vuskTDmupEo4hWwsSQgVJ
Want Dem All (feat. Konshens);";";"Sean Paul; Konshens";";";5r13SAMxcLy3XhfYcMzGcI
Wickedest Style (feat. Iggy Azalea);";";"Sean Paul; Iggy Azalea";";";0ESmGBhz6j4W258Hqp9TTu
Dangerous Ground (feat. Prince Royce);";";"Sean Paul; Prince Royce";";";5HeA9COP8K9cQrycNcWnRH
Got 2 Luv U (feat. Alexis Jordan);";";"Sean Paul; Alexis Jordan";";";62pSYErgGri97X9aIyBzHm
