Nome da Música;Artistas;ID da Música
Diran De Mi;";";"Natanael Cano; Tito Torbellino Jr";";";57pe0wF0RgVPtcR4f1eXH2
La Lokerona;";";"Natanael Cano; HERNAN TREJO";";";3A2UK3SykAxeo3jeQv9ekR
Un Convoy;";";"Natanael Cano; Amilkar Galaviz";";";0y6i1ZmaMj3jD6UxN0Aluu
Pancake;";";"Natanael Cano; Peso Pluma";";";7ctRhcAiTBQLsH64s93sN4
Viejo Lobo;";";"Natanael Cano; Luis R Conriquez";";";1UwCSHDl10Hga2jswZ6plN
Eres;";";"Natanael Cano; Junior H";";";3FUVgc4ULS0t7X7sUBZ1UO
En Corto;";";"Natanael Cano; Chino Pacas";";";6PlLiHoRcjCgK5som2T3ph
AMG;";";"Natanael Cano; Peso Pluma; Gabito Ballesteros";";";0FxtC8uFapbpDBliAU3sd6
Como Es Arriba Es Abajo;";";"Natanael Cano; Dan Sanchez";";";3KTExsIhHiqNHW9XBbTTZd
Dinero Digital;";";"Natanael Cano; Badguychapo";";";5nggFqmrxKwOpmTS7sS48F
De A De Veras;";";"Natanael Cano; Codiciado";";";3C2wa3nyaZl7CCbW9N3oAg
Gracias A Dios;";";"Natanael Cano; Lil Mosey";";";79cdKPrpDCOjiyKpAQwxOU
Quien Va A Caer;";";"Natanael Cano; Tyan G";";";6xpWfCGB1sS57f7k15ROkH
Mochila;";";"Natanael Cano; Junior H";";";2MHCMQssNyjDokJCkZYTt7
Nataaoki;";";"Natanael Cano; Steve Aoki";";";7w47Qtyrw5y4w5Qa0wNjco
El F;";";"Natanael Cano; Junior H";";";04QX4SHRnYuMj5PffvG0dA
Porte Exuberante;";";"Natanael Cano; Oscar Maydon";";";4DdnffqoFr9wDRlCACNmGf
Llenas Las Cuentas (feat. Oscar Maydon);";";"Natanael Cano; Dan Sanchez; Justin Morales; Oscar Maydon";";";6QTYNdS6zwheublH0lSj0T
Verdes Verdes;";";"Natanael Cano; Junior H; Ovi";";";5UoFolYVqme3NABM96m0cD
Crónicas de un Gallo;";";"Natanael Cano; Ovi; Ñengo Flow";";";6YPczk6I8RRCjIcJ9I7p8y
Pienso en Ella;";";"Natanael Cano; Ovi";";";79fkYjEJlscHdgAtYWYfUO
Las 3 Torres;";";"Ovi; Natanael Cano; Junior H";";";01nnJYsbiVmikEm1VP0rVi
Viejo Vaya;";";"Junior H; Ovi";";";0TQUOyxDtGoY7ow4Pkkg9S
Ni yo me la Creo;";";"Natanael Cano; Ovi";";";4zqDIYc0L7xmaznKGz6yIt
En el Cora;";";"Natanael Cano; Junior H";";";56g3muqgPWmf5trto7lTUq
Cada Vez;";";"Junior H; Ovi";";";79EhW2G1zqlEURSQLZTy5H
Santal 33;";";"Natanael Cano; Junior H";";";1OqGxMgzBa8NNG8FvE8xyp
Feeling Good (feat. Snow Tha Product & CNG);";";"Natanael Cano; Snoop Dogg; Ovi; CNG; Snow Tha Product";";";7lD7yVzc0iBuJPKB9sy40U
Yo Le Batallé;";";"Natanael Cano; Ovi";";";6y7imed8JL397kap3qCkO5
Lo Que Quiero;";";"Natanael Cano; Tyan G";";";7CSwkulZz1cuI8j2GELOfA
Pal Que Dijo Que No;";";"Natanael Cano; Ovi";";";63zEmpbUIHw3tRCuDESLVf
La Reina;";";"Natanael Cano; Rene";";";7Ay3wM5kcF4zgCsEXmaPae
Me Tira Por El Phone;";";"Natanael Cano; Tyan G";";";2FGOdDfpkraPwMLW4kg3ds
Yo Vengo De Barrio;";";"Natanael Cano; RobGz; Ovi";";";00PVGsjnTVMQJQlxV4puoa
Dime Pa Que;";";"Natanael Cano; Lil Tecca";";";3qRv6M9TyPVTeeTSjXBj9C
Calle Pero Elegante;";";"Natanael Cano; Tyan G";";";0fOwHSVnVubpLH1mKd3XL1
Tumbado;";";"Natanael Cano; Robot95";";";3HMU4uF7vo1Cohe0ohFvbW
Lean;";";"Natanael Cano; JhonnyX";";";6AZZqU7JMhDBtggjJCi4kQ
Bien Tumbado;";";"Natanael Cano; Ovi";";";45igj3SybyjfFrUuKGJkpi
Bien Montados;";";"Natanael Cano; Nueva Era";";";2fpccHlHdHjmwsnMjuWWsn
Diez Segundos;";";"Natanael Cano; Junior H";";";6tAsYVIxSm6GbDeJFedqc7
Tirando La H;";";"Natanael Cano; Esteban Gabriel";";";1CSPS0XfIYL6O1sB3veINs
Para Andar Agusto;";";"Natanael Cano; Juanillo Diaz; Junior H";";";4urztkiiKr2krihhbYre1q
Mi Soledad;";";"Natanael Cano; Carlos Torres";";";1n7wwBoBcd9KVMqlO6n6ze
Aqui Estoy;";";"Nueva Era; Junior H";";";6QgknxWjqfTVWLrDwhPf15
El Magico;";";"Natanael Cano; Ivonne Galaz";";";1F7ptWsMdhgVd4Zwny5rrV
La Rueda;";";"Ivonne Galaz; Natalie López";";";3xFOLdkOgpckLFyUgZUl0x
Aunque Les Pese;";";"Natanael Cano; Fuerza Regida";";";0Vg9wajADEGyI8YczvVXyi
Golpes De La Vida;";";"Natanael Cano; Ivonne Galaz";";";1lKh7do66fwrRrL3vLLTPt
Disfruto Lo Malo;";";"Junior H; Natanael Cano";";";7LH2UUuyMHt7035PLZQ8wx
El Chamaquito;";";"Dan Sanchez; Natanael Cano";";";7n6GRe3u1y7UYSXk3LUt9q
Échele Un Ojo;";";"Dan Sanchez; Natanael Cano";";";66kRtUTpkZG0aY0vBV30u1
Un Suspiró Al Viento;";";"Nueva Era; Natanael Cano";";";3lRxceRF0xldPItTNVLPGD
Cholos Malandros;";";"Nueva Era; Natanael Cano";";";1CBY5Rv9JtMgvKbJ1CangW
Buenos Ratos;";";"Natanael Cano; Junior H";";";6M5NgWwRMEFLt4bx457TTy
El de La Codeina Ft;";";"Ruben Figueroa; Natanael Cano";";";4ZqR0r4QspLew2WsYeTZiy
El Gryffindor;";";"Ruben Figueroa; Natanael Cano";";";2h7yfr1ORAEZgpHBloA8ZO
LOU LOU;";";"Gabito Ballesteros; Natanael Cano";";";3FvTHuefYV6TxE3Kseqno8
Bien Loco;";";"Dan Sanchez; Natanael Cano; Dharius; D-Sides";";";67iARlR1cb2fAovBwluJLA
Viejo Lobo;";";"Natanael Cano; Luis R Conriquez";";";5yd4OGjlFzDj5gyT8sIVYa
Un Convoy;";";"Natanael Cano; Amilkar Galaviz";";";4gWZNv6e1ntEJtEcAXLjJa
Pancake;";";"Natanael Cano; Peso Pluma";";";7pIRDtTS6V67O4Fm1OpqkO
La Lokerona;";";"Natanael Cano; HERNAN TREJO";";";161cPlGZ2edipATw6yRYkB
Eres;";";"Natanael Cano; Junior H";";";69t25We7WNLgd8faCMQUka
En Corto;";";"Natanael Cano; Chino Pacas";";";6MyHCM3sjc9XsWB4kko3bO
Diran De Mi;";";"Natanael Cano; Tito Torbellino Jr";";";4vC5EbT71eMSiE2sRFA3dc
CARNAL;";";"Peso Pluma; Natanael Cano";";";2dlsWUlMCD6keK5LRamcqs
Como Es Arriba Es Abajo;";";"Natanael Cano; Dan Sanchez";";";0Dn0h4YdPvM4v0HNdgnyeP
Una 45;";";"Dan Sanchez; Natanael Cano";";";0CeRRemIexnXiSKT4qWUTa
Don Chon (En Vivo);";";"Juanpa Salazar; Fuerza Regida; Natanael Cano";";";0OeX94j6rMIBHX7DGlOGzB
PRC;";";"Peso Pluma; Natanael Cano";";";2mpoNBkngUEwnaKoBhZ0vl
Lavadichi;";";"Natanael Cano; Dan Sanchez";";";1toi8pP6yhA5q4DsEtWCUm
Cosas Claras, Cosas Buenas (En Vivo);";";"Tito Torbellino Jr; Natanael Cano; Gabito Ballesteros";";";2PH9kPW7kcduUlMf1Tve36
Kilos De H (En Vivo);";";"Oscar Maydon; Natanael Cano";";";2f0k21XMQxO7ekccaAUo25
Ch y la Pizza;";";"Fuerza Regida; Natanael Cano";";";1ySH55O0zbQBR77q8wQEyn
AMG;";";"Natanael Cano; Peso Pluma; Gabito Ballesteros";";";1lRtH4FszTrwwlK5gTSbXO
Kilos de Amor;";";"Tokischa; Natanael Cano";";";6sChylyoQyLrKKQ9S3sYjD
Y Si Me Miran;";";"Natanael Cano; Luis R Conriquez; Gabito Ballesteros";";";1WHml9IbQkFUtVz8ZXEkUb
Que Me Importa;";";"Natanael Cano; Victor Cibrian";";";7rp5s1fEFuu42FoeHrrPyx
Kong 2.0;";";"Steve Aoki; Natanael Cano";";";11xyATb8URhEFt5QKHgYZN
De A De Veras;";";"Natanael Cano; Codiciado";";";21aZ4e4lJiFmqRzNiPXqhP
Bandidos;";";"Omy de Oro; Natanael Cano";";";0bCHso1zsLuJ9hmUxN3BwT
Disfruto Lo Malo;";";"Junior H; Natanael Cano";";";46DU5gYWY2vjE79mbhX4Wv
Llenas Las Cuentas (feat. Oscar Maydon);";";"Natanael Cano; Dan Sanchez; Justin Morales; Oscar Maydon";";";7LTKDPiFik2UkZ9S7mnemu
Amor Tumbado;";";"Natanael Cano; Alejandro Fernández";";";6RRfUmnxz3Ef4KZxNBSLgV
Enfermo de Riqueza;";";"Lenny Tavárez; Natanael Cano; Ovi";";";0sS3OIqLs2RcccCyR71h6s
Ele Uve - Remix;";";"Eladio Carrion; Natanael Cano; Ovi; Noriel";";";6n43lawNZSsPHiCostJj9N
Billetes;";";"Play-N-Skillz; Nicky Jam; Natanael Cano";";";3DZkAmFFKfOyUxM8sG8ZBs
Feeling Good (feat. Snow Tha Product & CNG);";";"Natanael Cano; Snoop Dogg; Ovi; CNG; Snow Tha Product";";";2Oz6r5kXBKW9EhoskrOOqo
Seca Tus Lagrimas;";";"Natanael Cano; Junior H";";";54JxxJ2KW8nCeb6ZnroLA0
El Capitan;";";"Natanael Cano; Herencia de Patrones";";";5dxoI7r19Bwb6U57iTnpxk
No Soy Lo Que Piensas;";";"Natanael Cano; Porte Diferente";";";6YviOFfwGAS5ZFLaWiVXNo
Pacas Verdes;";";"Natanael Cano; Ovi";";";3xHTRAB2DOoaPLEmwKoPQj
Soy El Diablo - Remix;";";"Natanael Cano; Bad Bunny";";";7pNAvsuTCFaXzSSUmfBPxz
