Nome da Música;Artistas;ID da Música
Ungrateful (feat. Key Glock);";";"Megan Thee Stallion; Key Glock";";";6vA7RdHmU23h3ygUPPFXz5
Budget (feat. Latto);";";"Megan Thee Stallion; Latto";";";3BFxkzhkESwALQxjxOVFgJ
Who Me (feat. Pooh Shiesty);";";"Megan Thee Stallion; Pooh Shiesty";";";5odEKBDCHBNrNm0skWsSUv
Scary (feat. Rico Nasty);";";"Megan Thee Stallion; Rico Nasty";";";0QWauSvdEXExwUUDa4QCsj
Consistency (feat. Jhene Aiko);";";"Megan Thee Stallion; Jhené Aiko";";";0pA1KdUSZEDAL0swN18Mh8
Star (feat. Lucky Daye);";";"Megan Thee Stallion; Lucky Daye";";";3mgN4TJIX6hXrytf0qKhYt
Pressurelicious (feat. Future);";";"Megan Thee Stallion; Future";";";16knHihZqSUCl07ablNPPl
Southside Royalty Freestyle (feat. Sauce Walka, Big Pokey, Lil Keke & Mike D);";";"Megan Thee Stallion; Sauce Walka; Lil' Keke; Big Pokey; Mike D";";";27Wwwbdh9pKL9n23FOJH9z
Sweetest Pie;";";"Megan Thee Stallion; Dua Lipa";";";3JXF3LsUjyDIHjuwhXxdjo
Trippy Skit (feat. Juicy J);";";"Megan Thee Stallion; Juicy J";";";7v690e0qaj5Vf2i8y8LPVt
VickeeLo and Dino Btw Skit (feat. VickeeLo and Dino Btw);";";"Megan Thee Stallion; Dino BTW; VickeeLo";";";2pG4r7Froady9EK6W6g88f
Cry Baby (feat. DaBaby);";";"Megan Thee Stallion; DaBaby";";";4aarlAfLKVCTxUDNgbwhjH
Do It On The Tip (feat. City Girls & Hot Girl Meg);";";"Megan Thee Stallion; City Girls; Hot Girl Meg";";";2993VQSr7a2Dj5hI5xcWG0
Movie (feat. Lil Durk);";";"Megan Thee Stallion; Lil Durk";";";7Ge141qhUeuglcOvgAkWBy
Freaky Girls (feat. SZA);";";"Megan Thee Stallion; SZA";";";4RAEVQeHanpXyK2lrEUkMk
Intercourse (feat. Popcaan & Mustard);";";"Megan Thee Stallion; Mustard; Popcaan";";";05b94NgTfntKGZra5TMEcx
Go Crazy (feat. Big Sean & 2 Chainz);";";"Megan Thee Stallion; 2 Chainz; Big Sean";";";2ZuyWP4MXXPXQaz2KJPCCn
Savage Remix (feat. Beyoncé);";";"Megan Thee Stallion; Beyoncé";";";2Z71PZlOeF9YVze4hy1A1a
Don’t Stop (feat. Young Thug);";";"Megan Thee Stallion; Young Thug";";";0W7R5wlb4rjvowSPOY7c8m
Suga Intro (Chopnotslop Remix);";";"Megan Thee Stallion; OG Ron C";";";6stumfoIQv2Jb0A9pZjCGP
Savage (Chopnotslop Remix);";";"Megan Thee Stallion; OG Ron C";";";0BMqb67dBQU9lRnxKi7Nfy
B.I.T.C.H. (Chopnotslop Remix);";";"Megan Thee Stallion; OG Ron C";";";4RtdZkeeD7Iusi29uLXeeS
Captain Hook (Chopnotslop Remix);";";"Megan Thee Stallion; OG Ron C";";";61uF1IYUxQscHLIMNmovpo
What I Need (Chopnotslop Remix);";";"Megan Thee Stallion; OG Ron C";";";2ihbJqub09pxrkd82ndFM4
