Nome da Música;Artistas;ID da Música
Rounds (feat. Rick Ross);";";"John Legend; Rick Ross";";";2AeVYIAQH6qdsUMg3ggLMC
Dope (feat. JID);";";"John Legend; JID";";";3VEL2iEZ8udM0evRe3Bj2u
Strawberry Blush (feat. Free Nationals);";";"John Legend; Free Nationals";";";7wIZ3CXR08DPLR8G0uk210
Splash (feat. Jhené Aiko & Ty Dolla $ign);";";"John Legend; Jhené Aiko; Ty Dolla $ign";";";5Ip2VxpYt1dCD7MKmjrw52
Fate (feat. Amber Mark);";";"John Legend; Amber Mark";";";5ARNp5KHWr4CW8icZuOtSg
Love (feat. Jazmine Sullivan);";";"John Legend; Jazmine Sullivan";";";2K5CdJb1IkAlsT108wRxYP
All She Wanna Do (with Saweetie);";";"John Legend; Saweetie";";";4dfotX3ZuHDqwbXFs6QBgy
Honey (with Muni Long);";";"John Legend; Muni Long";";";1ei5bZDXeMNU4rw3iEQ2zX
Speak In Tongues (feat. Jada Kingdom);";";"John Legend; Jada Kingdom";";";5lTXNKX4OVCSBKHBkSodzs
The Other Ones (feat. Rapsody);";";"John Legend; Rapsody";";";0u48wTfTCL8z1hVgrnthzh
Good (feat. Ledisi);";";"John Legend; Ledisi";";";2ddFDHABZYvXK6V4zWpH1g
Wild (feat. Gary Clark Jr.);";";"John Legend; Gary Clark Jr.";";";4rVW6XqAsSaf5vOwc8FREW
U Move, I Move (feat. Jhene Aiko);";";"John Legend; Jhené Aiko";";";7wfDCDfhVe2tFxIkQEJp35
Don't Walk Away (feat. Koffee);";";"John Legend; Koffee";";";2A6BUUkV6TgT4QdLCXIDPl
Remember Us (feat. Rapsody);";";"John Legend; Rapsody";";";3vS7px4CSV1I8hP5MXEdk8
I'm Ready (feat. Camper);";";"John Legend; Camper";";";3o6hX5T3imF508VycE44lQ
What Christmas Means to Me (feat. Stevie Wonder);";";"John Legend; Stevie Wonder";";";4YzayQhtm0lFenr0qVLbUy
Baby, It's Cold Outside (feat. Kelly Clarkson);";";"John Legend; Kelly Clarkson";";";4HC7ohixFIg0WB2q9rJCfm
Have Yourself a Merry Little Christmas (feat. Esperanza Spalding);";";"John Legend; Esperanza Spalding";";";6WsrFdZAKUCFpTUOIZJ8su
