Nome da Música;Artistas;ID da Música
Ley Seca;";";"Jhayco; Anuel AA";";";3JCaq3KDSROg3TXhdiDa9n
En Mi Cuarto;";";"Jhayco; Skrillex";";";2Doh4izLZGrUD3yOSs9y9G
Ropa Interior;";";"Jhayco; Kendo Kaponi";";";6VbBXLHYIriwKQUKbI8dwE
Los Bandoleros;";";"Jhayco; Arcángel";";";6PxRarQMMrZnB9m0vRhMW0
Los Bo;";";"Jhayco; Myke Towers";";";0AXTYqxygPlNS6E4arLO1g
Eternamente;";";"Jhayco; Buscabulla";";";3fC9kIUdPidr4gaedvNwDp
No Me Conoce - Remix;";";"Jhayco; J Balvin; Bad Bunny";";";58aGMOUSVDH9zNYrnbw7VA
Cuando Bebe;";";"Jhayco; Rafa Pabön";";";1nD3YN81VjrSKsJRMSygl4
Costear;";";"Jhayco; Almighty";";";2QYV5ETDzPmR5SdcXBV8I5
Imaginaste;";";"Jhayco; Tainy";";";29pXVDrrYBJZb5zXU8ryll
¿Cuánto E$?;";";"Jhayco; C. Tangana";";";0tPpQiDsQmwT7hAa9XAtCQ
Somos Iguales;";";"Jhayco; Zion & Lennox";";";4qNt7XWVQQJ1aCOgOiwzMq
Deséame Suerte;";";"Jhayco; KAROL G; Haze";";";5JFas7pIMivCKdytt5i8UW
Imaginaste - Remix;";";"Jhayco; Wisin & Yandel";";";3dJWIbkKEnI0Jb9CK6kdcg
Easy - Remix;";";"Jhayco; Ozuna";";";1NmQc6rwLv7g0UHL1AFOa9
Subiendo De Nivel - Remix;";";"Jhayco; Myke Towers";";";2kvGoSGHWI0uvjJlooy1AQ
No Me Conoce - Remix;";";"Jhayco; J Balvin; Bad Bunny";";";2beS6dD5rovBxSA1zYoSHR
Cuando Bebe;";";"Jhayco; Rafa Pabön";";";7guHW8vSLHnTOfcwsXjpGB
Costear;";";"Jhayco; Almighty";";";5jn8mEpU3EKjh4o8GBMSZQ
Imaginaste;";";"Jhayco; Tainy";";";6MvqgVj98rzMGuxdpIyzeh
¿Cuánto E$?;";";"Jhayco; C. Tangana";";";0t5v9u01TBg8gEQk69orZ0
Somos Iguales;";";"Jhayco; Zion & Lennox";";";0iK5pdqSpSx7v59WZqTBmr
All Eyes On Me;";";"Jhayco; Miky Woodz";";";4iRtrgLcwxjgwYFdMI2thm
Perder El Tiempo;";";"Jhayco; Myke Towers";";";0PlcchW4RJDbgJUhs5xrB6
Deseos;";";"Jhayco; Bryant Myers";";";4XZYFGgAx1X2X6sKinaPvL
Están Pa´ Mí;";";"Jhayco; J Balvin";";";0iJoO8b3CenwyEcaUycVA1
Se Supone;";";"Jhayco; Darell";";";66DUjeMPF4kKMTHAjtP8Bm
Donde No Se Vea;";";"Jhayco; Jory Boy; Pusho";";";095CmZdpPO7VNzCRQqwj8e
Se Supone - Remix;";";"Jhayco; Darell; Ñengo Flow; Almighty; Miky Woodz; Myke Towers";";";3EEnqlWxR1XX15grqw8lU1
Ex-Special;";";"Jhayco; Peso Pluma";";";4ix1NGkHZEiVyzoQ6cEVs3
LOS DUEÑOS DE LA CALLE - Remix;";";"Omar Courtz; Jhayco; Dei V; Myke Towers; YOVNGCHIMI";";";772VU8O47TkYt9Dxf6kZYE
RoCKSTAR 2.0;";";"Duki; Jhayco";";";4xUtTQuVT6UBF76SPsgOsr
En To Lao;";";"Haze; Jhayco";";";2zUEnw6wWrWaPcF15F76OA
FANTASMA | AVC;";";"Tainy; Jhayco";";";7fsQJ46vwtDi5p9DzeRDzB
Donde CRJ - Remix;";";"Karbeats; Mora; Jhayco; Yan Block; Omar Courtz";";";63RgY9Eph41dal0MYH4d6V
Mami Chula;";";"Jhayco; Quevedo";";";4aJzxp3gimtAdgJn3DL776
Corazón Roto - Remix;";";"Brray; Jhayco; Ryan Castro";";";6k5wiT5l9DK8iZmhvEvoqo
En La De Ella;";";"Jhayco; Feid; Sech";";";5NxhMcHSVY3Z7ykWxZf3aj
Ande Con Quien Ande;";";"Myke Towers; Jhayco";";";6AizmGCrFRQHru1Qf8WKoJ
Llueve;";";"Wisin & Yandel; Sech; Jhayco";";";5yDAnr9USNQTP6ojiWBCvv
Está Dañada - Remix;";";"Ivan Cornejo; Jhayco";";";2HFrlVZI1PHNwfNiIC8mkb
Súbelo;";";"Anuel AA; Myke Towers; Jhayco";";";3fHEwAssCgM4wJYdjT5Ch0
Holy Shit - Remix;";";"Ankhal; Jhayco";";";1OzhsvZSKTMUZRjo4al9cA
Emojis de Corazones (feat. Los Legendarios);";";"Wisin; Jhayco; Ozuna; Los Legendarios";";";5Mw46yRtdiOdjqSG0eDItr
Ley Seca;";";"Jhayco; Anuel AA";";";7HQz1eVhRI9cJUHqGud8EY
Delincuente;";";"Sebastian Yatra; Jhayco";";";7hmlUsQRryrZT4Iqj5L4t1
En Mi Cuarto;";";"Jhayco; Skrillex";";";6Ee34qCOE6FBzEPRAGwSrn
SÚBELE EL VOLUMEN;";";"Daddy Yankee; Myke Towers; Jhayco";";";343HgC6SVFtTAgMPlGoNjn
911 (Remix);";";"Sech; Jhayco";";";27RSJHEA99Y0Vsow7nA37A
Fiel - Remix;";";"Wisin; Jhayco; Anuel AA; Los Legendarios; Myke Towers";";";43qcs9NpJhDxtG91zxFkj7
Fiel;";";"Los Legendarios; Wisin; Jhayco";";";56KhDgM8O8rHxBI7CIEGCw
Los Bo;";";"Jhayco; Myke Towers";";";71CIZGbBZR71GfQFB8c2xU
DÁKITI;";";"Bad Bunny; Jhayco";";";47EiUVwUp4C9fGccaPuUCS
Pegate - Remix;";";"Mora; Jhayco";";";7C2RvtNZvxPdol2JXAdxVK
la luz(Fín);";";"Kali Uchis; Jhayco";";";6eKvp8MA5pIIDiksqdP3wO
Prendemos;";";"Haze; Jhayco; Lunay";";";3YLbntjcsRoButdoVta3rq
