Nome da Música;Artistas;ID da Música
Deep Reverence (feat. Nipsey Hussle);";";"Big Sean; Nipsey Hussle";";";6HChPf6cHfTOhsOAqY19Pi
Wolves (feat. Post Malone);";";"Big Sean; Post Malone";";";0ToRGhN2XSJ2viXeZh17Y3
Body Language (feat. Ty Dolla $ign, and Jhené Aiko);";";"Big Sean; Ty Dolla $ign; Jhené Aiko";";";1uN6n88CE3RgVxGzxj6mOT
Everything That's Missing (feat. Dwele);";";"Big Sean; Dwele";";";4QIWqAPCPV95bUuGYII2vj
Guard Your Heart (feat. Anderson .Paak, Earlly Mac, and Wale);";";"Big Sean; Anderson .Paak; Earlly Mac; Wale";";";653d0n5wf3MM89IED0qhQu
Respect It (with Hit-Boy feat. Young Thug);";";"Big Sean; Hit-Boy; Young Thug";";";2n2OoeuMJlFwroCfAz5Dlk
Lithuania (feat. Travis Scott);";";"Big Sean; Travis Scott";";";6SMzo4USUmfyLc1Balfaut
Full Circle (feat. Key Wane, and Diddy);";";"Big Sean; Key Wane; Diddy";";";69OWQ9zufg1tMZwtawTpvK
Don Life (feat. Lil Wayne);";";"Big Sean; Lil Wayne";";";4XiaP4HXCbs2g51PmWfy6K
"Friday Night Cypher (feat. Tee Grizzley, Kash Doll, Cash Kidd, Payroll, 42 Dugg, Boldy James, Drego, Sada Baby, Royce Da 5'9"", and Eminem)";";";"Big Sean; Tee Grizzley; Kash Doll; Cash Kidd; Payroll; 42 Dugg; Boldy James; Drego; Sada Baby; Royce Da 5'9""; Eminem";";";1LTIEl9JB2Nwju3SBgqeSw
Still I Rise (feat. Dom Kennedy);";";"Big Sean; Dom Kennedy";";";5ravyJzbPre0ahSujkNdek
Bezerk (feat. A$AP Ferg, and Hit-Boy);";";"Big Sean; A$AP Ferg; Hit-Boy";";";2G85U8Zc8veIDixsmlQ7NX
24k of Gold (feat. J Cole);";";"Big Sean; J. Cole";";";2Hjql0iqpb3oXFuUptCtDn
Woke Up (feat. SayItAintTone, Earlly Mac, Mike Posner & James Fauntleroy);";";"Big Sean; SayItAintTone; Earlly Mac; Mike Posner; James Fauntleroy";";";52eQm0lgpTEPBfLvF6y6Kv
Experimental (feat. Chip Tha Ripper & Juicy J);";";"Big Sean; Chip Tha Ripper; Juicy J";";";4zJyzpMY82bUgGIE3VNxUe
Mula (feat. French Montana);";";"Big Sean; French Montana";";";58TVklmpOY1envnRmzZJlu
100;";";"Big Sean; Royce Da 5'9""; Kendrick Lamar";";";5yOwK21WpwtHR8HrKQi9NH
Sellin' Dreams (feat. Chris Brown);";";"Big Sean; Chris Brown";";";19rHIGfdBPJgj78NmNek0O
I'm Gonna Be (feat. Jhené Aiko);";";"Big Sean; Jhené Aiko";";";16C6yAxcA3GCtoXbq3dUYl
Life Should Go On (feat. Wale);";";"Big Sean; Wale";";";2snbUJPt9enX3KCirPfcy2
All I Know (feat. Wiz Khalifa);";";"Big Sean; Wiz Khalifa";";";1mXHENpfg6AnlK2UIuHPDp
My Last (10th Anniversary) feat. Chris Brown;";";"Big Sean; Chris Brown";";";17ORpMdUDWQasmjYzBwG8K
Wait For Me (10th Anniversary) feat. Lupe Fiasco;";";"Big Sean; Lupe Fiasco";";";5sfTJGjxroVGZW2Xq5r43r
Marvin & Chardonnay (10th Anniversary) feat. Kanye West & Roscoe Dash;";";"Big Sean; Kanye West; Roscoe Dash";";";4HBD9r66ges8Ol0STAZAaX
Dance (A$$) Remix (10th Anniversary) feat. Nicki Minaj;";";"Big Sean; Nicki Minaj";";";3WnWm2WUgfyPFVpV36JJNV
Memories (Part II) [10th Anniversary] feat. John Legend;";";"Big Sean; John Legend";";";2hAghZX88cY6s78qbNx12A
High (10th Anniversary) feat. Wiz Khalifa & Chiddy Bang;";";"Big Sean; Wiz Khalifa; Chiddy Bang";";";2hDDXTaHPlUHSTi6ZJOENp
Love This Life (10th Anniversary) feat. The-Dream;";";"Big Sean; The-Dream";";";4tsmlO0n1SdcXqZ4kEA9T1
Celebrity (10th Anniversary) feat. Dwele;";";"Big Sean; Dwele";";";5jzuc1jveowrZhhbKBFGJf
100 Keys (10th Anniversary) feat. Rick Ross & Pusha T;";";"Big Sean; Rick Ross; Pusha T";";";3yhYZqS7prVazglviKAZCg
Deep Reverence (feat. Nipsey Hussle);";";"Big Sean; Nipsey Hussle";";";2CDcXWYWilHTXrsOXJza8n
Wolves (feat. Post Malone);";";"Big Sean; Post Malone";";";33gwZOGJWEZ7dRWPqPxBEZ
Body Language (feat. Ty Dolla $ign, and Jhené Aiko);";";"Big Sean; Ty Dolla $ign; Jhené Aiko";";";6FXsrAH7Zol1jusSeJIoYA
Everything That's Missing (feat. Dwele);";";"Big Sean; Dwele";";";2LxudmRpMzYTsb37Oi1RWD
Guard Your Heart (feat. Anderson .Paak, Earlly Mac, and Wale);";";"Big Sean; Anderson .Paak; Earlly Mac; Wale";";";7LYgVPxRvlN7OavmyrnOGe
Respect It (with Hit-Boy feat. Young Thug);";";"Big Sean; Hit-Boy; Young Thug";";";4QqTDl0Po7cbaZMcGsZmBg
Lithuania (feat. Travis Scott);";";"Big Sean; Travis Scott";";";4VLTxHOyFX5FRtkpsFm5Pc
Full Circle (feat. Key Wane, and Diddy);";";"Big Sean; Key Wane; Diddy";";";4Na2Xo5yQCr5ucwfg8EGIQ
Don Life (feat. Lil Wayne);";";"Big Sean; Lil Wayne";";";5lxQ9BW2xOzgRIxQAZzHSK
"Friday Night Cypher (feat. Tee Grizzley, Kash Doll, Cash Kidd, Payroll, 42 Dugg, Boldy James, Drego, Sada Baby, Royce Da 5'9"", and Eminem)";";";"Big Sean; Tee Grizzley; Kash Doll; Cash Kidd; Payroll Giovanni; 42 Dugg; Boldy James; Drego; Sada Baby; Royce Da 5'9""; Eminem";";";2kY2ROHIGdp3aA6ahqaUKm
Still I Rise (feat. Dom Kennedy);";";"Big Sean; Dom Kennedy";";";17tJRMOZ181DjZMT4eIbSp
Go Legend (& Metro Boomin);";";"Big Sean; Metro Boomin; Travis Scott";";";3wAI7MIQtTgwcRmwchPZBc
