Nome da Música;Artistas;ID da Música
Intro;";";"French Montana; Stove God Cooks; DJ Drama; CHEEZE";";";1E9YkNvNXuHGcOiAiC9rcC
The Oath;";";"Chinx; DJ Drama; French Montana";";";7v5etKl39BbxEFVio8u1Py
Chit Chat;";";"French Montana; Smooky MarGielaa; A$AP Rocky; DJ Drama";";";52SiMZcoBUVKcNxzIES303
Project Baby (Remix);";";"Vory; DJ Drama; French Montana";";";1i3qbyuy5mqe8Po3Fa4fo1
Not So Bad;";";"French Montana; DJ Drama";";";73UqKLdclmiLIBJVnMW51X
Igloo;";";"French Montana; DJ Drama; Rob49";";";1y4kzwLHdX2LABu9VFi9OE
Slidin;";";"French Montana; Ayoub";";";4nLlmBc5TvQ8QnAFrvVoGj
Choose You;";";"French Montana; DJ Drama; Jeremih";";";0ESFJO5JY7Lo6ehchmRkXx
RZA;";";"French Montana; DJ Drama; Benny The Butcher";";";4Z0CQJfTsZO7Uuo3Q1t866
Die In The Streets;";";"Dthang; DJ Drama";";";6WOC06G8ONhUZaP5PvBaOM
Free Smoke;";";"French Montana; DJ Drama; EST Gee; BIG30";";";35xovcElYQgPjSrJaL5S7o
Fenty;";";"French Montana; NAV";";";0tgLaI29jjH6gE3ykmc7rs
Lemonade;";";"Max B; DJ Drama";";";7gWj8TbOO1lMiU32z5qtBL
Going Yeezy;";";"French Montana; DJ Drama; CHEEZE";";";0A03H3V8ks3yqXNg7uW9X2
New Punani;";";"French Montana; DJ Drama; CHEEZE";";";6bbQlPaqzfzNfnNZIqjZxQ
Addicted to You;";";"French Montana; DJ Drama; CHEEZE";";";3iAO5GCHFv2WVArS24zFje
Can't Stop Won't Stop (Remix);";";"King Combs; French Montana; DJ Drama; Kodak Black";";";2959OxaVqiqxIVMsQQhHEm
Finesse;";";"Pheelz; French Montana";";";2BBnl2C1JAVntOrKTIojgt
Gang Gang;";";"Kenzo B; DJ Drama; Dthang; King Combs";";";4O5RQnVJ00Nd3rdkTsdUaW
Forever;";";"French Montana; DJ Drama; Mr.Chicken";";";2KUoKKJu8V4oFnCHTUV7vB
Earned;";";"LGP QUA; DJ Drama; Tory Lanez";";";3yduneSpnGtV1JPcq40nB6
Da 30;";";"Dthang; DJ Drama";";";39CRHO6n3xa9NABqynH9kg
CBTD;";";"Chinese Kitty; DJ Drama";";";2NqyiRpfhoG3zF1LOZBOJs
Voices;";";"YNP Maine; DJ Drama";";";48G418f0AQo0B8gkE9lzKJ
Big Dog Status;";";"CJ; DJ Drama";";";6vfpgpwSBjoub4WGsK0vqc
Get Even;";";"T Dot; DJ Drama; Bando Gz";";";3fwmZNopdD0rNKFxPvYAWs
Tryin to Get A Bloc;";";"Viso; DJ Drama; JHETTAHEAT";";";3Sq4GgV9QyZLH13mHEK765
Intro;";";"French Montana; Stove God Cooks; DJ Drama; CHEEZE";";";19WUQV30KWlUFqmcXjmwXx
The Oath;";";"Chinx; DJ Drama; French Montana";";";1ZAk6iUwd8Uw7S6bOAcpwk
Chit Chat;";";"French Montana; Smooky MarGielaa; A$AP Rocky; DJ Drama";";";4r9GyHViUSb8iVXQsJc8U5
Project Baby (Remix);";";"Vory; DJ Drama; French Montana";";";156MMf8pmMOJPfHlAatImC
Not So Bad;";";"French Montana; DJ Drama";";";4v26XyC4Xy3acHbLkJRucC
Igloo;";";"French Montana; DJ Drama; Rob49";";";4sPnagzbeTfTo1csvNNDpk
Slidin;";";"French Montana; Ayoub";";";6BJvSwF57v1KOZoV7RWyCy
Choose You;";";"French Montana; DJ Drama; Jeremih";";";7FW0gbQHjIAQanLR9za9fT
RZA;";";"French Montana; DJ Drama; Benny The Butcher";";";0Q0AnMr70zpghNcpq6x3h6
Die In The Streets;";";"Dthang; DJ Drama";";";1adRzLBcBB4ErSBHBuswzj
Free Smoke;";";"French Montana; DJ Drama; EST Gee; BIG30";";";6UGcAHUTagixfzooZP3gZD
Fenty;";";"French Montana; NAV";";";24dUtMxDr7nK3sSld79ZGe
Lemonade;";";"Max B; DJ Drama";";";3ndJ1jWkFtoQ4gqPqit7uB
Going Yeezy;";";"French Montana; DJ Drama; CHEEZE";";";1wLQ9DRIlfLiqUC9pwP6RC
New Punani;";";"French Montana; DJ Drama; CHEEZE";";";5egvHqAiS3ZgO1GIEeifEc
Addicted to You;";";"French Montana; DJ Drama; CHEEZE";";";0qfAU4wZ9nPpOdpLdT6KZa
Can't Stop Won't Stop (Remix);";";"King Combs; French Montana; DJ Drama; Kodak Black";";";7akIztjjOK81Rv8TEXnr8V
Finesse;";";"Pheelz; French Montana";";";0jlCxrL3uvlmli6Y7mQMwf
Blue Chills;";";"French Montana; Harry Fraud; Skylar Gudasz";";";5FXRgg3qTDGPIxGJXCKbPi
Rushmore Pack;";";"French Montana; Harry Fraud";";";1AV3vhh3uedyavpE462wjp
Drive By;";";"French Montana; Harry Fraud; Babyface Ray";";";6O07R1r3EetHFkgHNVxupY
Keep It Real;";";"French Montana; Harry Fraud; EST Gee";";";3wgZ2igBFtgLjgdyv2psVv
Kind of Girl;";";"French Montana; Harry Fraud; Rick Ross";";";5ww2POnKfcW8qcik16nuGi
Higher;";";"French Montana; Harry Fraud";";";4bmaPDnRx5a7rtVkJPDGvm
Bricks & Bags;";";"French Montana; Harry Fraud; Jadakiss; Benny The Butcher";";";4akL8L4126WSpzAloEqcwQ
Poetic With No Justice;";";"French Montana; Harry Fraud";";";75ybPkfof5HAdZABQn5PWx
Drop Top;";";"French Montana; Harry Fraud; Quavo";";";1DhQe8fadtINXD3pKFFpzK
Shorty So Bad;";";"French Montana; Harry Fraud";";";3hRovUgWZOm70oWXpzbWPg
Drunk Words, Sober Thoughts;";";"French Montana; Harry Fraud; Chinx";";";2FOHKZb9SlcshSHzPHY91o
Bronx Mecca;";";"French Montana; Harry Fraud; Fleurie";";";43YM1GVLFJ53M3PIkvzMXo
Run That Bag Up;";";"French Montana; Harry Fraud";";";0pDDn3lRYd3kZ88y7xd7Pj
Everything I Do;";";"French Montana; Harry Fraud";";";6djhi9Z28kpkhDQn11SZf1
Blue Chills;";";"French Montana; Harry Fraud; Skylar Gudasz";";";1jPI3QS7aUtAVvj6q0qQiQ
Rushmore Pack;";";"French Montana; Harry Fraud";";";0v8HKx7pfToMOp5j1K5Dww
Drive By;";";"French Montana; Harry Fraud; Babyface Ray";";";6BKRYvg6qSELPFXpu7YELt
Keep It Real;";";"French Montana; Harry Fraud; EST Gee";";";6UX9WrpJFv5LZW4hTH6svZ
Kind of Girl;";";"French Montana; Harry Fraud; Rick Ross";";";39HH3TTdJOxcklLvocgemQ
