Nome da Música;Artistas;ID da Música
Pedazo De Tonto;";";"Carin Leon; Luis Mexia";";";44qVH9GNAcGuNSblI6KEtm
De Piedra a Papel;";";"Carin Leon; Pablo Alborán";";";7EFcjtnKPD2qy7I5Fx2b2J
Mil Maneras De Morir;";";"Carin Leon; Kakalo";";";28YCtrUz6rWDqW23cL6dim
Corazón De Oro;";";"Carin Leon; Los Hijos De Frank";";";35AtCvCk1fb5HGEvdI0Iyk
Vete Yendo;";";"Carin Leon; Ángela Aguilar";";";0l2mXLYFLJiz329rxNlOUn
Ni Me Debes Ni Te Debo;";";"Carin Leon; Camilo";";";3Zin1vaMx7PjFWIOBTE4FM
Por Debajo Del Agua - En Vivo;";";"Carin Leon; Oscar Toscano ""El Boca Aguada""";";";3Lkt3bg3jDMXKrwnkxrjB5
El Caprichito - En Vivo;";";"Carin Leon; Martin Ramos";";";33YCt7eXEvIt9IcQEIO5Sd
El Culichi De Sonora - En Vivo;";";"Carin Leon; Fabian Gomez";";";56UXmpkw35EYkGDCd6iQZX
Abrigame - En Vivo;";";"Carin Leon; Alex Ramirez Y Su Grupo Profetas";";";58HNUZW1ffosnXPPHDwDRz
50 Kilos - En Vivo;";";"Carin Leon; Grupo Alfa";";";29iTTWbSi17rvN3NNL2VAg
Triste Luna - En Vivo;";";"Carin Leon; Los Apson";";";6Xzp5E02tTPh5RLJG0R9iH
Me Aceptaste - En Vivo;";";"Carin Leon; JJ Araujo";";";1I24KOlgCNqaLUlYO2Biav
Presa De Tu Amor - En Vivo;";";"Carin Leon; Manuel El Indio Ortega";";";5DPYFCK8XUNZrRiySLIHqZ
El Lunar De Claudia - En Vivo;";";"Carin Leon; Pelé";";";4aPPXoB3uBn7tWrhcj2Y41
Como Agua y Aceite - En Vivo;";";"Carin Leon; Judas Ramos";";";0j5pTyRAv3jMYuSQIzifE2
Si Te Casas Conmigo - En Vivo;";";"Carin Leon; Roy Rosas";";";1XhHXUgQcV4jPyKUskOUcf
Me Ando Paseando - En Vivo;";";"Carin Leon; Braulio Loustaunau";";";07brChZWlRjVHH1eNgQXzQ
Estoy Agusto - En Vivo;";";"Carin Leon; Honorables";";";5d8wFohmyZbSALyYg1gkCI
Dame un Beso y Dime Adios - En Vivo;";";"Carin Leon; Grupo Yndio";";";4KDgQ8Qd0UWK3KkYZPwNtP
El Arbol De La Horca - En Vivo;";";"Carin Leon; Alex Ramirez Y Su Grupo Profetas";";";0lnoIDaHjKW0ZY4BOlss24
Tal Vez Sea Mejor - En Vivo;";";"Carin Leon; Fabian Gomez";";";7vriq2efPQtOyc040dB6tS
Las Paredes - En Vivo;";";"Carin Leon; Manuel El Indio Ortega";";";4oyOLDI6nkcGiVGAwWfzyX
Linea Telefonica - En Vivo;";";"Carin Leon; Grupo Yndio";";";0gx6fDRmq8s2R2gdMnp3fr
Cuando Toca Mi Piel - En Vivo;";";"Carin Leon; Roy Rosas";";";6z17iqYbnNFwUJ4wEsMbUE
Tu Condena - En Vivo;";";"Carin Leon; Pelé";";";0h4BJ5g0ZeStURrLnLqlYY
Dejenme Llorar - En Vivo;";";"Carin Leon; Martin Ramos";";";7zDkD1xZyu46J2bCOWhPtf
Chamaquita Linda - En Vivo;";";"Carin Leon; Fabian Gomez";";";2Tp8ehPrULhZpsBP5JBwbZ
No Hay Amor - En Vivo;";";"Carin Leon; Los Apson";";";6ovuPFqPY6QBMkdL6N8Y4w
Rio Rebelde - En Vivo;";";"Carin Leon; Pelé";";";5GW2u3nVbbLjdLb1C999Kh
Las Higueras - En Vivo;";";"Carin Leon; Fabian Gomez";";";19SjvkPveaCZzHAP80IDGf
Un Cariño Como Tu - En Vivo;";";"Carin Leon; Martin Ramos";";";0UGhhvOcXBlHMXftIkT8X2
El Guardia - En Vivo;";";"Carin Leon; Honorables";";";4VfsGJmJbpKsoTGOCoq45n
Si Acaso Vuelves - En Vivo;";";"Carin Leon; Martin Ramos";";";7InuJiMRT6GFiS7p5rWktc
