Nome da Música;Artistas;ID da Música
In My Room;";";"Troye Sivan; Guitarricadelafuente";";";7lhAowB1rRlp1UfVkHqpD2
Dance To This (feat. Ariana Grande);";";"Troye Sivan; Ariana Grande";";";2NjO87HyT80fsgejd3PLYW
Postcard (feat. Gordi);";";"Troye Sivan; Gordi";";";4CCe846xVRd9p31gc6dMza
EASE - Vallis Alps Remix;";";"Troye Sivan; BROODS; Vallis Alps";";";3WgaA66GU02FnidR1nTH4D
EASE - Lontalius Remix;";";"Troye Sivan; BROODS; Lontalius";";";1obSxAwn3Ae22iLrPY109I
WILD - XXYYXX Remix;";";"Troye Sivan; XXYYXX";";";023UeBS5jbGqw1nGw8DWIC
WILD - Lophiile & Grey Remix;";";"Troye Sivan; Grey; lophiile";";";34QSYjBuitClolvnmFGG40
WILD - RAC Mix;";";"Troye Sivan; RAC";";";10n3JKjszdfli4EZFM7oRU
WILD - Young Bombs Remix;";";"Troye Sivan; Alessia Cara; Young Bombs";";";6aDxTEqZdhH0lSkP4mev4X
FOOLS - Filous Remix;";";"Troye Sivan; filous";";";3Edkmy6tuoGVSCy9rdWJWZ
YOUTH - Gryffin Remix;";";"Troye Sivan; Gryffin";";";5nGuzcsjDbUD1Hgi0szupA
YOUTH - Son Lux Remix;";";"Troye Sivan; Son Lux";";";096xg2yXUnjTQ24oCzuuhh
YOUTH - Shift K3y Remix;";";"Troye Sivan; Shift K3Y";";";5oXrBGZZD71x8K3QFf4qiz
EASE;";";"Troye Sivan; BROODS";";";7jQFIqN0GnpByBVXPpdPom
DKLA;";";"Troye Sivan; Tkay Maidza";";";7M8uUME0TsHpYhTz5hUzSE
HEAVEN;";";"Troye Sivan; Betty Who";";";2fNi8T6DLiY9SxFnZrhOeV
for him.;";";"Troye Sivan; Allday";";";5yFhb4ABfgvqQYZEK18lcc
BLUE;";";"Troye Sivan; Alex Hope";";";0W2YQYzdW7EDKt17DfR8TV
WILD;";";"Troye Sivan; Alessia Cara";";";0xexXKZ1CAIrNHhTUX5Qkh
Rush (feat. PinkPantheress & Hyunjin of Stray Kids);";";"Troye Sivan; PinkPantheress; Hyunjin";";";12qq70vp6hMUikpAyeyDPc
Rush - Big Freedia Remix;";";"Troye Sivan; Big Freedia";";";08arf0AI69o6qdMSZWVrJm
Rush - Punctual Remix;";";"Troye Sivan; Punctual";";";6qlI7XY61mh5w61LpY6bEP
Rush - Tom Santa Remix;";";"Troye Sivan; Tom Santa";";";6MxXe1BRJMl1Bu1NB1oKwU
Rush - Leland Remix;";";"Troye Sivan; Leland";";";0hhzpp64TaFWTsGLCndZMN
Rush - Big Freedia Remix / Dub Mix;";";"Troye Sivan; Big Freedia";";";0SxcksZ3df53fj0OmkuczF
You Know What I Need;";";"PNAU; Troye Sivan";";";3oyBjanJeqPz5cOMDedCyl
You Know What I Need - Harvey Sutherland Remix;";";"PNAU; Troye Sivan; Harvey Sutherland";";";2MMQRiDH9wP5YHljOwrLRV
You Know What I Need - Shadow Child Classic Vocal Mix;";";"PNAU; Troye Sivan; Shadow Child";";";2m4K9s4opg5e87UttVzT41
You Know What I Need - Shadow Child vs Dave Spoon Superdub;";";"PNAU; Troye Sivan; Shadow Child; Dave Spoon";";";2QDB8VRUNpU2QK0IA5ntQk
You Know What I Need - Little Fritter Remix;";";"PNAU; Troye Sivan; Little Fritter";";";4b8Om1jDnBowcWdj1GZK5y
Angel Baby - Slowed;";";"Troye Sivan; xxtristanxo; Slowed Radio";";";0oKCOb4l4P8B8dvGIksZE6
Wait - from ‘Three Months’;";";"Troye Sivan; Gordi";";";70iazIU8mYvhSouvV7LZir
Trouble - from ‘Three Months’;";";"Troye Sivan; Jay Som";";";4lM46UnoFn4FP074aYWGxS
You - KC Lights Remix;";";"Regard; Troye Sivan; KC Lights; Tate McRae";";";0ZxvazjsaB9sdRxaKcJBVx
You;";";"Regard; Troye Sivan; Tate McRae";";";16IyMb9wmTBhA59keKpsbK
You - Acoustic;";";"Regard; Troye Sivan; Tate McRae";";";7IoyTDxOTWYkHx1f3oWhtt
You - Topic Remix;";";"Regard; Troye Sivan; Tate McRae; Topic";";";5bbtc9t6FcerXp732H2XNu
You;";";"Regard; Troye Sivan; Tate McRae";";";2TIADtEEouHM8vF9c7hFd6
You;";";"Regard; Troye Sivan; Tate McRae";";";2cc8Sw1OnCuA5bV8nqWqpE
Easy (with Kacey Musgraves feat. Mark Ronson);";";"Troye Sivan; Kacey Musgraves; Mark Ronson";";";4XWaUb7mKRcJR5RPp4IIDr
Love Me Wrong;";";"Allie X; Troye Sivan";";";4hWiGGfdLFENYLTC517195
2099 (feat. Troye Sivan);";";"Charli XCX; Troye Sivan";";";4Ygx3IHa6LBGNrRx3zx3vs
1999 - Alphalove Remix;";";"Charli XCX; Troye Sivan; Alphalove";";";4MGm27Q0S7wyLITVueTGbB
