Nome da Música;Artistas;ID da Música
Pressure (feat. UCLA Bruin Marching Band);";";"Muse; UCLA Bruin Marching Band";";";1DqoQsvOtn23gDx6Up6cX5
Euphoria (Solomun Remix) - Edit;";";"Muse; Solomun";";";3Tg1V96P2r1yey8rHZHxdO
Euphoria (Solomun Remix) - Extended;";";"Muse; Solomun";";";39WFZJm9X8QJyHZy4sTwGo
Compliance (Purple Disco Machine Remix) - Edit;";";"Muse; Purple Disco Machine";";";4tLB7Y41bkQSnJRqfJ7k4x
Compliance (Purple Disco Machine Remix) - Extended;";";"Muse; Purple Disco Machine";";";7uHO8D8i17ikAfQH3W0LLj
Kill Or Be Killed - Felsmann + Tiley Reinterpretation;";";"Muse; Felsmann + Tiley";";";4giarhA9W5oPE7fprx7fcx
Ghosts (How Can I Move On) [feat. Mylène Farmer];";";"Muse; Matt Bellamy; Mylène Farmer";";";3wUlBGnMds6MiA3EMsAQON
Ghosts (How Can I Move On) [feat. Elisa];";";"Muse; Matt Bellamy; Elisa";";";4ggQZbM68glGfoH1kImIwO
Undisclosed Desires - The Big Pink Remix;";";"Muse; Milo Cordell; The Big Pink";";";0gzCDX0BXWQBdxJamY8nTK
Undisclosed Desires - Thin White Duke Remix;";";"Muse; Thin White Duke";";";3BlVx7C2zdlxta4bZjZxbn
"Undisclosed Desires - Thin White Duke Remix; Edit [Edit]";";";"Muse; Thin White Duke";";";4iTl0sJenD8x3YgILYmhpj
"Supermassive Black Hole - Phones Control Voltage Remix; 7"" Edit";";";"Muse; Paul Epworth";";";0QcBiMDLm9EHMmpGYDPSDE
Sunburn - Timo Maas' Sunstroke Remix;";";"Muse; Timo Maas";";";5I32PcAfN8Nqd7FWtru26u
